Model,GOF Specificity
1,0.6379245987308697
2,0.6379245987308697
3,0.6345651362448674
4,0.7506532288167227
5,0.7760358342665173
6,0.7760358342665173
7,0.7793952967525196
8,0.7913400522583054
9,0.7961926091825308
10,0.8238148562896603
11,0.8294139604329974
12,0.8413587159387831
13,0.8536767450541247
14,0.8514371033967898
15,0.866368047779022
16,0.8667413213885778
17,0.8667413213885778
18,0.8667413213885778
19,0.8656215005599104
20,0.8730869727510265
21,0.8745800671892497
22,0.8753266144083613
23,0.8753266144083613
24,0.8749533407988055
25,0.8831653602090332
26,0.8850317282568122
27,0.8861515490854797
28,0.8876446435237029
29,0.8883911907428145
30,0.8910041060097051
31,0.8910041060097051
32,0.8910041060097051
33,0.8999626726390444
34,0.9044419559537141
35,0.9055617767823815
36,0.9074281448301605
37,0.910414333706607
38,0.9092945128779395
39,0.9111608809257186
40,0.910414333706607
41,0.9096677864874954
42,0.9096677864874954
43,0.9107876073161627
44,0.9111608809257186
45,0.9119074281448302
46,0.9111608809257186
47,0.9137737961926092
48,0.9137737961926092
49,0.9130272489734975
50,0.9130272489734975
51,0.9197461739455021
52,0.9193729003359462
53,0.9208659947741694
54,0.9156401642403882
55,0.9152668906308324
56,0.9182530795072789
57,0.9186263531168346
58,0.9189996267263905
59,0.9189996267263905
60,0.9189996267263905
61,0.9186263531168346
62,0.921612541993281
63,0.9182530795072789
64,0.9223590892123927
65,0.9197461739455021
66,0.9197461739455021
67,0.9197461739455021
68,0.9197461739455021
69,0.9171332586786114
70,0.9171332586786114
71,0.9193729003359462
72,0.921612541993281
73,0.9212392683837253
74,0.9208659947741694
75,0.9171332586786114
76,0.9204927211646137
77,0.9204927211646137
78,0.9204927211646137
79,0.917879805897723
80,0.9204927211646137
81,0.9197461739455021
82,0.9197461739455021
83,0.9234789100410601
84,0.9242254572601717
85,0.9257185516983949
86,0.9245987308697275
87,0.9245987308697275
88,0.9264650989175065
89,0.9264650989175065
90,0.9268383725270624
91,0.9279581933557297
92,0.9279581933557297
93,0.9283314669652856
94,0.9283314669652856
95,0.9324374766703994
96,0.9324374766703994
97,0.9290780141843972
98,0.9320642030608436
99,0.9320642030608436
100,0.9290780141843972
101,0.9305711086226204
102,0.9287047405748413
103,0.931317655841732
104,0.9328107502799552
105,0.9361702127659575
106,0.9335572974990668
107,0.9324374766703994
108,0.9335572974990668
109,0.9335572974990668
110,0.9369167599850691
111,0.9372900335946248
112,0.9354236655468459
113,0.9395296752519597
114,0.9417693169092946
115,0.9417693169092946
116,0.9413960432997387
117,0.9443822321761851
118,0.9451287793952967
119,0.9458753266144083
120,0.9436356849570735
121,0.9455020530048526
122,0.9440089585666294
123,0.9440089585666294
124,0.9481149682717432
125,0.9507278835386338
126,0.952220977976857
127,0.9481149682717432
128,0.9477416946621874
129,0.9458753266144083
130,0.9473684210526315
131,0.9469951474430758
132,0.9481149682717432
133,0.9462486002239642
134,0.9481149682717432
135,0.9469951474430758
136,0.9469951474430758
137,0.9469951474430758
138,0.9492347891004106
139,0.9492347891004106
140,0.9436356849570735
141,0.9443822321761851
142,0.9443822321761851
143,0.9481149682717432
144,0.9492347891004106
145,0.9492347891004106
146,0.9492347891004106
147,0.9499813363195222
148,0.9492347891004106
149,0.9492347891004106
150,0.9492347891004106
151,0.9518477043673013
152,0.9529675251959686
153,0.9525942515864129
154,0.9525942515864129
155,0.9518477043673013
156,0.950354609929078
157,0.9507278835386338
158,0.9537140724150802
159,0.9525942515864129
160,0.952220977976857
161,0.9514744307577454
162,0.9525942515864129
163,0.952220977976857
164,0.952220977976857
165,0.9529675251959686
166,0.9518477043673013
167,0.9518477043673013
168,0.9555804404628593
169,0.9540873460246361
170,0.9544606196341918
171,0.9525942515864129
172,0.9518477043673013
173,0.9499813363195222
174,0.950354609929078
175,0.9492347891004106
176,0.9499813363195222
177,0.950354609929078
178,0.950354609929078
179,0.9511011571481897
180,0.9488615154908548
181,0.9499813363195222
182,0.9514744307577454
183,0.9511011571481897
184,0.950354609929078
185,0.9518477043673013
186,0.9507278835386338
187,0.9518477043673013
188,0.950354609929078
189,0.9525942515864129
190,0.9511011571481897
191,0.9518477043673013
192,0.9514744307577454
193,0.9525942515864129
194,0.9518477043673013
195,0.9511011571481897
196,0.9514744307577454
197,0.9507278835386338
198,0.950354609929078
199,0.9533407988055245
200,0.9507278835386338
201,0.9514744307577454
202,0.9548338932437477
203,0.9529675251959686
204,0.9514744307577454
205,0.950354609929078
206,0.9492347891004106
207,0.9499813363195222
208,0.9518477043673013
209,0.948488241881299
210,0.952220977976857
211,0.9507278835386338
212,0.9499813363195222
213,0.950354609929078
214,0.9511011571481897
215,0.9481149682717432
216,0.9511011571481897
217,0.9462486002239642
218,0.9499813363195222
219,0.9496080627099664
220,0.950354609929078
221,0.9533407988055245
222,0.9525942515864129
223,0.9518477043673013
224,0.9525942515864129
225,0.9507278835386338
226,0.9533407988055245
227,0.9496080627099664
228,0.950354609929078
229,0.9511011571481897
230,0.9518477043673013
231,0.9507278835386338
232,0.9537140724150802
233,0.9518477043673013
234,0.9518477043673013
235,0.9544606196341918
236,0.9533407988055245
237,0.9518477043673013
238,0.9574468085106383
239,0.9574468085106383
240,0.9608062709966405
241,0.9529675251959686
242,0.955953714072415
243,0.9518477043673013
244,0.9492347891004106
245,0.9537140724150802
246,0.9537140724150802
247,0.9548338932437477
248,0.9548338932437477
249,0.9548338932437477
250,0.9533407988055245
251,0.9507278835386338
252,0.9529675251959686
253,0.9511011571481897
254,0.9552071668533034
255,0.9537140724150802
256,0.9518477043673013
257,0.9540873460246361
258,0.9533407988055245
259,0.9533407988055245
260,0.9537140724150802
261,0.9529675251959686
262,0.9537140724150802
263,0.9514744307577454
264,0.9544606196341918
265,0.9578200821201941
266,0.9533407988055245
267,0.9548338932437477
268,0.9518477043673013
269,0.9511011571481897
270,0.952220977976857
271,0.9567002612915267
272,0.9533407988055245
273,0.9570735349010825
274,0.9567002612915267
275,0.9544606196341918
276,0.955953714072415
277,0.9537140724150802
278,0.9563269876819709
279,0.9552071668533034
280,0.955953714072415
281,0.9585666293393057
282,0.9563269876819709
283,0.95819335572975
284,0.955953714072415
285,0.9525942515864129
286,0.95819335572975
287,0.9544606196341918
288,0.9563269876819709
289,0.9589399029488616
290,0.9563269876819709
291,0.955953714072415
292,0.9604329973870848
