Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1,Neutral AP,GOF AP,LOF AP
39,0.26,0.87,0.87,0.59,0.71,0.91,0.7801,0.341,0.6322,0.36,0.78,0.89,0.9280463349847263,0.2325590439797013,0.8840516656347588
40,0.25,0.87,0.87,0.58,0.71,0.9,0.7772,0.3315,0.6304,0.35,0.78,0.88,0.9272815890632072,0.23011982047951074,0.883674313195573
41,0.25,0.87,0.87,0.53,0.72,0.91,0.7828,0.3124,0.6318,0.34,0.79,0.89,0.9294819089154861,0.22187657855935453,0.8868835808346994
42,0.26,0.87,0.87,0.55,0.72,0.91,0.7814,0.3244,0.6336,0.35,0.79,0.89,0.9296517541562034,0.22560261692726238,0.8870542504157115
43,0.24,0.87,0.93,0.54,0.78,0.9,0.8344,0.3086,0.6743,0.33,0.82,0.91,0.9649030368811878,0.22548790348995143,0.9164741140495568
44,0.24,0.87,0.93,0.53,0.78,0.9,0.8372,0.3031,0.675,0.33,0.82,0.91,0.9643797968247958,0.22353421032862078,0.9175059838542101
45,0.24,0.87,0.93,0.53,0.78,0.9,0.8386,0.3048,0.6804,0.33,0.82,0.91,0.9648401513755068,0.22209965602573098,0.9182634660139104
46,0.24,0.87,0.93,0.53,0.78,0.9,0.8386,0.3028,0.6783,0.33,0.82,0.91,0.9648127707294111,0.2237240786962923,0.9183287857759672
47,0.24,0.87,0.93,0.53,0.78,0.9,0.8358,0.3009,0.6749,0.33,0.82,0.91,0.9646372607311291,0.22155366565125337,0.9178495399297408
48,0.24,0.87,0.93,0.51,0.79,0.9,0.8372,0.2983,0.6838,0.33,0.82,0.91,0.9640355390844765,0.2217710898527586,0.9218550895541467
49,0.25,0.87,0.93,0.51,0.79,0.9,0.8364,0.3024,0.6873,0.33,0.83,0.91,0.9640665652285059,0.22853042126811565,0.9225741694976265
50,0.25,0.87,0.93,0.53,0.79,0.9,0.8351,0.3117,0.686,0.34,0.83,0.91,0.9640126335161533,0.2311459999140701,0.9228650860563421
51,0.26,0.87,0.93,0.53,0.79,0.9,0.8385,0.3187,0.6928,0.35,0.83,0.91,0.9643064402185183,0.2359303927795665,0.9232749741921257
52,0.26,0.87,0.93,0.52,0.8,0.9,0.8358,0.3144,0.692,0.34,0.83,0.91,0.964372776706585,0.23622971239298993,0.9226778794152952
53,0.25,0.87,0.93,0.51,0.79,0.9,0.8378,0.3093,0.6871,0.34,0.83,0.91,0.9634640014122153,0.26951856475098135,0.9234138189309019
54,0.25,0.87,0.93,0.5,0.79,0.9,0.8378,0.3021,0.6884,0.33,0.83,0.91,0.9634039327569278,0.26649544682786724,0.924397551339165
55,0.27,0.87,0.92,0.53,0.79,0.9,0.8364,0.3289,0.6914,0.36,0.83,0.91,0.9631239123536408,0.2744686429472756,0.9240849415382366
56,0.27,0.87,0.92,0.53,0.79,0.9,0.8364,0.3274,0.6915,0.36,0.83,0.91,0.9631930182507403,0.2772009987166619,0.9247907980315683
57,0.23,0.86,0.92,0.43,0.79,0.9,0.8364,0.2568,0.6824,0.3,0.83,0.91,0.9624192421594795,0.22806326085163622,0.9215846981971513
58,0.23,0.86,0.93,0.43,0.8,0.9,0.8364,0.2627,0.6845,0.3,0.83,0.91,0.9626507985234061,0.22464694789723627,0.9216529517622359
59,0.22,0.86,0.92,0.41,0.79,0.91,0.8413,0.2486,0.6839,0.29,0.83,0.92,0.9645562981747842,0.23896787593957042,0.9247183876352338
60,0.24,0.86,0.92,0.44,0.8,0.9,0.8392,0.2771,0.6922,0.31,0.83,0.91,0.9643481831628082,0.26020616579889133,0.9256501271310928
61,0.24,0.86,0.92,0.43,0.8,0.9,0.837,0.2665,0.6902,0.31,0.83,0.91,0.9642167366761102,0.2553123594964151,0.9263796993071705
62,0.25,0.86,0.92,0.44,0.8,0.91,0.8405,0.2779,0.6917,0.32,0.83,0.92,0.9643339754153152,0.2612257482020629,0.9270680301724957
63,0.24,0.86,0.92,0.43,0.8,0.91,0.8406,0.2711,0.6917,0.31,0.83,0.92,0.964259525156873,0.25900438015589533,0.926612159375985
64,0.29,0.87,0.92,0.53,0.8,0.91,0.8405,0.3435,0.7018,0.37,0.84,0.92,0.9649347143843898,0.328491582400814,0.9284864546622226
65,0.3,0.87,0.92,0.52,0.82,0.91,0.8413,0.3494,0.7113,0.38,0.84,0.92,0.9649037903817403,0.34252399078986173,0.9297167755802942
66,0.29,0.87,0.92,0.52,0.81,0.91,0.8406,0.3416,0.7058,0.37,0.84,0.92,0.9645778741405576,0.3393334514910233,0.9294887325251632
67,0.3,0.87,0.92,0.51,0.82,0.91,0.8413,0.3465,0.7134,0.38,0.84,0.92,0.964902466335445,0.3516919134572087,0.9300019927812033
68,0.28,0.87,0.92,0.47,0.81,0.91,0.8377,0.3192,0.707,0.35,0.84,0.91,0.9637840095886931,0.3363838833681399,0.9279180310928121
69,0.29,0.87,0.92,0.46,0.82,0.91,0.8405,0.3195,0.7104,0.36,0.84,0.92,0.9634050595169503,0.3355824675777176,0.9293187674607206
70,0.28,0.87,0.92,0.44,0.82,0.91,0.8427,0.3036,0.7103,0.34,0.84,0.92,0.9638784818168876,0.30102689821928713,0.9277589936998998
71,0.36,0.88,0.92,0.57,0.83,0.91,0.8434,0.4157,0.7303,0.44,0.85,0.92,0.965842034235349,0.4104920734610585,0.9310785171064523
72,0.37,0.88,0.92,0.57,0.83,0.91,0.8441,0.4225,0.7288,0.45,0.85,0.92,0.9657900766624368,0.41000311202071765,0.9318372126927904
73,0.39,0.89,0.92,0.66,0.83,0.91,0.8363,0.4712,0.7342,0.49,0.85,0.91,0.9654525600428392,0.4755250287684907,0.9353244979945445
74,0.39,0.89,0.92,0.68,0.83,0.91,0.842,0.4786,0.7402,0.49,0.86,0.92,0.9648154686322593,0.5154349699392979,0.9355028528500189
75,0.39,0.89,0.92,0.68,0.83,0.91,0.8391,0.4754,0.7372,0.49,0.86,0.91,0.965123624821281,0.5062081508769652,0.9359883578820518
76,0.38,0.89,0.92,0.71,0.82,0.91,0.8427,0.4849,0.7341,0.5,0.85,0.92,0.9651492878082422,0.5318972484920317,0.9367781199439065
77,0.39,0.89,0.92,0.72,0.82,0.91,0.8377,0.4943,0.7331,0.51,0.85,0.91,0.96516779692908,0.5423459919901468,0.9372785568732305
78,0.4,0.89,0.92,0.73,0.82,0.91,0.8398,0.5059,0.7375,0.52,0.86,0.91,0.9651361502970849,0.5546193136502495,0.9378043333755907
79,0.39,0.89,0.92,0.72,0.82,0.91,0.8384,0.4964,0.7333,0.51,0.85,0.91,0.9652244520896603,0.5602257389787729,0.9379865638612901
80,0.4,0.89,0.92,0.73,0.82,0.91,0.8406,0.5027,0.7361,0.51,0.85,0.92,0.9649126841945806,0.5610276319447339,0.9380478526788516
81,0.39,0.89,0.93,0.72,0.82,0.91,0.8469,0.4942,0.7377,0.5,0.86,0.92,0.9680858743919752,0.5512237667724627,0.9388901840416827
82,0.39,0.89,0.92,0.72,0.82,0.91,0.8455,0.4933,0.739,0.5,0.86,0.92,0.9680966310248438,0.5399503317134319,0.9388535502437347
83,0.39,0.89,0.93,0.72,0.83,0.91,0.8484,0.4933,0.743,0.5,0.86,0.92,0.9687761960113254,0.5485022800845231,0.939310960072921
84,0.44,0.89,0.93,0.72,0.84,0.91,0.8477,0.5359,0.7559,0.55,0.87,0.92,0.9687355118252204,0.5752469467938087,0.9408247285664786
85,0.44,0.89,0.93,0.72,0.84,0.91,0.8477,0.5334,0.7544,0.55,0.87,0.92,0.9688412754321226,0.591522832878195,0.9403608255775403
86,0.44,0.89,0.93,0.72,0.84,0.91,0.8441,0.5309,0.7509,0.54,0.87,0.92,0.968626330212379,0.5750822242341169,0.9402478750937833
87,0.44,0.89,0.93,0.7,0.85,0.91,0.8462,0.5213,0.7515,0.54,0.87,0.92,0.968503805874445,0.5713386255822466,0.9406551478525171
88,0.43,0.89,0.93,0.67,0.85,0.91,0.8469,0.5051,0.75,0.52,0.87,0.92,0.9683919057318211,0.5544568497544813,0.9400909767536855
89,0.44,0.89,0.93,0.7,0.84,0.91,0.8469,0.5243,0.7509,0.54,0.87,0.92,0.9683437523088749,0.5754846856593799,0.940448485425164
90,0.44,0.89,0.93,0.72,0.84,0.91,0.8462,0.5291,0.7509,0.54,0.87,0.92,0.9683755983727603,0.5674773424094172,0.940186180742515
91,0.44,0.89,0.93,0.74,0.84,0.91,0.8455,0.5394,0.7538,0.55,0.87,0.92,0.9684326867618605,0.59761887391393,0.9405252395476856
92,0.45,0.89,0.93,0.72,0.85,0.91,0.8469,0.5424,0.7586,0.56,0.87,0.92,0.9684070249104288,0.6022733007577376,0.9402996470904402
93,0.45,0.89,0.92,0.72,0.85,0.91,0.8434,0.5424,0.7551,0.56,0.87,0.92,0.9680497873732514,0.5957182971918276,0.9404246570947543
94,0.46,0.89,0.93,0.72,0.85,0.91,0.8462,0.5421,0.755,0.56,0.87,0.92,0.9683187215900704,0.590577258289616,0.9413976139025895
95,0.44,0.89,0.93,0.7,0.85,0.91,0.8505,0.5226,0.7522,0.54,0.87,0.92,0.9675773995950022,0.563004082164825,0.93991275559752
96,0.46,0.89,0.93,0.74,0.85,0.91,0.8505,0.5563,0.7622,0.57,0.87,0.92,0.9679957072976522,0.5898859584847812,0.9408420975163756
97,0.45,0.89,0.93,0.72,0.84,0.91,0.8462,0.5372,0.7509,0.55,0.87,0.92,0.967971476722651,0.5728163828689921,0.9401931931296323
98,0.46,0.89,0.93,0.72,0.85,0.91,0.8469,0.5477,0.7558,0.56,0.87,0.92,0.9681675104598215,0.598104095122417,0.9410473151651997
