Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1
60,0.24,0.86,0.92,0.44,0.8,0.9,0.8392,0.2771,0.6922,0.31,0.83,0.91
61,0.24,0.86,0.92,0.43,0.8,0.9,0.837,0.2665,0.6902,0.31,0.83,0.91
62,0.25,0.86,0.92,0.44,0.8,0.91,0.8405,0.2779,0.6917,0.32,0.83,0.92
63,0.24,0.86,0.92,0.43,0.8,0.91,0.8406,0.2711,0.6917,0.31,0.83,0.92
64,0.29,0.87,0.92,0.53,0.8,0.91,0.8405,0.3435,0.7018,0.37,0.84,0.92
65,0.3,0.87,0.92,0.52,0.82,0.91,0.8413,0.3494,0.7113,0.38,0.84,0.92
66,0.29,0.87,0.92,0.52,0.81,0.91,0.8406,0.3416,0.7058,0.37,0.84,0.92
67,0.3,0.87,0.92,0.51,0.82,0.91,0.8413,0.3465,0.7134,0.38,0.84,0.92
68,0.28,0.87,0.92,0.47,0.81,0.91,0.8377,0.3192,0.707,0.35,0.84,0.91
69,0.29,0.87,0.92,0.46,0.82,0.91,0.8405,0.3195,0.7104,0.36,0.84,0.92
70,0.28,0.87,0.92,0.44,0.82,0.91,0.8427,0.3036,0.7103,0.34,0.84,0.92
71,0.36,0.88,0.92,0.57,0.83,0.91,0.8434,0.4157,0.7303,0.44,0.85,0.92
72,0.37,0.88,0.92,0.57,0.83,0.91,0.8441,0.4225,0.7288,0.45,0.85,0.92
73,0.39,0.89,0.92,0.66,0.83,0.91,0.8363,0.4712,0.7342,0.49,0.85,0.91
74,0.39,0.89,0.92,0.68,0.83,0.91,0.842,0.4786,0.7402,0.49,0.86,0.92
75,0.39,0.89,0.92,0.68,0.83,0.91,0.8391,0.4754,0.7372,0.49,0.86,0.91
76,0.38,0.89,0.92,0.71,0.82,0.91,0.8427,0.4849,0.7341,0.5,0.85,0.92
77,0.39,0.89,0.92,0.72,0.82,0.91,0.8377,0.4943,0.7331,0.51,0.85,0.91
78,0.4,0.89,0.92,0.73,0.82,0.91,0.8398,0.5059,0.7375,0.52,0.86,0.91
79,0.39,0.89,0.92,0.72,0.82,0.91,0.8384,0.4964,0.7333,0.51,0.85,0.91
