Model,GOF AP,LOF AP,Neutral AP
1,0.0640636362348408,0.517037929145437,0.5554815109328732
2,0.0819947474964641,0.6406689717497909,0.7258254263227466
3,0.232164435324177,0.6678515211888216,0.7361874075844659
4,0.3032775491077996,0.6841415019802701,0.8095391131926621
5,0.3247440042135953,0.7781296166094689,0.8432577262593371
6,0.3222568685847135,0.7781047408226293,0.8473779500290755
7,0.3219392366982225,0.781094645024301,0.8472009472342594
8,0.3250472606774339,0.7811750180619496,0.8474910516671994
9,0.3210205207862348,0.7800606844712926,0.8468149476052633
10,0.3553784775456345,0.7800485819412944,0.8473739166934637
11,0.3682641362410899,0.7813944861651005,0.8484750099652656
12,0.3585290464477358,0.7882228834126193,0.8520439218557376
13,0.3490101271949277,0.7908385759323473,0.8525314297291576
14,0.3428054449110085,0.7888720753879593,0.8534120365414244
15,0.3406435528232371,0.7874048427539956,0.8557935421055141
16,0.3449122559364694,0.7875505814899518,0.8558069989994201
17,0.3534985884720445,0.7897410051881011,0.8556429288317838
18,0.3381749145816379,0.7915850459297661,0.8570111887300706
19,0.3512507398616796,0.7939360723644546,0.8590278749635099
20,0.3366534552487308,0.7930885973336654,0.8588172260019946
21,0.3485235898946482,0.7943727369170142,0.8589721246874461
22,0.3430452545166754,0.8010406659543745,0.8589220796114552
23,0.3545329921968391,0.8017167022224913,0.858579499424218
24,0.3453962571480346,0.8023048466388019,0.8590146236531544
25,0.3387249449832221,0.8027768242422507,0.8585643151114923
26,0.3406223677031265,0.8020769804700147,0.8582360925029715
27,0.335435941044507,0.8013935058597785,0.8572843939416832
28,0.3301350035092695,0.8018788561449011,0.8567283755017123
29,0.3397652854243688,0.8025665145210814,0.8571421132823127
30,0.3350005685702449,0.8021170681828058,0.8566070375145632
31,0.3568959431319687,0.8750047303484927,0.9067964977665957
32,0.3437405546098211,0.8790311823866923,0.9187739698997576
33,0.3448972536550306,0.8958941839278067,0.9332798818849096
34,0.3415409712014742,0.8951097038724649,0.9329415434609992
35,0.3493316361239036,0.8950337074370626,0.9326629156113484
36,0.3467344843667448,0.8954738747151263,0.9345000237892728
37,0.2778586645226358,0.8907258166871543,0.9298329486868598
38,0.2332484056004628,0.8841109441494054,0.9283186553889956
39,0.2325590439797013,0.8840516656347588,0.9280463349847264
40,0.2301198204795107,0.883674313195573,0.9272815890632072
41,0.2218765785593545,0.8868835808346994,0.929481908915486
42,0.2256026169272623,0.8870542504157115,0.9296517541562034
43,0.2254879034899514,0.9164741140495568,0.9649030368811878
44,0.2235342103286207,0.91750598385421,0.9643797968247958
45,0.2220996560257309,0.9182634660139104,0.9648401513755068
46,0.2237240786962923,0.9183287857759672,0.9648127707294112
47,0.2215536656512533,0.9178495399297408,0.9646372607311292
48,0.2217710898527586,0.9218550895541467,0.9640355390844764
