Model,GOF Specificity
1,0.9555804404628593
2,0.7338559163867114
3,0.8734602463605823
4,0.8992161254199328
5,0.9029488615154908
6,0.9085479656588279
7,0.921612541993281
8,0.9231056364315043
9,0.9268383725270624
10,0.9413960432997387
11,0.9402762224710713
12,0.9432624113475178
13,0.9455020530048526
14,0.944755505785741
15,0.9496080627099664
16,0.9507278835386338
17,0.9567002612915267
18,0.9544606196341918
19,0.9604329973870848
20,0.9574468085106383
21,0.9574468085106383
22,0.9589399029488616
23,0.9574468085106383
24,0.9600597237775289
25,0.9574468085106383
26,0.9563269876819709
27,0.9608062709966405
28,0.9604329973870848
29,0.9630459126539753
30,0.9649122807017544
31,0.9641657334826428
32,0.9622993654348637
33,0.95819335572975
34,0.9604329973870848
35,0.9615528182157521
36,0.9637924598730869
37,0.9552071668533034
38,0.9686450167973124
39,0.9701381112355356
40,0.9705113848450915
41,0.9723777528928704
42,0.9697648376259799
43,0.9712579320642031
44,0.9705113848450915
45,0.9712579320642031
46,0.9708846584546472
47,0.9686450167973124
48,0.9664053751399776
49,0.9667786487495335
50,0.9678984695782008
51,0.9720044792833147
52,0.9708846584546472
53,0.9794699514744307
54,0.9764837625979843
55,0.9772303098170959
56,0.9798432250839866
57,0.9794699514744307
58,0.9809630459126539
59,0.9817095931317655
60,0.9820828667413214
61,0.9802164986935423
62,0.9817095931317655
63,0.9817095931317655
64,0.9861888764464353
65,0.9846957820082121
66,0.9854423292273237
67,0.9876819708846585
68,0.9899216125419933
69,0.990294886151549
70,0.9891750653228817
71,0.9895483389324374
72,0.9906681597611049
73,0.9873086972751026
74,0.9899216125419933
75,0.9899216125419933
76,0.9880552444942142
77,0.9873086972751026
78,0.9895483389324374
79,0.9884285181037701
80,0.9888017917133258
81,0.9891750653228817
82,0.9891750653228817
83,0.9891750653228817
84,0.9910414333706606
85,0.9906681597611049
86,0.9917879805897724
87,0.990294886151549
88,0.9914147069802165
89,0.9906681597611049
90,0.990294886151549
91,0.9906681597611049
92,0.9910414333706606
93,0.9917879805897724
94,0.9929078014184397
95,0.9914147069802165
96,0.9921612541993281
97,0.9914147069802165
98,0.990294886151549
99,0.9910414333706606
100,0.9895483389324374
101,0.9895483389324374
102,0.9884285181037701
103,0.9891750653228817
104,0.9891750653228817
105,0.990294886151549
106,0.9910414333706606
107,0.992534527808884
108,0.9914147069802165
109,0.9929078014184397
110,0.9929078014184397
111,0.992534527808884
112,0.9929078014184397
113,0.992534527808884
114,0.9914147069802165
115,0.9914147069802165
116,0.9914147069802165
117,0.9921612541993281
118,0.9880552444942142
119,0.9895483389324374
120,0.9891750653228817
121,0.990294886151549
122,0.990294886151549
123,0.9910414333706606
124,0.9888017917133258
125,0.9888017917133258
126,0.9880552444942142
127,0.9880552444942142
128,0.9876819708846585
129,0.9888017917133258
130,0.9895483389324374
131,0.9888017917133258
132,0.9899216125419933
133,0.9891750653228817
134,0.9899216125419933
135,0.9891750653228817
136,0.9899216125419933
137,0.9906681597611049
138,0.9895483389324374
139,0.9891750653228817
140,0.990294886151549
141,0.9910414333706606
142,0.9899216125419933
143,0.990294886151549
144,0.9891750653228817
145,0.9888017917133258
146,0.9884285181037701
147,0.9899216125419933
148,0.9891750653228817
149,0.9899216125419933
150,0.9891750653228817
151,0.9899216125419933
152,0.9906681597611049
153,0.9914147069802165
154,0.9929078014184397
155,0.9899216125419933
156,0.9917879805897724
157,0.9906681597611049
158,0.9917879805897724
159,0.9910414333706606
160,0.990294886151549
161,0.9914147069802165
162,0.9906681597611049
163,0.9899216125419933
164,0.9910414333706606
165,0.9906681597611049
166,0.9906681597611049
167,0.9917879805897724
168,0.9917879805897724
169,0.9917879805897724
170,0.992534527808884
171,0.9917879805897724
172,0.9910414333706606
173,0.9921612541993281
174,0.9929078014184397
175,0.9921612541993281
176,0.9921612541993281
177,0.9910414333706606
178,0.9917879805897724
179,0.9917879805897724
180,0.9917879805897724
181,0.9910414333706606
182,0.9906681597611049
183,0.9917879805897724
184,0.9899216125419933
185,0.9929078014184397
186,0.9921612541993281
187,0.9917879805897724
188,0.9914147069802165
189,0.9921612541993281
190,0.992534527808884
191,0.9932810750279956
192,0.9910414333706606
193,0.9917879805897724
194,0.9914147069802165
195,0.9914147069802165
196,0.9906681597611049
197,0.9910414333706606
198,0.9906681597611049
199,0.990294886151549
200,0.9914147069802165
201,0.9906681597611049
202,0.9917879805897724
203,0.9910414333706606
204,0.9917879805897724
205,0.9910414333706606
206,0.9914147069802165
207,0.990294886151549
208,0.9906681597611049
209,0.9895483389324374
210,0.9906681597611049
211,0.9906681597611049
212,0.9910414333706606
213,0.9906681597611049
214,0.990294886151549
215,0.990294886151549
216,0.9906681597611049
217,0.9914147069802165
218,0.9906681597611049
219,0.9914147069802165
220,0.9921612541993281
221,0.9910414333706606
222,0.9906681597611049
223,0.9914147069802165
224,0.9914147069802165
225,0.9899216125419933
226,0.9910414333706606
227,0.9917879805897724
228,0.9921612541993281
229,0.9914147069802165
230,0.9921612541993281
231,0.9917879805897724
232,0.9917879805897724
233,0.9921612541993281
234,0.992534527808884
235,0.9914147069802165
236,0.9921612541993281
237,0.9921612541993281
238,0.9929078014184397
239,0.9929078014184397
240,0.9917879805897724
241,0.9921612541993281
242,0.9929078014184397
243,0.9921612541993281
244,0.9914147069802165
245,0.9906681597611049
246,0.9906681597611049
247,0.9921612541993281
248,0.9917879805897724
249,0.9921612541993281
250,0.992534527808884
251,0.9929078014184397
252,0.9929078014184397
253,0.9940276222471072
254,0.9936543486375513
255,0.9936543486375513
256,0.9944008958566629
257,0.9929078014184397
258,0.9940276222471072
259,0.992534527808884
260,0.9940276222471072
261,0.9940276222471072
262,0.9936543486375513
263,0.9944008958566629
264,0.9940276222471072
265,0.9940276222471072
266,0.9951474430757745
267,0.9936543486375513
268,0.9944008958566629
269,0.9955207166853304
270,0.9944008958566629
271,0.9951474430757745
272,0.9951474430757745
273,0.9940276222471072
274,0.9947741694662188
275,0.9932810750279956
276,0.9936543486375513
277,0.9940276222471072
278,0.9932810750279956
279,0.992534527808884
280,0.9921612541993281
281,0.992534527808884
282,0.9929078014184397
283,0.9932810750279956
284,0.9932810750279956
285,0.9921612541993281
286,0.9932810750279956
287,0.992534527808884
288,0.992534527808884
289,0.9910414333706606
290,0.9929078014184397
291,0.9936543486375513
292,0.9929078014184397
293,0.9936543486375513
294,0.992534527808884
295,0.992534527808884
296,0.992534527808884
297,0.9921612541993281
298,0.9921612541993281
299,0.9929078014184397
300,0.9929078014184397
301,0.9917879805897724
302,0.992534527808884
303,0.9917879805897724
304,0.992534527808884
305,0.9936543486375513
306,0.992534527808884
307,0.9932810750279956
308,0.9917879805897724
309,0.9921612541993281
310,0.9917879805897724
311,0.9914147069802165
