Model,Accuracy,Precision,Recall,F1 Score,ROC AUC Score,Overall MCC
3,0.6096785588131403,0.8830927720916025,0.6096785588131403,0.6940114765530744,0.8173371362254409,0.501940064711971
1,0.6121511833274461,0.8817077739929798,0.6121511833274461,0.6971600802656074,0.820837679551615,0.5027091683155325
2,0.6121511833274461,0.8817077739929798,0.6121511833274461,0.6971600802656074,0.820837679551615,0.5027091683155325
8,0.7336630166019075,0.8689467982269921,0.7336630166019075,0.7792679189212453,0.8716228655619354,0.60346647286934
9,0.7361356411162133,0.8669324992878347,0.7361356411162133,0.7807395005200637,0.8733960217876069,0.6044005299645507
7,0.7276580713528789,0.8740398038719326,0.7276580713528789,0.7767865125436646,0.8736020063786253,0.6002470834269987
5,0.7273048392794066,0.8773856345747981,0.7273048392794066,0.7769216097016279,0.8745500301301948,0.6027507938811741
6,0.7273048392794066,0.8773856345747981,0.7273048392794066,0.7769216097016279,0.8745500301301948,0.6027507938811741
4,0.7022253620628753,0.8718015152386576,0.7022253620628753,0.7575009315290814,0.8774001538238605,0.5768391791799035
24,0.787707523843165,0.8524683752089159,0.787707523843165,0.8123229233032494,0.8812318286275865,0.64951427858214
70,0.8074885199576122,0.8352958960711824,0.8074885199576122,0.8202831330595698,0.8818568578386712,0.6611207072324057
69,0.8074885199576122,0.8352958960711824,0.8074885199576122,0.8202831330595698,0.8818568578386712,0.6611207072324057
14,0.7806428823737195,0.8665483730681418,0.7806428823737195,0.8113000576033663,0.8819769777297625,0.650630959553337
23,0.7880607559166373,0.8525456950963259,0.7880607559166373,0.8124289148851973,0.8824273875991686,0.6502487763073117
22,0.7880607559166373,0.8525456950963259,0.7880607559166373,0.8124289148851973,0.8824273875991686,0.6502487763073117
21,0.7901801483574709,0.8557405641020912,0.7901801483574709,0.814809260480842,0.8825131661325072,0.6545195142989693
54,0.8103143765453903,0.8407169585917822,0.8103143765453903,0.8238575998069281,0.8834203884766255,0.6680225789267643
