Model,ROC_AUC_Score
3,0.8173371362254409
1,0.820837679551615
2,0.820837679551615
8,0.8716228655619354
9,0.8733960217876069
7,0.8736020063786253
5,0.8745500301301948
6,0.8745500301301948
4,0.8774001538238605
24,0.8812318286275865
70,0.8818568578386712
69,0.8818568578386712
14,0.8819769777297625
23,0.8824273875991686
22,0.8824273875991686
21,0.8825131661325072
54,0.8834203884766255
20,0.8838840631117827
60,0.8841108309617355
59,0.8841108309617355
58,0.8841108309617355
61,0.8843919271513193
63,0.8844094910798392
71,0.8845511385625233
55,0.8848459022397153
65,0.8848610095037959
72,0.8850525792189948
67,0.8852497729846501
66,0.8852497729846501
68,0.8852497729846501
56,0.8854308254871626
62,0.8855658075870011
73,0.8857973219326504
13,0.8858801298575711
57,0.8865746955056094
25,0.8866289450119789
64,0.886766228554175
12,0.8867874884793437
75,0.8873600825713029
74,0.888311128264577
26,0.8883924340797487
27,0.8922103313959662
11,0.8929315579642761
28,0.8931363111675225
10,0.8931510022653136
29,0.8935130443259509
52,0.893985337453294
15,0.8955744858457995
19,0.8961862857355455
53,0.896980310237852
17,0.8973263283685734
18,0.8973263283685734
16,0.8981079198265971
51,0.8999775245759333
31,0.9015624599722586
32,0.9015624599722586
30,0.9020941084346752
76,0.90270941793235
77,0.90336028917556
78,0.90336028917556
80,0.9038620194984356
82,0.9042094401278854
81,0.9042094401278854
44,0.9047847622173713
43,0.9049881679218388
46,0.9051348442332968
45,0.9059038272583076
79,0.9059177703567772
49,0.9062250061893278
50,0.9062250061893278
41,0.90641220218627
42,0.90641220218627
34,0.9064560701464964
47,0.9069323556591088
48,0.9069323556591088
86,0.9079302130321624
36,0.908009851126624
40,0.9083738829632352
35,0.908462065605505
87,0.909455731371248
85,0.9097044490901884
90,0.9097092719747044
39,0.909784543684236
37,0.9101187227701358
33,0.9103278038583468
88,0.9105363392248303
89,0.9105363392248303
83,0.9108711129213022
38,0.9117806862077334
84,0.9118357558244702
94,0.9139745437741916
91,0.914482225702782
92,0.914482225702782
93,0.9152749497618234
97,0.9163963523006404
95,0.9177301664802046
96,0.9177301664802046
98,0.9180183552189136
99,0.9180183552189136
150,0.9202264241613756
148,0.9206695178151928
159,0.9207562808476388
152,0.9209716099301848
160,0.921001102736778
142,0.9210082258414308
192,0.9213079052919436
140,0.9213238247219544
100,0.92146980742293
102,0.9215782013246532
141,0.921613499681538
149,0.9216667567443628
101,0.9216736048492647
156,0.9216974815498388
151,0.9217092906502432
193,0.9217304961865724
154,0.9218328077049208
103,0.9218983004233188
161,0.921921643013266
162,0.9222309132328608
104,0.9223098888834784
194,0.922412738790228
153,0.92256432354168
155,0.922689593872546
157,0.9226985790310662
147,0.92289396085392
189,0.9229151535569274
158,0.922957727184994
195,0.9229922677647884
171,0.923000306924166
190,0.923071068026676
187,0.9231630682765958
166,0.9231972984122272
168,0.9232991039310344
197,0.9233507922730594
184,0.9233803773573468
108,0.9234622056720446
174,0.9234824456536938
167,0.9235419372664212
227,0.9236152540332808
181,0.9236215649720032
164,0.9236250813021484
188,0.923686580413056
144,0.9237651936751132
145,0.9237651936751132
106,0.9237859304896452
176,0.9238066281931016
165,0.9238294409501956
173,0.9238333294466702
172,0.9238719919671716
186,0.9239316742463932
177,0.9239565067238784
178,0.9239565067238784
196,0.9240159121700176
175,0.9240203066660332
191,0.9240236555518856
146,0.924028875658264
169,0.9240692529549884
143,0.9241039640346282
132,0.9242243265366108
198,0.9242266108678728
110,0.9242528006219052
137,0.9243072609614168
109,0.9243422397074804
133,0.9243814039497494
203,0.9244169314730932
200,0.9245027986174628
202,0.9245654423384436
183,0.9245830722669034
179,0.9245985406973232
170,0.9246678375789384
134,0.9247103794292562
185,0.9247280154688214
204,0.9247754767591232
223,0.92482501704754
199,0.924826291824162
201,0.9248360812041752
253,0.9248700595622572
105,0.92487835661029
107,0.92490126347841
163,0.9249301237855768
138,0.924959354425741
139,0.924959354425741
182,0.9249658095865548
251,0.9249775502425768
131,0.9250353338012974
230,0.9250814372039414
128,0.9251154730064156
226,0.9251434777588023
231,0.9251845566104464
224,0.9251966015995258
228,0.9252073504231134
180,0.9252650838707684
247,0.92527836024762
135,0.925428749055712
136,0.925428749055712
120,0.9254900190001604
252,0.9254926137755858
222,0.9255223742486032
237,0.9256534592964192
220,0.9256553268502814
117,0.9256719545574278
129,0.9257381964973684
258,0.925743964158806
116,0.9258396029609822
130,0.9258544193364376
245,0.9258694092672912
112,0.9258942289114548
111,0.9259134128940611
256,0.925919126166659
236,0.9259879323264968
123,0.9260113201386252
122,0.9260113201386252
244,0.9260131498036333
229,0.9260150833574357
113,0.926019779130956
225,0.9260334001741616
233,0.9260597176503004
218,0.9260851227383776
234,0.926122871037486
119,0.9261867015351684
211,0.9262879484989268
217,0.926298350211718
241,0.9263091192019542
255,0.9263207926358148
243,0.9263472347785072
221,0.9264123583861285
259,0.9264365491975288
235,0.9264386104734376
219,0.9264534567933104
232,0.9264680116134472
246,0.9265202695105113
248,0.9265996729385186
249,0.9265996729385186
264,0.9266128686487768
121,0.92664025495728
242,0.926694721407897
250,0.9267312071525944
257,0.9267679972303492
254,0.9269130657099316
238,0.9270268593845364
214,0.927028307105446
115,0.9270350879881868
114,0.9270350879881868
260,0.9270708049558036
210,0.9271039155368944
262,0.9271861514623336
239,0.9272153411580908
261,0.927277180046468
269,0.9273264691684456
273,0.9273387537128632
124,0.9273532969218996
118,0.9274018423223296
125,0.9274569822167804
285,0.927475854533003
213,0.9275443600264468
270,0.9275970719786546
266,0.9276092300231872
209,0.9277445720671436
205,0.92774466678928
127,0.9277583104435764
206,0.9277766840935842
126,0.927782205477467
349,0.9278306799890724
275,0.9278397989808044
207,0.927848969916934
208,0.9278633640149944
272,0.9279134463584754
281,0.9279144198575926
348,0.927951013157748
271,0.9280307490298988
212,0.928033015027844
279,0.92807145204855
263,0.9280745216568782
265,0.9281013597992116
276,0.9281592515245009
216,0.9281766082865418
267,0.9281822097259076
277,0.928186777166211
240,0.928234493289615
355,0.9282633817078674
274,0.9283231067648278
345,0.9283630556730516
286,0.9284587128085448
215,0.928472636962587
290,0.9285099422065412
350,0.9285665872662944
268,0.9285890070793004
282,0.9286271024892048
284,0.9286652522879488
287,0.928693183707069
288,0.9287204160157118
344,0.928770504470298
294,0.928809598434853
362,0.9288199622587898
283,0.928820646091503
347,0.9289290589376532
359,0.9289514610284528
291,0.9291198995979576
346,0.9291900990898656
293,0.9292357404929286
354,0.9292441041520122
292,0.92927770484377
280,0.9293048876524574
368,0.9293342594591604
374,0.929380589583821
353,0.9293891396316244
314,0.9294367598106712
337,0.9294450580809251
356,0.929460136011699
382,0.9294771994406724
352,0.929492476593488
372,0.9295248440641414
377,0.9295362657204524
295,0.929578120682504
341,0.92958365673304
378,0.9296151937044468
381,0.9296223033646672
358,0.929629457024848
351,0.929652017393282
278,0.9296562530005528
330,0.9296874214722934
370,0.929705105789593
389,0.92972568371538
289,0.9297344079296922
385,0.9297595306846924
366,0.9298378261692598
373,0.9298381213356588
338,0.9298495814919352
336,0.9298506790464954
379,0.9299381436338608
339,0.9299452459607548
357,0.9299633934998566
376,0.9299944550272498
360,0.9299984822458204
343,0.9300098727354932
375,0.9300128916216448
367,0.9300223650575002
297,0.9300346593796864
298,0.9300346593796864
384,0.9300526248078425
364,0.9300802360050304
363,0.9301133520861162
296,0.9301214419676704
331,0.930136480176258
386,0.930157554934928
383,0.9302382954728344
371,0.9302595217869224
332,0.9302809839896856
365,0.9302922834238851
369,0.9303248635610126
315,0.9303356606623344
312,0.9303495976496982
300,0.9303908842789316
387,0.9304170061996924
380,0.9304269624128874
311,0.9305311280406662
310,0.93053963469962
388,0.9305521154105264
316,0.9305698302833538
335,0.9305920233743432
308,0.9306455267147224
342,0.9306460541031332
340,0.930691100895624
304,0.9307875359748562
333,0.9308322240454504
303,0.9308629127954036
309,0.9309306427895504
313,0.9310022680023882
334,0.9310790790994128
361,0.9311400642663415
317,0.9311481089257146
301,0.9312862382449216
302,0.9312977558455904
299,0.9312986107892596
306,0.931300781453958
307,0.9313203724361956
