Model,Accuracy
3,0.6096785588131403
1,0.6121511833274461
2,0.6121511833274461
4,0.7022253620628753
5,0.7273048392794066
6,0.7273048392794066
7,0.7276580713528789
8,0.7336630166019075
9,0.7361356411162133
10,0.7608618862592723
11,0.7636877428470505
12,0.7718120805369127
14,0.7806428823737195
13,0.7813493465206641
24,0.787707523843165
22,0.7880607559166373
23,0.7880607559166373
21,0.7901801483574709
20,0.7905333804309431
17,0.7912398445778877
18,0.7912398445778877
19,0.7922995407983044
16,0.7926527728717767
15,0.7937124690921936
25,0.7986577181208053
26,0.7997174143412222
27,0.8000706464146945
28,0.8039561992228894
29,0.8050158954433062
30,0.8067820558106676
70,0.8074885199576122
69,0.8074885199576122
32,0.8074885199576122
31,0.8074885199576122
54,0.8103143765453903
71,0.8113740727658071
55,0.8120805369127517
60,0.8120805369127517
59,0.8120805369127517
58,0.8120805369127517
73,0.812433768986224
61,0.812433768986224
56,0.8131402331331685
72,0.8134934652066408
63,0.8134934652066408
75,0.8134934652066408
74,0.813846697280113
57,0.813846697280113
65,0.8152596255740021
67,0.8156128576474744
68,0.8156128576474744
66,0.8156128576474744
62,0.8156128576474744
64,0.817732250088308
52,0.8184387142352526
33,0.8191451783821971
34,0.8212645708230307
35,0.821617802896503
36,0.8223242670434475
81,0.8237371953373366
82,0.8237371953373366
80,0.8237371953373366
53,0.8247968915577535
44,0.825503355704698
76,0.8262098198516425
41,0.8262098198516425
42,0.8262098198516425
43,0.8262098198516425
38,0.8265630519251148
79,0.8269162839985871
51,0.8269162839985871
40,0.8269162839985871
77,0.8269162839985871
78,0.8269162839985871
46,0.8272695160720593
39,0.8279759802190039
47,0.8279759802190039
48,0.8279759802190039
45,0.8279759802190039
37,0.8279759802190039
50,0.8286824443659484
49,0.8286824443659484
87,0.8300953726598375
86,0.8300953726598375
88,0.8318615330271989
89,0.8318615330271989
85,0.8322147651006712
90,0.8325679971741434
83,0.8339809254680325
84,0.834687389614977
97,0.837160014129283
94,0.8382197103496998
91,0.8396326386435888
92,0.8396326386435888
93,0.8396326386435888
99,0.8396326386435888
98,0.8396326386435888
100,0.8399858707170611
96,0.8410455669374779
95,0.8410455669374779
102,0.842458495231367
101,0.8438714235252561
103,0.8442246555987284
104,0.8449311197456729
107,0.8452843518191452
108,0.8470505121865065
140,0.847756976333451
109,0.847756976333451
112,0.847756976333451
106,0.847756976333451
105,0.8484634404803956
142,0.8484634404803956
110,0.848816672553868
141,0.848816672553868
111,0.8498763687742847
113,0.8505828329212293
150,0.8512892970681738
129,0.8512892970681738
116,0.8516425291416461
137,0.8516425291416461
132,0.8519957612151183
122,0.8523489932885906
123,0.8523489932885906
217,0.8527022253620629
180,0.8530554574355351
194,0.8530554574355351
136,0.8530554574355351
186,0.8530554574355351
181,0.8530554574355351
135,0.8530554574355351
115,0.8530554574355351
114,0.8530554574355351
164,0.8534086895090074
161,0.8534086895090074
120,0.8534086895090074
121,0.8534086895090074
143,0.8534086895090074
148,0.8534086895090074
171,0.8537619215824797
117,0.8537619215824797
166,0.8537619215824797
160,0.8537619215824797
198,0.8537619215824797
130,0.8537619215824797
156,0.8537619215824797
139,0.8537619215824797
138,0.8537619215824797
133,0.8541151536559519
178,0.8541151536559519
177,0.8541151536559519
173,0.8541151536559519
174,0.8541151536559519
157,0.8541151536559519
195,0.8544683857294242
188,0.8544683857294242
227,0.8544683857294242
190,0.8544683857294242
253,0.8544683857294242
209,0.8544683857294242
128,0.8544683857294242
187,0.8544683857294242
182,0.8544683857294242
149,0.8544683857294242
179,0.8544683857294242
147,0.8544683857294242
175,0.8544683857294242
155,0.8548216178028964
134,0.8548216178028964
151,0.8548216178028964
192,0.8548216178028964
146,0.8551748498763688
220,0.8551748498763688
201,0.8551748498763688
215,0.8551748498763688
223,0.8551748498763688
118,0.8551748498763688
193,0.8555280819498411
