Model,F1_Score
1,0.6945425553882667
2,0.6945425553882667
3,0.6961009584771692
4,0.7661534147557537
5,0.7923129440371374
6,0.8277215534933924
7,0.8327254157474947
8,0.8334006649204805
9,0.8400040050860146
10,0.8510169022939207
11,0.8527900774787165
12,0.8534068210058701
60,0.8539639351261735
75,0.8541739596048793
82,0.8542802224446416
74,0.8543897934809196
79,0.8547297931954642
71,0.8553762444877469
69,0.8554919877692722
73,0.8555623174157996
78,0.8555735225944882
55,0.855624449734406
72,0.8557833025434566
56,0.856010318553348
68,0.8560196046672975
62,0.8560214137149279
61,0.8564831732080488
15,0.8564966001142768
53,0.8567280551479631
81,0.8569018944178927
65,0.856921032725695
54,0.856931645355151
77,0.8570969507750623
63,0.8576745028225959
76,0.8576782283220882
57,0.8576995573305716
13,0.8578012456927037
58,0.8580759922312426
66,0.8580915635945164
99,0.8582530736513646
67,0.8584360827622717
52,0.8584853631723184
84,0.8586430517242165
70,0.8587975311055804
80,0.8588679773130722
16,0.8591767055879097
17,0.8594975729491926
19,0.8596505200028655
14,0.859756043017084
88,0.8598451137475831
95,0.8599994723681519
91,0.860293239842659
90,0.8607661591464479
59,0.8608477806410932
87,0.861136308602565
18,0.8613904666678952
85,0.8617874278036066
51,0.8617886548317013
86,0.8620352120935563
94,0.8622447486487528
83,0.8629267331937037
64,0.8630303672407709
97,0.8633890539453238
89,0.8635156068042588
155,0.8650797075147214
92,0.866705024851797
131,0.8668581594196303
108,0.8675199587826881
93,0.867534480676473
98,0.8675784993427244
96,0.8681225383559341
103,0.8683461665522614
161,0.8686578720074305
149,0.8688525158808682
160,0.8690516521616358
156,0.8690888695931969
192,0.8691942234933183
159,0.8697561881154204
102,0.8698267813005834
151,0.8700672929232407
158,0.8702029485557506
201,0.8703817860134374
167,0.8704519303593586
152,0.8707360548868166
104,0.8707918889362032
111,0.8708077074259363
117,0.8708412124046898
114,0.8709128001913333
157,0.8710213444858231
154,0.8711492249236956
101,0.8713512431454905
150,0.8713545208617653
100,0.8714300992535917
188,0.8714509536900744
203,0.8715262625836666
25,0.8715352371761212
123,0.8717588435671703
165,0.8717990174743778
24,0.8718445280767112
107,0.872012979228733
23,0.872022775847147
119,0.8720664161676702
214,0.8722268566421874
106,0.8724187747160027
166,0.8724301254642601
116,0.8725329618701907
20,0.872543244351752
200,0.872548357428755
148,0.8726287891019566
176,0.8728424856198397
