Model,micro_recall,macro_recall,confusion_matrix
70,0.8700,0.6499,"[[1232, 7, 100], [7, 19, 126], [94, 34, 1212]]"
71,0.8672,0.6440,"[[1231, 6, 102], [5, 17, 130], [99, 34, 1207]]"
72,0.8668,0.6457,"[[1227, 8, 104], [6, 18, 128], [95, 36, 1209]]"
73,0.8668,0.6418,"[[1233, 7, 99], [6, 16, 130], [95, 40, 1205]]"
74,0.8658,0.6410,"[[1230, 9, 100], [6, 16, 130], [98, 37, 1205]]"
75,0.8668,0.6360,"[[1229, 6, 104], [8, 13, 131], [92, 36, 1212]]"
76,0.8700,0.6460,"[[1226, 5, 108], [7, 17, 128], [90, 30, 1220]]"
77,0.8682,0.6486,"[[1230, 4, 105], [7, 19, 126], [94, 37, 1209]]"
78,0.8675,0.6423,"[[1231, 4, 104], [8, 16, 128], [94, 37, 1209]]"
79,0.8672,0.6401,"[[1230, 4, 105], [7, 15, 130], [95, 35, 1210]]"
80,0.8714,0.6470,"[[1235, 3, 101], [7, 17, 128], [94, 31, 1215]]"
81,0.8704,0.6423,"[[1233, 3, 103], [7, 15, 130], [96, 28, 1216]]"
82,0.8668,0.6418,"[[1231, 3, 105], [7, 16, 129], [100, 33, 1207]]"
83,0.8742,0.6626,"[[1228, 4, 107], [6, 24, 122], [94, 23, 1223]]"
84,0.8718,0.6492,"[[1230, 4, 105], [7, 18, 127], [98, 22, 1220]]"
85,0.8742,0.6548,"[[1231, 4, 104], [7, 20, 125], [93, 23, 1224]]"
86,0.8750,0.6553,"[[1233, 4, 102], [7, 20, 125], [97, 19, 1224]]"
87,0.8742,0.6528,"[[1228, 2, 109], [7, 19, 126], [91, 21, 1228]]"
88,0.8721,0.6513,"[[1231, 4, 104], [6, 19, 127], [94, 27, 1219]]"
89,0.8760,0.6580,"[[1232, 4, 103], [6, 21, 125], [93, 20, 1227]]"
90,0.8750,0.6475,"[[1234, 3, 102], [4, 16, 132], [94, 19, 1227]]"
91,0.8742,0.6509,"[[1231, 1, 107], [5, 18, 129], [97, 17, 1226]]"
92,0.8785,0.6694,"[[1231, 1, 107], [3, 26, 123], [95, 15, 1230]]"
93,0.8785,0.6733,"[[1232, 2, 105], [5, 28, 119], [95, 18, 1227]]"
94,0.8767,0.6526,"[[1232, 1, 106], [3, 18, 131], [96, 12, 1232]]"
95,0.8732,0.6521,"[[1229, 2, 108], [4, 19, 129], [96, 20, 1224]]"
96,0.8788,0.6755,"[[1227, 1, 111], [6, 29, 117], [90, 18, 1232]]"
97,0.8757,0.6616,"[[1229, 2, 108], [6, 23, 123], [95, 18, 1227]]"
98,0.8788,0.6736,"[[1228, 2, 109], [6, 28, 118], [94, 14, 1232]]"
99,0.8735,0.6426,"[[1233, 2, 104], [5, 14, 133], [98, 16, 1226]]"
100,0.8817,0.6833,"[[1233, 2, 104], [7, 32, 113], [94, 15, 1231]]"
101,0.8817,0.6833,"[[1232, 2, 105], [8, 32, 112], [94, 14, 1232]]"
102,0.8795,0.6838,"[[1232, 2, 105], [5, 33, 114], [97, 18, 1225]]"
103,0.8795,0.6760,"[[1231, 2, 106], [6, 29, 117], [98, 12, 1230]]"
104,0.8803,0.6862,"[[1229, 2, 108], [6, 34, 112], [93, 18, 1229]]"
105,0.8834,0.6943,"[[1232, 2, 105], [6, 37, 109], [93, 15, 1232]]"
106,0.8813,0.6928,"[[1231, 3, 105], [6, 37, 109], [97, 16, 1227]]"
107,0.8803,0.6960,"[[1232, 3, 104], [4, 39, 109], [100, 19, 1221]]"
108,0.8774,0.6784,"[[1233, 3, 103], [6, 31, 115], [99, 21, 1220]]"
109,0.8817,0.6989,"[[1233, 3, 103], [6, 40, 106], [96, 21, 1223]]"
110,0.8813,0.6986,"[[1228, 2, 109], [6, 40, 106], [99, 14, 1227]]"
111,0.8799,0.6899,"[[1230, 3, 106], [5, 36, 111], [99, 16, 1225]]"
112,0.8817,0.6950,"[[1232, 3, 104], [6, 38, 108], [97, 17, 1226]]"
113,0.8841,0.6987,"[[1231, 1, 107], [6, 39, 107], [94, 13, 1233]]"
114,0.8824,0.6780,"[[1232, 1, 106], [7, 29, 116], [93, 10, 1237]]"
115,0.8827,0.6899,"[[1233, 2, 104], [6, 35, 111], [96, 13, 1231]]"
116,0.8824,0.6877,"[[1229, 3, 107], [5, 34, 113], [93, 12, 1235]]"
117,0.8806,0.6865,"[[1228, 3, 108], [6, 34, 112], [96, 13, 1231]]"
118,0.8831,0.6999,"[[1233, 1, 105], [5, 40, 107], [99, 14, 1227]]"
119,0.8817,0.6892,"[[1229, 2, 108], [6, 35, 111], [95, 13, 1232]]"
120,0.8838,0.7082,"[[1231, 1, 107], [5, 44, 103], [100, 13, 1227]]"
121,0.8838,0.6984,"[[1233, 2, 104], [6, 39, 107], [99, 11, 1230]]"
122,0.8848,0.7031,"[[1231, 2, 106], [6, 41, 105], [94, 13, 1233]]"
123,0.8810,0.6926,"[[1229, 1, 109], [7, 37, 108], [99, 13, 1228]]"
124,0.8848,0.7011,"[[1231, 1, 107], [6, 40, 106], [94, 12, 1234]]"
125,0.8859,0.7019,"[[1234, 1, 104], [7, 40, 105], [95, 11, 1234]]"
126,0.8877,0.7148,"[[1233, 3, 103], [7, 46, 99], [95, 11, 1234]]"
127,0.8856,0.7055,"[[1229, 1, 109], [7, 42, 103], [93, 11, 1236]]"
128,0.8852,0.6955,"[[1232, 0, 107], [6, 37, 109], [95, 8, 1237]]"
129,0.8856,0.6977,"[[1234, 2, 103], [4, 38, 110], [96, 9, 1235]]"
130,0.8841,0.6967,"[[1229, 1, 109], [5, 38, 109], [96, 8, 1236]]"
131,0.8795,0.6682,"[[1228, 0, 111], [7, 25, 120], [94, 9, 1237]]"
132,0.8841,0.6909,"[[1231, 1, 107], [5, 35, 112], [91, 12, 1237]]"
133,0.8848,0.6972,"[[1230, 3, 106], [6, 38, 108], [92, 11, 1237]]"
134,0.8859,0.7019,"[[1228, 2, 109], [5, 40, 107], [93, 7, 1240]]"
135,0.8838,0.6926,"[[1229, 2, 108], [7, 36, 109], [93, 10, 1237]]"
136,0.8863,0.7021,"[[1230, 1, 108], [5, 40, 107], [91, 10, 1239]]"
137,0.8838,0.6926,"[[1228, 0, 111], [5, 36, 111], [90, 12, 1238]]"
138,0.8873,0.6970,"[[1233, 3, 103], [5, 37, 110], [89, 9, 1242]]"
139,0.8834,0.6943,"[[1229, 3, 107], [4, 37, 111], [95, 10, 1235]]"
140,0.8856,0.6958,"[[1230, 2, 107], [5, 37, 110], [88, 12, 1240]]"
141,0.8848,0.6992,"[[1231, 3, 105], [4, 39, 109], [94, 11, 1235]]"
142,0.8866,0.7024,"[[1230, 3, 106], [5, 40, 107], [91, 9, 1240]]"
143,0.8848,0.6836,"[[1229, 2, 108], [5, 31, 116], [87, 8, 1245]]"
144,0.8859,0.7038,"[[1228, 3, 108], [5, 41, 106], [91, 10, 1239]]"
145,0.8848,0.6953,"[[1229, 2, 108], [6, 37, 109], [92, 9, 1239]]"
146,0.8845,0.6892,"[[1226, 3, 110], [5, 34, 113], [89, 7, 1244]]"
147,0.8831,0.6863,"[[1229, 3, 107], [5, 33, 114], [92, 10, 1238]]"
148,0.8834,0.6826,"[[1229, 2, 108], [5, 31, 116], [89, 10, 1241]]"
149,0.8813,0.6695,"[[1229, 2, 108], [6, 25, 121], [89, 10, 1241]]"
150,0.8817,0.6833,"[[1225, 4, 110], [6, 32, 114], [90, 11, 1239]]"
151,0.8810,0.6790,"[[1227, 3, 109], [5, 30, 117], [92, 11, 1237]]"
152,0.8824,0.6741,"[[1229, 3, 107], [5, 27, 120], [86, 12, 1242]]"
153,0.8841,0.6831,"[[1232, 3, 104], [6, 31, 115], [89, 11, 1240]]"
154,0.8827,0.6763,"[[1230, 3, 106], [7, 28, 117], [89, 10, 1241]]"
155,0.8781,0.6634,"[[1229, 3, 107], [6, 23, 123], [97, 9, 1234]]"
156,0.8806,0.6748,"[[1228, 2, 109], [6, 28, 118], [92, 11, 1237]]"
157,0.8820,0.6797,"[[1229, 2, 108], [6, 30, 116], [91, 11, 1238]]"
158,0.8813,0.6773,"[[1230, 3, 106], [5, 29, 118], [92, 12, 1236]]"
159,0.8810,0.6770,"[[1231, 3, 105], [5, 29, 118], [95, 11, 1234]]"
160,0.8795,0.6780,"[[1227, 3, 109], [6, 30, 116], [91, 16, 1233]]"
161,0.8799,0.6743,"[[1232, 4, 103], [5, 28, 119], [96, 13, 1231]]"
162,0.8841,0.6948,"[[1228, 3, 108], [7, 37, 108], [90, 12, 1238]]"
163,0.8824,0.6897,"[[1227, 3, 109], [6, 35, 111], [90, 14, 1236]]"
164,0.8834,0.7001,"[[1228, 3, 108], [5, 40, 107], [94, 13, 1233]]"
165,0.8824,0.6819,"[[1227, 3, 109], [6, 31, 115], [88, 12, 1240]]"
166,0.8820,0.6875,"[[1232, 4, 103], [5, 34, 113], [94, 15, 1231]]"
167,0.8813,0.6792,"[[1231, 3, 105], [5, 30, 117], [94, 12, 1234]]"
168,0.8845,0.6950,"[[1227, 3, 109], [6, 37, 109], [88, 12, 1240]]"
169,0.8845,0.6931,"[[1228, 4, 107], [4, 36, 112], [87, 13, 1240]]"
170,0.8831,0.6941,"[[1228, 3, 108], [4, 37, 111], [93, 12, 1235]]"
171,0.8845,0.6970,"[[1229, 3, 107], [4, 38, 110], [91, 12, 1237]]"
172,0.8824,0.6955,"[[1226, 4, 109], [5, 38, 109], [89, 17, 1234]]"
173,0.8852,0.6878,"[[1231, 4, 104], [5, 33, 114], [88, 10, 1242]]"
174,0.8827,0.6919,"[[1230, 4, 105], [4, 36, 112], [95, 12, 1233]]"
175,0.8863,0.6982,"[[1231, 3, 105], [5, 38, 109], [90, 10, 1240]]"
176,0.8817,0.6931,"[[1225, 4, 110], [5, 37, 110], [91, 15, 1234]]"
177,0.8863,0.7041,"[[1227, 4, 108], [5, 41, 106], [87, 12, 1241]]"
178,0.8845,0.7009,"[[1227, 4, 108], [5, 40, 107], [90, 13, 1237]]"
179,0.8845,0.7009,"[[1230, 3, 106], [5, 40, 107], [96, 10, 1234]]"
180,0.8863,0.7099,"[[1232, 3, 104], [5, 44, 103], [94, 13, 1233]]"
181,0.8838,0.6984,"[[1230, 3, 106], [5, 39, 108], [89, 18, 1233]]"
182,0.8848,0.6992,"[[1234, 3, 102], [5, 39, 108], [95, 13, 1232]]"
183,0.8873,0.7029,"[[1234, 3, 102], [5, 40, 107], [89, 13, 1238]]"
184,0.8848,0.6992,"[[1229, 4, 106], [5, 39, 108], [89, 14, 1237]]"
185,0.8834,0.6962,"[[1231, 3, 105], [5, 38, 109], [92, 16, 1232]]"
186,0.8848,0.6875,"[[1233, 3, 103], [7, 33, 112], [90, 11, 1239]]"
187,0.8841,0.6909,"[[1234, 3, 102], [6, 35, 111], [92, 14, 1234]]"
188,0.8803,0.6882,"[[1230, 5, 104], [5, 35, 112], [92, 21, 1227]]"
189,0.8831,0.6902,"[[1229, 5, 105], [5, 35, 112], [88, 16, 1236]]"
190,0.8841,0.6870,"[[1234, 4, 101], [6, 33, 113], [92, 12, 1236]]"
191,0.8827,0.6899,"[[1229, 3, 107], [5, 35, 112], [93, 12, 1235]]"
192,0.8795,0.6799,"[[1229, 3, 107], [6, 31, 115], [95, 15, 1230]]"
193,0.8852,0.7033,"[[1230, 3, 106], [5, 41, 106], [92, 13, 1235]]"
194,0.8838,0.6848,"[[1233, 3, 103], [6, 32, 114], [89, 14, 1237]]"
195,0.8852,0.6955,"[[1232, 3, 104], [5, 37, 110], [90, 13, 1237]]"
