Model,GOF F1,LOF F1,Neutral F1
337,0.56,0.87,0.9
343,0.56,0.87,0.9
342,0.56,0.87,0.89
339,0.56,0.87,0.9
336,0.56,0.87,0.9
266,0.55,0.87,0.9
272,0.55,0.87,0.9
270,0.55,0.87,0.9
267,0.55,0.87,0.9
354,0.55,0.87,0.9
332,0.55,0.87,0.9
262,0.55,0.87,0.9
260,0.55,0.87,0.89
257,0.55,0.87,0.9
254,0.55,0.87,0.89
249,0.55,0.87,0.9
248,0.55,0.87,0.9
389,0.55,0.87,0.9
263,0.55,0.87,0.89
277,0.55,0.87,0.9
275,0.55,0.87,0.89
238,0.55,0.87,0.9
382,0.55,0.88,0.9
381,0.55,0.87,0.9
377,0.55,0.87,0.9
374,0.55,0.87,0.9
331,0.55,0.87,0.9
285,0.55,0.87,0.9
372,0.55,0.87,0.9
341,0.55,0.87,0.89
351,0.55,0.87,0.9
363,0.55,0.87,0.9
362,0.55,0.87,0.9
352,0.55,0.87,0.9
359,0.55,0.87,0.9
239,0.55,0.87,0.89
250,0.55,0.87,0.9
185,0.55,0.87,0.89
125,0.55,0.87,0.89
189,0.54,0.87,0.89
264,0.54,0.87,0.9
268,0.54,0.87,0.9
269,0.54,0.87,0.9
214,0.54,0.87,0.89
210,0.54,0.87,0.89
209,0.54,0.86,0.89
208,0.54,0.87,0.89
207,0.54,0.87,0.89
183,0.54,0.87,0.89
259,0.54,0.87,0.89
182,0.54,0.86,0.89
346,0.54,0.87,0.9
348,0.54,0.87,0.9
350,0.54,0.87,0.9
355,0.54,0.88,0.9
356,0.54,0.87,0.9
126,0.54,0.87,0.89
261,0.54,0.87,0.9
236,0.54,0.87,0.9
242,0.54,0.87,0.9
246,0.54,0.87,0.89
256,0.54,0.87,0.9
252,0.54,0.87,0.89
255,0.54,0.87,0.89
247,0.54,0.87,0.89
243,0.53,0.87,0.89
244,0.53,0.87,0.89
347,0.53,0.87,0.9
258,0.53,0.87,0.89
349,0.53,0.87,0.9
345,0.53,0.87,0.9
241,0.53,0.87,0.89
233,0.53,0.87,0.89
199,0.53,0.87,0.9
200,0.53,0.87,0.9
187,0.53,0.86,0.89
184,0.53,0.87,0.89
344,0.53,0.87,0.9
202,0.53,0.87,0.9
245,0.53,0.87,0.9
180,0.53,0.86,0.89
179,0.53,0.86,0.89
178,0.53,0.86,0.89
177,0.53,0.86,0.89
176,0.53,0.87,0.9
229,0.53,0.87,0.89
163,0.53,0.86,0.89
172,0.53,0.87,0.9
164,0.53,0.86,0.89
170,0.53,0.86,0.9
168,0.53,0.86,0.89
165,0.53,0.86,0.89
203,0.53,0.87,0.89
211,0.53,0.87,0.9
222,0.53,0.87,0.89
221,0.53,0.87,0.89
127,0.53,0.87,0.89
237,0.53,0.87,0.9
218,0.53,0.87,0.89
204,0.53,0.87,0.89
216,0.53,0.87,0.89
119,0.53,0.87,0.89
213,0.53,0.87,0.89
212,0.53,0.87,0.89
251,0.53,0.87,0.89
118,0.53,0.87,0.89
225,0.53,0.87,0.89
234,0.53,0.87,0.9
235,0.53,0.87,0.89
124,0.53,0.87,0.89
232,0.53,0.87,0.9
206,0.53,0.87,0.9
205,0.53,0.87,0.9
128,0.53,0.86,0.9
129,0.52,0.86,0.89
162,0.52,0.86,0.9
120,0.52,0.87,0.89
130,0.52,0.86,0.89
158,0.52,0.86,0.9
121,0.52,0.87,0.89
117,0.52,0.87,0.89
114,0.52,0.86,0.89
115,0.52,0.86,0.89
145,0.52,0.87,0.9
144,0.52,0.87,0.9
174,0.52,0.86,0.89
123,0.52,0.86,0.89
220,0.52,0.87,0.89
197,0.52,0.87,0.9
196,0.52,0.86,0.9
231,0.52,0.87,0.9
191,0.52,0.86,0.9
188,0.52,0.86,0.89
186,0.52,0.86,0.89
122,0.52,0.86,0.89
215,0.52,0.87,0.89
201,0.52,0.86,0.89
219,0.52,0.87,0.89
198,0.52,0.86,0.89
173,0.52,0.86,0.89
230,0.52,0.87,0.9
169,0.52,0.86,0.89
171,0.52,0.86,0.89
181,0.52,0.86,0.89
224,0.52,0.87,0.89
226,0.52,0.87,0.9
228,0.52,0.87,0.9
175,0.52,0.86,0.89
131,0.51,0.87,0.9
143,0.51,0.86,0.89
116,0.51,0.86,0.9
137,0.51,0.86,0.89
139,0.51,0.86,0.89
138,0.51,0.86,0.89
253,0.51,0.86,0.89
217,0.51,0.86,0.89
223,0.51,0.86,0.9
134,0.51,0.87,0.89
167,0.51,0.86,0.9
146,0.51,0.86,0.9
151,0.51,0.86,0.89
160,0.51,0.86,0.89
159,0.51,0.86,0.9
157,0.51,0.86,0.89
155,0.51,0.86,0.9
154,0.51,0.87,0.9
153,0.51,0.87,0.9
166,0.51,0.86,0.89
152,0.51,0.87,0.9
190,0.51,0.86,0.89
192,0.51,0.87,0.89
193,0.51,0.86,0.9
195,0.51,0.86,0.89
112,0.5,0.86,0.89
113,0.5,0.86,0.89
111,0.5,0.86,0.9
105,0.5,0.86,0.89
109,0.5,0.86,0.9
106,0.5,0.86,0.9
110,0.5,0.86,0.89
133,0.5,0.86,0.9
132,0.5,0.86,0.89
147,0.5,0.86,0.9
227,0.5,0.87,0.9
161,0.5,0.86,0.89
156,0.5,0.87,0.89
149,0.5,0.86,0.9
194,0.5,0.86,0.89
135,0.5,0.86,0.9
136,0.5,0.86,0.9
108,0.49,0.86,0.9
101,0.49,0.85,0.9
104,0.49,0.85,0.9
107,0.49,0.86,0.89
148,0.49,0.86,0.9
150,0.49,0.86,0.89
140,0.48,0.86,0.89
142,0.48,0.86,0.89
141,0.48,0.86,0.89
103,0.48,0.85,0.9
102,0.47,0.85,0.89
100,0.47,0.85,0.89
93,0.47,0.85,0.9
95,0.46,0.85,0.89
92,0.46,0.85,0.9
91,0.46,0.85,0.9
83,0.46,0.84,0.89
96,0.46,0.85,0.89
98,0.46,0.85,0.89
99,0.46,0.85,0.89
97,0.45,0.85,0.89
84,0.45,0.84,0.89
37,0.44,0.84,0.89
39,0.44,0.84,0.89
38,0.44,0.84,0.89
94,0.44,0.85,0.9
42,0.43,0.84,0.89
50,0.43,0.84,0.89
49,0.43,0.84,0.89
48,0.43,0.84,0.89
47,0.43,0.84,0.89
43,0.43,0.84,0.89
45,0.43,0.84,0.89
41,0.43,0.84,0.89
40,0.43,0.84,0.89
44,0.42,0.84,0.89
46,0.42,0.84,0.89
89,0.42,0.84,0.89
88,0.42,0.84,0.89
85,0.42,0.84,0.89
90,0.41,0.84,0.89
36,0.41,0.83,0.89
35,0.41,0.83,0.89
34,0.41,0.83,0.89
33,0.41,0.83,0.89
86,0.4,0.84,0.89
87,0.4,0.84,0.89
79,0.39,0.84,0.89
78,0.38,0.84,0.89
77,0.38,0.84,0.89
51,0.37,0.84,0.89
29,0.37,0.82,0.89
30,0.37,0.82,0.89
31,0.37,0.82,0.89
32,0.37,0.82,0.89
80,0.37,0.83,0.89
76,0.37,0.84,0.89
16,0.36,0.81,0.88
82,0.36,0.83,0.89
81,0.36,0.83,0.89
19,0.36,0.81,0.88
15,0.36,0.81,0.88
18,0.36,0.8,0.88
17,0.36,0.8,0.88
28,0.35,0.82,0.89
27,0.35,0.81,0.89
53,0.34,0.84,0.89
20,0.34,0.81,0.88
25,0.34,0.82,0.88
14,0.33,0.8,0.88
21,0.33,0.81,0.88
13,0.33,0.8,0.88
26,0.33,0.82,0.88
22,0.32,0.8,0.88
23,0.32,0.8,0.88
12,0.32,0.79,0.88
11,0.32,0.78,0.88
24,0.31,0.8,0.88
10,0.31,0.78,0.88
52,0.29,0.83,0.89
9,0.27,0.74,0.88
8,0.27,0.74,0.88
75,0.27,0.83,0.89
4,0.27,0.71,0.86
5,0.27,0.74,0.88
6,0.27,0.74,0.88
7,0.26,0.74,0.88
57,0.25,0.83,0.89
74,0.25,0.83,0.89
64,0.25,0.83,0.89
56,0.25,0.83,0.89
67,0.24,0.83,0.89
68,0.24,0.83,0.89
55,0.24,0.83,0.89
54,0.24,0.83,0.89
65,0.24,0.83,0.89
62,0.24,0.83,0.89
66,0.24,0.83,0.89
73,0.23,0.83,0.89
63,0.23,0.83,0.89
3,0.22,0.67,0.77
61,0.22,0.83,0.89
58,0.22,0.83,0.89
59,0.22,0.83,0.89
60,0.22,0.83,0.89
2,0.22,0.69,0.76
1,0.22,0.69,0.76
72,0.2,0.83,0.89
69,0.19,0.82,0.89
70,0.19,0.82,0.89
71,0.19,0.83,0.89
