Model,Neutral MCC,GOF MCC,LOF MCC
191,0.8052,0.4996,0.7455
192,0.8024,0.4894,0.7462
193,0.8045,0.4888,0.7455
194,0.8031,0.4726,0.7406
195,0.8025,0.4881,0.7455
196,0.806,0.4939,0.7448
197,0.8067,0.5002,0.747
198,0.8025,0.4944,0.7427
199,0.8081,0.5094,0.7491
200,0.8053,0.509,0.7484
201,0.8032,0.4983,0.7455
202,0.8052,0.5059,0.7505
203,0.8011,0.5125,0.7491
204,0.8046,0.5116,0.7505
205,0.8061,0.5164,0.7498
206,0.8054,0.5082,0.7491
207,0.8032,0.5195,0.7484
208,0.8025,0.5261,0.7484
209,0.8031,0.5187,0.7435
210,0.8046,0.523,0.7519
211,0.8053,0.5134,0.7505
212,0.8039,0.5152,0.7484
213,0.8032,0.5121,0.7477
214,0.801,0.5234,0.7484
215,0.8046,0.5045,0.7477
216,0.8025,0.5103,0.7462
217,0.8018,0.494,0.7449
218,0.8039,0.5064,0.747
219,0.8032,0.5051,0.7512
220,0.8018,0.4989,0.7484
221,0.8046,0.5094,0.7512
222,0.8047,0.5067,0.7498
223,0.8045,0.4907,0.7448
224,0.8031,0.4933,0.7491
225,0.8025,0.509,0.747
226,0.806,0.5004,0.747
227,0.806,0.4741,0.7462
228,0.8045,0.4989,0.747
229,0.8032,0.5103,0.7512
230,0.8053,0.4996,0.7498
231,0.806,0.4957,0.747
232,0.8067,0.5107,0.754
233,0.8032,0.5085,0.7491
234,0.8053,0.5085,0.7498
235,0.8046,0.5134,0.7491
236,0.8068,0.5182,0.7548
237,0.8067,0.5085,0.7512
238,0.8053,0.5247,0.7569
239,0.8046,0.5247,0.7562
240,0.8054,0.5381,0.7634
241,0.8018,0.5036,0.7526
242,0.8068,0.519,0.7569
243,0.8032,0.5129,0.7498
244,0.804,0.5082,0.7491
245,0.8061,0.5107,0.7548
246,0.8018,0.524,0.7512
247,0.8025,0.5193,0.7512
248,0.8054,0.5326,0.7562
249,0.8054,0.5326,0.7562
250,0.8068,0.5271,0.7576
251,0.8012,0.509,0.7498
252,0.8025,0.5213,0.7505
253,0.8018,0.4926,0.7455
254,0.8011,0.5339,0.7555
255,0.8047,0.5196,0.7548
256,0.8089,0.5217,0.754
257,0.806,0.5342,0.7519
258,0.8032,0.5138,0.7491
259,0.8046,0.5227,0.7533
260,0.8032,0.5284,0.7519
261,0.806,0.5257,0.7505
262,0.8067,0.5284,0.754
263,0.8046,0.5291,0.7519
264,0.8068,0.5223,0.7512
265,0.8046,0.5395,0.7533
266,0.8053,0.5271,0.7505
267,0.8061,0.5326,0.7526
268,0.8075,0.5261,0.7548
269,0.8054,0.5234,0.7512
270,0.8068,0.5274,0.7519
271,0.8068,0.544,0.7534
272,0.8104,0.5271,0.7555
273,0.8082,0.5366,0.7569
274,0.8054,0.5484,0.7583
275,0.8046,0.5268,0.7526
276,0.8053,0.5499,0.7562
277,0.8053,0.5372,0.754
278,0.8053,0.547,0.7548
279,0.8088,0.5471,0.7583
280,0.8054,0.5456,0.7512
281,0.8053,0.5469,0.7562
282,0.8067,0.5514,0.7569
