Model,Neutral MCC,GOF MCC,LOF MCC
342,0.8011,0.5395,0.7541
373,0.8104,0.5395,0.7619
370,0.8103,0.5395,0.7619
265,0.8046,0.5395,0.7533
288,0.8067,0.5382,0.7562
240,0.8054,0.5381,0.7634
277,0.8053,0.5372,0.754
273,0.8082,0.5366,0.7569
378,0.8103,0.5366,0.7634
357,0.8096,0.5366,0.7626
353,0.8111,0.5366,0.7612
384,0.8103,0.5365,0.7634
358,0.8082,0.5351,0.7605
257,0.806,0.5342,0.7519
254,0.8011,0.5339,0.7555
343,0.8075,0.5335,0.7577
285,0.8081,0.5331,0.7533
332,0.809,0.5331,0.7569
267,0.8061,0.5326,0.7526
249,0.8054,0.5326,0.7562
248,0.8054,0.5326,0.7562
382,0.8096,0.5321,0.7634
351,0.8103,0.5321,0.7612
352,0.8097,0.5321,0.7619
331,0.8075,0.5312,0.759
125,0.8017,0.5308,0.7569
372,0.8089,0.5306,0.7619
381,0.8097,0.5305,0.7613
185,0.8031,0.5304,0.7484
374,0.8082,0.5292,0.7562
263,0.8046,0.5291,0.7519
262,0.8067,0.5284,0.754
260,0.8032,0.5284,0.7519
354,0.8103,0.5275,0.762
341,0.8047,0.5275,0.7549
270,0.8068,0.5274,0.7519
272,0.8104,0.5271,0.7555
266,0.8053,0.5271,0.7505
250,0.8068,0.5271,0.7576
275,0.8046,0.5268,0.7526
363,0.8082,0.5262,0.7605
208,0.8025,0.5261,0.7484
268,0.8075,0.5261,0.7548
359,0.8103,0.526,0.7613
261,0.806,0.5257,0.7505
239,0.8046,0.5247,0.7562
238,0.8053,0.5247,0.7569
377,0.8089,0.5246,0.7605
246,0.8018,0.524,0.7512
269,0.8054,0.5234,0.7512
214,0.801,0.5234,0.7484
362,0.8096,0.5231,0.7562
389,0.8053,0.5231,0.762
126,0.7981,0.523,0.7512
210,0.8046,0.523,0.7519
259,0.8046,0.5227,0.7533
264,0.8068,0.5223,0.7512
356,0.8082,0.5218,0.7541
256,0.8089,0.5217,0.754
346,0.8104,0.5217,0.7605
252,0.8025,0.5213,0.7505
255,0.8047,0.5196,0.7548
207,0.8032,0.5195,0.7484
247,0.8025,0.5193,0.7512
242,0.8068,0.519,0.7569
183,0.8038,0.519,0.7477
209,0.8031,0.5187,0.7435
236,0.8068,0.5182,0.7548
127,0.8024,0.5175,0.7492
350,0.8089,0.5174,0.7584
205,0.8061,0.5164,0.7498
182,0.801,0.516,0.742
189,0.8031,0.5156,0.747
212,0.8039,0.5152,0.7484
355,0.811,0.5141,0.7633
258,0.8032,0.5138,0.7491
235,0.8046,0.5134,0.7491
211,0.8053,0.5134,0.7505
124,0.8024,0.5132,0.7513
348,0.8111,0.5131,0.7555
243,0.8032,0.5129,0.7498
203,0.8011,0.5125,0.7491
213,0.8032,0.5121,0.7477
184,0.8017,0.5121,0.7477
118,0.8017,0.512,0.7535
204,0.8046,0.5116,0.7505
176,0.8053,0.5108,0.7519
245,0.8061,0.5107,0.7548
232,0.8067,0.5107,0.754
216,0.8025,0.5103,0.7462
179,0.8017,0.5103,0.7427
229,0.8032,0.5103,0.7512
119,0.8024,0.5101,0.7535
349,0.8075,0.5098,0.7562
163,0.8039,0.5098,0.7434
347,0.809,0.5098,0.7577
221,0.8046,0.5094,0.7512
199,0.8081,0.5094,0.7491
170,0.8038,0.509,0.7462
200,0.8053,0.509,0.7484
225,0.8025,0.509,0.747
251,0.8012,0.509,0.7498
168,0.8024,0.5086,0.7434
172,0.8074,0.5085,0.7533
233,0.8032,0.5085,0.7491
234,0.8053,0.5085,0.7498
237,0.8067,0.5085,0.7512
187,0.8017,0.5085,0.742
244,0.804,0.5082,0.7491
206,0.8054,0.5082,0.7491
165,0.8009,0.508,0.7455
178,0.801,0.5077,0.7434
177,0.801,0.5077,0.7434
128,0.8045,0.5076,0.7449
180,0.7996,0.507,0.7427
222,0.8047,0.5067,0.7498
345,0.8082,0.5066,0.7541
218,0.8039,0.5064,0.747
202,0.8052,0.5059,0.7505
164,0.8009,0.5054,0.7384
219,0.8032,0.5051,0.7512
186,0.801,0.5046,0.7392
121,0.7995,0.5046,0.7492
215,0.8046,0.5045,0.7477
122,0.801,0.5041,0.7457
123,0.801,0.5041,0.7457
175,0.8025,0.5039,0.7455
241,0.8018,0.5036,0.7526
344,0.806,0.5035,0.7548
188,0.8032,0.5033,0.7434
120,0.8017,0.5029,0.75
162,0.8052,0.5023,0.7455
173,0.8017,0.502,0.7441
181,0.801,0.502,0.7406
130,0.8038,0.502,0.7442
115,0.8031,0.5014,0.7501
114,0.8031,0.5014,0.7501
117,0.8024,0.501,0.75
226,0.806,0.5004,0.747
197,0.8067,0.5002,0.747
191,0.8052,0.4996,0.7455
230,0.8053,0.4996,0.7498
220,0.8018,0.4989,0.7484
228,0.8045,0.4989,0.747
174,0.8009,0.4989,0.7449
169,0.8038,0.4986,0.7455
201,0.8032,0.4983,0.7455
158,0.8045,0.4973,0.7455
129,0.8002,0.4971,0.7407
231,0.806,0.4957,0.747
144,0.8046,0.4951,0.7491
145,0.8046,0.4951,0.7491
198,0.8025,0.4944,0.7427
217,0.8018,0.494,0.7449
196,0.806,0.4939,0.7448
224,0.8031,0.4933,0.7491
171,0.8023,0.4933,0.7399
253,0.8018,0.4926,0.7455
190,0.8046,0.4926,0.7427
131,0.8073,0.492,0.7499
116,0.8046,0.4917,0.7451
134,0.803,0.4913,0.7499
157,0.8038,0.4913,0.7427
223,0.8045,0.4907,0.7448
155,0.8045,0.4907,0.7434
166,0.8038,0.4907,0.7399
146,0.8073,0.4906,0.7456
113,0.8031,0.4904,0.7452
