Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1,Neutral AP,GOF AP,LOF AP
158,0.66,0.85,0.93,0.19,0.92,0.92,0.854,0.3375,0.7714,0.3,0.88,0.92,0.9756631050091883,0.4921918556445501,0.9423158811571506
159,0.67,0.85,0.92,0.19,0.92,0.92,0.8526,0.342,0.7706,0.3,0.88,0.92,0.9752590304563384,0.4674463323323071,0.9401301471048864
160,0.61,0.85,0.93,0.2,0.92,0.92,0.8519,0.3289,0.7685,0.3,0.88,0.92,0.975434974330263,0.4516850093431958,0.9397389472747824
161,0.62,0.85,0.92,0.18,0.92,0.92,0.8526,0.3206,0.7689,0.28,0.88,0.92,0.9761161228925167,0.46145252751434107,0.9412577299506446
162,0.71,0.85,0.93,0.24,0.92,0.92,0.8526,0.3992,0.7782,0.36,0.89,0.92,0.9757727726236831,0.506017277099066,0.9420004892059908
163,0.67,0.85,0.93,0.23,0.92,0.92,0.8526,0.3759,0.7741,0.34,0.88,0.92,0.9760185250102382,0.5046392507065607,0.9400917664377169
164,0.71,0.85,0.93,0.26,0.92,0.92,0.8512,0.4163,0.7751,0.38,0.88,0.92,0.9757024779723963,0.5233987030039507,0.9413166215422948
165,0.67,0.85,0.93,0.2,0.93,0.92,0.854,0.3536,0.7745,0.31,0.88,0.92,0.9759043492796939,0.4894157783313393,0.9409900931996303
166,0.64,0.85,0.93,0.22,0.92,0.92,0.854,0.3602,0.7729,0.33,0.88,0.92,0.9757725433957314,0.4805143187188951,0.9403912914599604
167,0.67,0.85,0.93,0.2,0.92,0.92,0.8533,0.3456,0.7712,0.3,0.88,0.92,0.9760755228159541,0.46852102833875786,0.9390170616270127
168,0.71,0.85,0.93,0.24,0.93,0.92,0.854,0.3992,0.7784,0.36,0.89,0.92,0.9759703614686979,0.5079504423434302,0.9409458184444961
169,0.68,0.85,0.93,0.24,0.93,0.92,0.8569,0.3833,0.7778,0.35,0.89,0.92,0.9754953186410242,0.49074925074806164,0.9418101431676869
170,0.71,0.85,0.93,0.24,0.92,0.92,0.8526,0.3992,0.7739,0.36,0.88,0.92,0.9759660797530697,0.5188163643671984,0.942599899248691
171,0.72,0.85,0.93,0.25,0.92,0.92,0.8547,0.4064,0.7768,0.37,0.89,0.92,0.9762924256012419,0.5357101557951345,0.9427201198929872
172,0.64,0.85,0.93,0.25,0.92,0.92,0.8533,0.3821,0.7738,0.36,0.88,0.92,0.9759335564921384,0.4770819938287117,0.9420591298811097
173,0.7,0.85,0.93,0.22,0.93,0.92,0.8576,0.3738,0.7799,0.33,0.89,0.92,0.9761319001112556,0.4965394039657894,0.9419072423939426
