Model,Neutral MCC,GOF MCC,LOF MCC
496,0.859,0.5956,0.8013
442,0.8554,0.5835,0.7965
402,0.854,0.5835,0.795
33,0.8554,0.5823,0.7817
38,0.8561,0.5817,0.786
446,0.8576,0.581,0.7979
408,0.8568,0.5795,0.7958
443,0.8583,0.5781,0.7985
490,0.8611,0.5771,0.8005
401,0.8554,0.5771,0.7936
451,0.859,0.5756,0.8003
445,0.859,0.5741,0.7987
410,0.8568,0.5741,0.7978
42,0.8561,0.5735,0.7818
396,0.8547,0.5726,0.7943
421,0.8547,0.5726,0.7943
393,0.8576,0.5726,0.7973
452,0.8604,0.5717,0.7995
399,0.8561,0.5712,0.7944
473,0.8561,0.5701,0.7952
441,0.8569,0.5701,0.797
400,0.8576,0.5686,0.7953
487,0.8576,0.5686,0.7967
426,0.8568,0.5671,0.7961
470,0.8561,0.5662,0.7958
406,0.8554,0.5662,0.7949
41,0.8576,0.5656,0.7817
440,0.8561,0.5646,0.7957
430,0.8569,0.5646,0.7949
450,0.8568,0.5631,0.7967
415,0.8568,0.5631,0.7967
404,0.8576,0.5616,0.7946
474,0.8568,0.5616,0.7953
477,0.8569,0.5607,0.7956
420,0.8554,0.5607,0.7958
462,0.859,0.5607,0.7964
461,0.8519,0.5607,0.7892
39,0.854,0.5593,0.7832
449,0.8554,0.5591,0.7943
414,0.8554,0.5591,0.7929
464,0.8583,0.5591,0.7945
486,0.8597,0.5591,0.7973
444,0.8597,0.5591,0.7972
416,0.8576,0.5591,0.7966
453,0.8561,0.5575,0.7937
488,0.8583,0.5575,0.7948
431,0.8526,0.5575,0.79
485,0.859,0.5575,0.7982
471,0.854,0.5575,0.7915
479,0.854,0.5575,0.7915
455,0.8597,0.5575,0.7973
427,0.8561,0.5569,0.7929
491,0.854,0.5569,0.7922
394,0.8561,0.5559,0.7938
407,0.8597,0.5559,0.7975
478,0.8554,0.5559,0.7931
43,0.8611,0.5553,0.7874
492,0.8561,0.5552,0.7943
460,0.8583,0.5552,0.7965
434,0.8561,0.5552,0.7958
423,0.8576,0.5552,0.7943
467,0.859,0.5552,0.7958
472,0.8547,0.5552,0.7916
49,0.8562,0.5551,0.7853
463,0.8597,0.5535,0.7966
429,0.8554,0.5535,0.7949
411,0.8576,0.5519,0.7959
459,0.8568,0.5519,0.7926
405,0.8576,0.5519,0.7931
413,0.859,0.5513,0.7949
489,0.8576,0.5513,0.7935
438,0.8547,0.5503,0.7919
398,0.8583,0.5503,0.7953
456,0.8561,0.5503,0.7931
447,0.8568,0.5496,0.793
494,0.8561,0.5496,0.7923
48,0.8555,0.5483,0.7819
499,0.8576,0.5478,0.7952
454,0.8568,0.5478,0.7946
435,0.8583,0.5478,0.7945
397,0.8568,0.5478,0.7944
484,0.8519,0.5478,0.7881
422,0.8568,0.5475,0.7949
425,0.8512,0.5462,0.7875
437,0.859,0.5462,0.794
419,0.854,0.5462,0.7889
498,0.8561,0.5462,0.7937
457,0.8533,0.5457,0.79
412,0.8561,0.5457,0.7931
390,0.854,0.5457,0.7894
389,0.8533,0.5446,0.788
433,0.8554,0.5439,0.7909
448,0.8597,0.5439,0.7966
495,0.8561,0.5439,0.7915
428,0.859,0.5422,0.7944
403,0.8554,0.5422,0.7896
497,0.8597,0.5422,0.7939
424,0.8547,0.5422,0.7917
28,0.8476,0.5416,0.7711
340,0.8554,0.5405,0.7899
439,0.8597,0.5405,0.7939
436,0.8576,0.5405,0.7918
366,0.8561,0.5405,0.7918
417,0.8561,0.54,0.7909
37,0.8533,0.54,0.7782
476,0.8597,0.5382,0.796
374,0.8568,0.5382,0.7931
329,0.8547,0.5382,0.7882
44,0.8547,0.5368,0.7799
392,0.8597,0.5364,0.793
468,0.8576,0.5364,0.7911
458,0.8576,0.5364,0.791
306,0.8611,0.5364,0.796
29,0.8505,0.5357,0.7711
387,0.859,0.5347,0.7943
391,0.8576,0.5347,0.7909
395,0.8583,0.5347,0.7932
354,0.8533,0.5347,0.7885
248,0.8568,0.5344,0.7915
46,0.8562,0.5342,0.7811
303,0.859,0.533,0.7926
480,0.8561,0.5325,0.7904
301,0.8597,0.5314,0.7949
483,0.859,0.5306,0.7934
338,0.8561,0.5306,0.789
377,0.8568,0.5306,0.7899
370,0.8554,0.5306,0.7913
466,0.8547,0.5306,0.7889
469,0.8568,0.5306,0.791
285,0.8597,0.5299,0.7934
305,0.8597,0.5299,0.7934
348,0.8547,0.5289,0.789
35,0.8547,0.5287,0.776
367,0.859,0.5286,0.7925
50,0.8562,0.5276,0.7818
359,0.8568,0.5272,0.7899
418,0.8547,0.5267,0.7894
267,0.8583,0.5256,0.7914
300,0.859,0.5256,0.7922
47,0.8547,0.5255,0.7783
371,0.859,0.5248,0.7926
360,0.8526,0.5248,0.7864
481,0.8561,0.5248,0.7896
328,0.8561,0.5248,0.791
409,0.8583,0.5248,0.7917
291,0.8597,0.524,0.7927
31,0.8498,0.5237,0.7654
343,0.8597,0.523,0.7934
352,0.854,0.523,0.7879
361,0.8554,0.523,0.7878
493,0.8562,0.523,0.7895
327,0.8561,0.5228,0.7877
465,0.8583,0.5228,0.794
302,0.8597,0.5213,0.7934
299,0.8597,0.5213,0.7934
381,0.8583,0.5213,0.7907
255,0.8526,0.5211,0.7861
322,0.8561,0.5208,0.7877
375,0.854,0.5208,0.7899
384,0.8561,0.5208,0.7889
32,0.8519,0.5202,0.7683
40,0.8576,0.5194,0.7797
382,0.8526,0.5189,0.7856
315,0.859,0.5189,0.7906
363,0.8583,0.5171,0.7914
319,0.8568,0.5171,0.7899
388,0.854,0.5171,0.7872
432,0.8583,0.5171,0.7929
482,0.8576,0.5171,0.7905
380,0.8554,0.5149,0.7878
378,0.8554,0.5149,0.789
294,0.8568,0.5136,0.7887
236,0.854,0.5136,0.7872
379,0.8547,0.5131,0.7859
475,0.8547,0.513,0.787
369,0.8547,0.513,0.7886
332,0.8568,0.513,0.7877
385,0.8583,0.513,0.7906
30,0.8519,0.5124,0.7676
21,0.8512,0.5117,0.7527
362,0.8583,0.5111,0.7908
334,0.8561,0.5111,0.7871
373,0.8597,0.5111,0.792
353,0.8604,0.5111,0.7914
345,0.859,0.5111,0.7899
321,0.8583,0.511,0.7884
368,0.8554,0.511,0.7869
22,0.8455,0.511,0.7498
23,0.842,0.5095,0.7498
318,0.8583,0.5093,0.7896
289,0.859,0.5093,0.7899
323,0.8576,0.509,0.7878
372,0.8547,0.509,0.7861
386,0.854,0.509,0.7855
325,0.8576,0.509,0.7876
20,0.8469,0.5086,0.7485
24,0.8427,0.5079,0.7484
356,0.8547,0.507,0.785
281,0.8611,0.5059,0.7922
271,0.859,0.5059,0.7904
357,0.8576,0.5051,0.7879
358,0.8547,0.505,0.7856
26,0.8476,0.5047,0.7562
316,0.859,0.5032,0.7896
45,0.854,0.5032,0.7769
350,0.8611,0.5032,0.7915
341,0.8568,0.5032,0.7872
258,0.8604,0.5032,0.7908
376,0.854,0.503,0.7866
324,0.8561,0.503,0.7856
308,0.8561,0.5014,0.7865
344,0.859,0.501,0.7899
351,0.8526,0.501,0.7836
27,0.8476,0.5002,0.7669
232,0.854,0.4997,0.7862
36,0.8519,0.4995,0.769
347,0.8604,0.499,0.7899
314,0.8618,0.499,0.7915
276,0.8604,0.499,0.7915
251,0.8554,0.4971,0.7865
346,0.8561,0.4971,0.7858
34,0.8547,0.497,0.7683
365,0.8554,0.4952,0.7861
364,0.854,0.493,0.785
336,0.8547,0.493,0.7828
383,0.8562,0.4928,0.7862
298,0.8611,0.4918,0.7913
279,0.8625,0.4909,0.7916
326,0.854,0.4908,0.7838
320,0.8576,0.4891,0.7879
293,0.8576,0.489,0.7865
286,0.8604,0.489,0.7897
317,0.8561,0.489,0.7854
292,0.8632,0.4887,0.7929
335,0.854,0.4887,0.7821
355,0.8533,0.4887,0.7832
310,0.8576,0.4872,0.787
243,0.8561,0.4866,0.7859
234,0.8597,0.4853,0.7889
339,0.8526,0.4853,0.7807
275,0.8547,0.4846,0.7832
290,0.8576,0.4846,0.7861
307,0.8576,0.4825,0.785
254,0.8568,0.4808,0.7871
277,0.8597,0.4808,0.7882
237,0.8568,0.4808,0.7899
297,0.8604,0.4803,0.7882
312,0.8597,0.4803,0.7902
283,0.8597,0.4803,0.7901
25,0.8476,0.4786,0.7492
330,0.8554,0.4767,0.7831
331,0.8568,0.4754,0.7834
311,0.8583,0.474,0.7866
304,0.8597,0.474,0.788
238,0.8547,0.4726,0.783
272,0.8568,0.4719,0.7855
284,0.8604,0.4699,0.7892
216,0.8554,0.4699,0.7846
295,0.8576,0.4699,0.7847
309,0.859,0.4698,0.7853
249,0.8554,0.466,0.7815
211,0.8554,0.4657,0.7853
333,0.8526,0.4657,0.7782
126,0.8526,0.4654,0.7844
268,0.8568,0.4654,0.7847
235,0.8568,0.4643,0.786
287,0.8604,0.4634,0.7885
349,0.8604,0.4617,0.7879
225,0.8547,0.4613,0.7844
342,0.8561,0.4593,0.7822
337,0.8561,0.4578,0.7814
239,0.8547,0.4568,0.781
259,0.8576,0.4568,0.7837
261,0.8568,0.4568,0.7831
265,0.8554,0.4568,0.7825
252,0.8554,0.4568,0.7814
313,0.8583,0.4547,0.7841
209,0.8568,0.4546,0.786
253,0.854,0.4527,0.78
120,0.8491,0.4523,0.7738
264,0.8597,0.4523,0.785
288,0.859,0.4501,0.7827
246,0.854,0.4501,0.7793
210,0.8519,0.4501,0.7799
134,0.8519,0.449,0.7797
274,0.8625,0.448,0.788
262,0.8561,0.448,0.7817
127,0.8512,0.448,0.7793
257,0.854,0.448,0.7797
269,0.8632,0.448,0.7888
278,0.8597,0.448,0.7865
227,0.8533,0.4479,0.7806
180,0.854,0.4437,0.7803
244,0.854,0.4437,0.7779
296,0.8576,0.4433,0.782
250,0.8533,0.4412,0.7785
256,0.859,0.4411,0.7835
136,0.8547,0.439,0.7796
144,0.8533,0.4365,0.7803
233,0.8576,0.4355,0.7826
130,0.8505,0.4351,0.7754
125,0.8533,0.4342,0.7798
142,0.8547,0.4342,0.7817
128,0.8526,0.4333,0.7774
213,0.8498,0.4328,0.7763
230,0.8561,0.4296,0.7827
179,0.8512,0.4296,0.7771
280,0.8618,0.4296,0.7865
124,0.8526,0.4296,0.7771
122,0.8526,0.4276,0.7777
218,0.8547,0.4272,0.7796
197,0.8576,0.425,0.7829
129,0.8547,0.425,0.7779
245,0.8533,0.425,0.776
206,0.8561,0.425,0.782
242,0.8547,0.425,0.7796
212,0.8533,0.4233,0.7796
204,0.8547,0.4233,0.7822
177,0.8554,0.4233,0.7818
282,0.8576,0.4233,0.7805
193,0.854,0.4233,0.7785
231,0.8547,0.4226,0.7807
121,0.8505,0.4226,0.7754
263,0.859,0.4226,0.7817
118,0.8512,0.4206,0.7725
270,0.8583,0.4206,0.7817
260,0.8597,0.4202,0.7827
113,0.8526,0.418,0.7757
141,0.854,0.418,0.7772
145,0.8526,0.4178,0.7783
164,0.8512,0.4163,0.7751
183,0.859,0.4163,0.7828
207,0.8568,0.4163,0.7809
110,0.8469,0.4163,0.7705
208,0.8547,0.4163,0.7803
175,0.8561,0.4155,0.781
273,0.8604,0.4155,0.7836
215,0.8547,0.4136,0.7788
228,0.8533,0.4136,0.7791
138,0.8583,0.413,0.7832
178,0.8533,0.4121,0.7781
226,0.8554,0.411,0.7793
133,0.8533,0.4109,0.7787
198,0.8583,0.4093,0.7815
241,0.8512,0.4093,0.7742
182,0.8547,0.4093,0.7776
219,0.8576,0.4083,0.7821
139,0.8519,0.4083,0.7746
171,0.8547,0.4064,0.7768
135,0.8512,0.4057,0.7768
137,0.854,0.4057,0.7743
123,0.8469,0.4037,0.7699
247,0.8533,0.4037,0.7769
140,0.8568,0.4037,0.7791
184,0.8554,0.401,0.7787
221,0.8519,0.401,0.7753
205,0.8526,0.401,0.7748
146,0.8533,0.4008,0.7782
220,0.8568,0.4002,0.7791
168,0.854,0.3992,0.7784
162,0.8526,0.3992,0.7782
170,0.8526,0.3992,0.7739
224,0.8519,0.3983,0.7754
202,0.8512,0.3979,0.7716
13,0.8349,0.3971,0.7251
266,0.8576,0.3964,0.7787
229,0.854,0.3949,0.7775
195,0.8568,0.3949,0.7787
132,0.8554,0.3936,0.7755
222,0.8547,0.3919,0.7769
105,0.854,0.3907,0.775
199,0.854,0.3898,0.7744
185,0.8547,0.3898,0.775
181,0.8561,0.3893,0.7757
174,0.8526,0.3876,0.7737
196,0.8583,0.3866,0.7785
112,0.8512,0.3859,0.7717
107,0.8505,0.3856,0.7673
109,0.8526,0.3855,0.7715
191,0.8526,0.3845,0.7739
115,0.8526,0.3845,0.7735
119,0.8505,0.3845,0.7717
169,0.8569,0.3833,0.7778
217,0.8554,0.3826,0.7754
176,0.8512,0.3826,0.7725
106,0.8505,0.3826,0.7712
172,0.8533,0.3821,0.7738
240,0.8568,0.3814,0.7756
147,0.8533,0.3784,0.7749
143,0.8568,0.3778,0.7783
116,0.8526,0.3769,0.7733
163,0.8526,0.3759,0.7741
187,0.8561,0.3759,0.7771
12,0.8363,0.3758,0.714
11,0.8363,0.3756,0.7128
111,0.8491,0.3752,0.7677
10,0.8391,0.3752,0.706
186,0.8561,0.3738,0.7796
173,0.8576,0.3738,0.7799
214,0.8526,0.3738,0.7735
117,0.849,0.3726,0.7702
203,0.8519,0.3707,0.7726
14,0.8405,0.3703,0.7322
148,0.8554,0.3676,0.7753
190,0.8561,0.3649,0.778
150,0.8512,0.3615,0.7737
166,0.854,0.3602,0.7729
189,0.8561,0.3601,0.776
153,0.8568,0.3581,0.7778
101,0.8519,0.3571,0.773
223,0.8554,0.3565,0.7747
114,0.8533,0.3565,0.7735
104,0.8519,0.3563,0.7687
157,0.8533,0.3548,0.773
165,0.854,0.3536,0.7745
200,0.8554,0.3529,0.775
194,0.8576,0.3529,0.7768
100,0.8533,0.3529,0.7722
17,0.8434,0.3529,0.7292
6,0.8392,0.3523,0.6515
201,0.8519,0.3501,0.7721
