Model,GOF Recall,LOF Recall,Neutral Recall
1,0.91,0.54,0.64
2,0.91,0.54,0.64
3,0.91,0.54,0.64
4,0.79,0.62,0.8
5,0.58,0.69,0.84
6,0.68,0.72,0.9
7,0.64,0.75,0.9
8,0.6,0.76,0.9
9,0.54,0.78,0.9
10,0.57,0.81,0.91
11,0.55,0.82,0.91
12,0.54,0.82,0.91
13,0.53,0.83,0.91
14,0.5,0.84,0.91
15,0.37,0.85,0.91
16,0.41,0.85,0.91
17,0.45,0.84,0.91
18,0.44,0.85,0.91
19,0.42,0.85,0.91
20,0.64,0.85,0.91
21,0.65,0.85,0.91
22,0.63,0.85,0.91
23,0.63,0.85,0.91
24,0.62,0.85,0.91
25,0.61,0.85,0.92
26,0.62,0.86,0.91
27,0.57,0.87,0.91
28,0.62,0.87,0.91
29,0.61,0.88,0.92
30,0.57,0.87,0.92
31,0.61,0.87,0.92
32,0.58,0.87,0.92
33,0.64,0.88,0.92
34,0.56,0.87,0.92
35,0.59,0.88,0.92
36,0.55,0.88,0.92
37,0.6,0.88,0.92
38,0.62,0.89,0.92
39,0.6,0.89,0.92
40,0.55,0.88,0.92
41,0.62,0.88,0.92
42,0.62,0.88,0.92
43,0.6,0.89,0.92
44,0.55,0.89,0.92
45,0.51,0.89,0.92
46,0.56,0.89,0.92
47,0.54,0.89,0.92
48,0.55,0.89,0.92
49,0.58,0.89,0.93
50,0.54,0.89,0.93
51,0.21,0.89,0.92
52,0.14,0.9,0.92
53,0.15,0.89,0.92
54,0.11,0.9,0.92
55,0.1,0.9,0.92
56,0.09,0.9,0.92
57,0.1,0.9,0.92
58,0.11,0.9,0.92
59,0.12,0.9,0.92
60,0.09,0.9,0.92
61,0.11,0.9,0.92
62,0.11,0.9,0.92
63,0.11,0.91,0.92
64,0.12,0.91,0.93
65,0.11,0.9,0.92
66,0.12,0.9,0.92
67,0.12,0.9,0.92
68,0.11,0.9,0.92
69,0.11,0.9,0.92
70,0.12,0.9,0.92
71,0.11,0.9,0.92
72,0.12,0.9,0.92
73,0.11,0.9,0.92
74,0.11,0.9,0.92
75,0.09,0.9,0.92
76,0.11,0.91,0.92
77,0.12,0.9,0.92
78,0.11,0.9,0.92
79,0.1,0.9,0.92
80,0.11,0.91,0.92
81,0.1,0.91,0.92
82,0.11,0.9,0.92
83,0.16,0.91,0.92
84,0.12,0.91,0.92
85,0.13,0.91,0.92
86,0.13,0.91,0.92
87,0.12,0.92,0.92
88,0.12,0.91,0.92
89,0.14,0.92,0.92
90,0.11,0.92,0.92
91,0.12,0.91,0.92
92,0.17,0.92,0.92
93,0.18,0.92,0.92
94,0.12,0.92,0.92
95,0.12,0.91,0.92
96,0.19,0.92,0.92
97,0.15,0.92,0.92
98,0.18,0.92,0.92
99,0.09,0.91,0.92
100,0.21,0.92,0.92
101,0.21,0.92,0.92
102,0.22,0.91,0.92
103,0.19,0.92,0.92
104,0.22,0.92,0.92
105,0.24,0.92,0.92
106,0.24,0.92,0.92
107,0.26,0.91,0.92
108,0.2,0.91,0.92
109,0.26,0.91,0.92
110,0.26,0.92,0.92
111,0.24,0.91,0.92
112,0.25,0.91,0.92
113,0.26,0.92,0.92
114,0.19,0.92,0.92
115,0.23,0.92,0.92
116,0.22,0.92,0.92
117,0.22,0.92,0.92
118,0.26,0.92,0.92
119,0.23,0.92,0.92
120,0.29,0.92,0.92
121,0.26,0.92,0.92
122,0.27,0.92,0.92
123,0.24,0.92,0.92
124,0.26,0.92,0.92
125,0.26,0.92,0.92
126,0.3,0.92,0.92
127,0.28,0.92,0.92
128,0.24,0.92,0.92
129,0.25,0.92,0.92
130,0.25,0.92,0.92
131,0.16,0.92,0.92
132,0.23,0.92,0.92
133,0.25,0.92,0.92
134,0.26,0.93,0.92
135,0.24,0.92,0.92
136,0.26,0.92,0.92
137,0.24,0.92,0.92
138,0.24,0.93,0.92
139,0.24,0.92,0.92
140,0.24,0.93,0.92
141,0.26,0.92,0.92
142,0.26,0.93,0.92
143,0.2,0.93,0.92
144,0.27,0.92,0.92
145,0.24,0.92,0.92
146,0.22,0.93,0.92
147,0.22,0.92,0.92
148,0.2,0.93,0.92
149,0.16,0.93,0.92
150,0.21,0.92,0.91
151,0.2,0.92,0.92
152,0.18,0.93,0.92
153,0.2,0.93,0.92
154,0.18,0.93,0.92
155,0.15,0.92,0.92
156,0.18,0.92,0.92
157,0.2,0.92,0.92
158,0.19,0.92,0.92
159,0.19,0.92,0.92
160,0.2,0.92,0.92
161,0.18,0.92,0.92
162,0.24,0.92,0.92
163,0.23,0.92,0.92
164,0.26,0.92,0.92
165,0.2,0.93,0.92
166,0.22,0.92,0.92
167,0.2,0.92,0.92
168,0.24,0.93,0.92
169,0.24,0.93,0.92
170,0.24,0.92,0.92
171,0.25,0.92,0.92
172,0.25,0.92,0.92
173,0.22,0.93,0.92
174,0.24,0.92,0.92
175,0.25,0.93,0.92
176,0.24,0.92,0.91
177,0.27,0.93,0.92
178,0.26,0.92,0.92
179,0.26,0.92,0.92
180,0.29,0.92,0.92
181,0.26,0.92,0.92
182,0.26,0.92,0.92
183,0.26,0.92,0.92
184,0.26,0.92,0.92
185,0.25,0.92,0.92
186,0.22,0.92,0.92
187,0.23,0.92,0.92
188,0.23,0.92,0.92
189,0.23,0.92,0.92
190,0.22,0.92,0.92
191,0.23,0.92,0.92
192,0.2,0.92,0.92
193,0.27,0.92,0.92
194,0.21,0.92,0.92
195,0.24,0.92,0.92
196,0.24,0.92,0.92
197,0.26,0.92,0.92
198,0.26,0.92,0.92
199,0.25,0.92,0.92
200,0.21,0.92,0.92
201,0.2,0.92,0.92
202,0.25,0.92,0.92
203,0.21,0.92,0.92
204,0.27,0.92,0.92
205,0.24,0.92,0.92
206,0.26,0.93,0.92
207,0.26,0.92,0.92
208,0.26,0.92,0.92
209,0.3,0.92,0.92
210,0.28,0.92,0.92
211,0.32,0.92,0.92
212,0.27,0.92,0.92
213,0.28,0.92,0.92
214,0.22,0.92,0.92
215,0.26,0.92,0.92
216,0.3,0.93,0.92
217,0.24,0.92,0.92
218,0.26,0.92,0.92
219,0.24,0.93,0.92
220,0.26,0.92,0.92
221,0.26,0.92,0.92
222,0.24,0.92,0.92
223,0.22,0.92,0.92
224,0.23,0.92,0.92
225,0.29,0.93,0.92
226,0.27,0.92,0.92
227,0.29,0.92,0.92
228,0.26,0.93,0.92
229,0.24,0.92,0.92
230,0.26,0.93,0.92
231,0.26,0.93,0.92
232,0.33,0.92,0.92
233,0.29,0.92,0.92
234,0.35,0.92,0.92
235,0.28,0.93,0.92
236,0.35,0.92,0.92
237,0.31,0.93,0.92
238,0.3,0.93,0.92
239,0.29,0.93,0.92
240,0.22,0.92,0.92
241,0.26,0.92,0.92
242,0.25,0.92,0.92
243,0.33,0.92,0.92
244,0.29,0.92,0.92
245,0.26,0.92,0.92
246,0.28,0.92,0.92
247,0.24,0.92,0.92
248,0.36,0.92,0.92
249,0.29,0.92,0.92
250,0.28,0.92,0.92
251,0.34,0.92,0.92
252,0.29,0.92,0.92
253,0.28,0.92,0.92
254,0.31,0.93,0.92
255,0.34,0.92,0.92
256,0.27,0.92,0.92
257,0.28,0.93,0.92
258,0.34,0.92,0.92
259,0.29,0.93,0.92
260,0.25,0.93,0.92
261,0.29,0.93,0.92
262,0.28,0.93,0.92
263,0.26,0.93,0.92
264,0.29,0.93,0.92
265,0.29,0.92,0.92
266,0.24,0.92,0.92
267,0.36,0.92,0.92
268,0.3,0.92,0.92
269,0.28,0.93,0.92
270,0.26,0.93,0.92
271,0.34,0.93,0.92
272,0.31,0.92,0.92
273,0.25,0.93,0.92
274,0.28,0.93,0.92
275,0.32,0.92,0.92
276,0.34,0.92,0.92
277,0.31,0.93,0.92
278,0.28,0.93,0.92
279,0.33,0.93,0.92
280,0.26,0.93,0.92
281,0.34,0.93,0.92
282,0.27,0.92,0.92
283,0.32,0.92,0.92
284,0.3,0.93,0.92
285,0.36,0.92,0.92
286,0.32,0.93,0.92
287,0.3,0.93,0.92
288,0.28,0.92,0.92
289,0.35,0.92,0.92
290,0.32,0.92,0.92
291,0.36,0.92,0.92
292,0.34,0.93,0.92
293,0.32,0.92,0.92
294,0.35,0.92,0.92
295,0.3,0.92,0.92
296,0.28,0.92,0.92
297,0.32,0.93,0.92
298,0.32,0.93,0.92
299,0.36,0.92,0.92
300,0.36,0.93,0.92
301,0.37,0.93,0.92
302,0.36,0.92,0.92
303,0.38,0.92,0.92
304,0.32,0.92,0.92
305,0.36,0.92,0.92
306,0.39,0.92,0.92
307,0.33,0.92,0.92
308,0.34,0.92,0.92
309,0.32,0.92,0.92
310,0.32,0.93,0.92
311,0.32,0.92,0.92
312,0.32,0.93,0.92
313,0.28,0.92,0.92
314,0.34,0.92,0.92
315,0.37,0.92,0.92
316,0.34,0.93,0.92
317,0.32,0.92,0.92
318,0.35,0.93,0.92
319,0.36,0.92,0.92
320,0.35,0.92,0.92
321,0.37,0.92,0.92
322,0.38,0.92,0.92
323,0.36,0.92,0.92
324,0.36,0.92,0.92
325,0.36,0.92,0.92
326,0.34,0.92,0.92
327,0.38,0.92,0.92
328,0.38,0.92,0.92
329,0.39,0.92,0.92
330,0.34,0.92,0.92
331,0.34,0.92,0.92
332,0.36,0.92,0.92
333,0.32,0.92,0.92
334,0.36,0.92,0.92
335,0.34,0.92,0.92
336,0.35,0.92,0.92
337,0.32,0.92,0.92
338,0.38,0.92,0.92
339,0.35,0.92,0.92
340,0.39,0.92,0.92
341,0.34,0.92,0.92
342,0.31,0.92,0.92
343,0.37,0.92,0.92
344,0.35,0.92,0.92
345,0.36,0.92,0.92
346,0.34,0.92,0.92
347,0.34,0.92,0.92
348,0.38,0.92,0.92
349,0.32,0.92,0.92
350,0.34,0.93,0.92
351,0.35,0.92,0.92
352,0.37,0.92,0.92
353,0.36,0.92,0.92
354,0.38,0.92,0.92
355,0.34,0.92,0.92
356,0.36,0.92,0.92
357,0.35,0.92,0.92
358,0.36,0.92,0.92
359,0.37,0.92,0.92
360,0.38,0.92,0.92
361,0.37,0.92,0.92
