Model,GOF AP,LOF AP,Neutral AP
1,0.1207737410335412,0.8217447118126008,0.861648631598164
2,0.1207737410335412,0.8217447118126008,0.861648631598164
3,0.1223904717896572,0.8250873548982981,0.8652134968271468
4,0.1692937399935926,0.9030650037404976,0.943631070709242
5,0.1487337786769596,0.8995154835529624,0.942686310366422
6,0.2379649834014896,0.9089266498294036,0.9649253735632564
7,0.2469892798961064,0.907120209579772,0.9620044570284492
8,0.2413679210630341,0.9042667341639554,0.9625508728855646
9,0.2586077092523766,0.9052198536816812,0.962176427379799
10,0.3435448931883124,0.9153087348725436,0.9635104044693952
11,0.3260786005314739,0.917777780776933,0.96402418071271
12,0.3079152577632799,0.9117560238184196,0.9635364878995336
13,0.3184281443564239,0.913820062498124,0.962904959978545
14,0.2739641693494007,0.9151153586497148,0.964514652191744
15,0.2733662847317977,0.9125840331440565,0.9656000982409636
16,0.2871724948082035,0.9194953886396708,0.9647291774417251
17,0.3056337760430885,0.9169623885067402,0.9638256174516548
18,0.3258720242520119,0.9238374891146652,0.9647592031693176
19,0.3077795839989063,0.9237633882823718,0.9647236537331568
20,0.5060039775119373,0.9239046765109642,0.9671405958265964
21,0.5450559569089639,0.9250285594684868,0.9672846555278082
22,0.5318616842883748,0.924347853959258,0.9674563539780467
23,0.527333288842334,0.9257618202791358,0.967500355285909
24,0.5177131321683718,0.926968199940388,0.9672882808578144
25,0.4600930617610639,0.926335117677798,0.9680516396764272
26,0.4814086818309716,0.926872199708512,0.9684218885397028
27,0.502810991742142,0.9293896934495968,0.9678214976034706
28,0.5591725552472108,0.9322841362059566,0.9687378217241148
29,0.5162358867041466,0.932631021380844,0.9696543473777844
30,0.5576296714257317,0.9331373940778548,0.9693708560446814
31,0.5645710929486106,0.9350839057888652,0.9689739985668018
32,0.5313506912101463,0.9359413497256752,0.9692045458611592
33,0.6325119681305059,0.9361622821260248,0.9684959053790444
34,0.5202777947223672,0.9352616708963888,0.9686786886017824
35,0.5311822695289756,0.9365793760608218,0.9689438379625032
36,0.4861084468930334,0.9352742191852996,0.9695424519367026
37,0.5346344013041503,0.9372488891554318,0.9697248928451786
38,0.6063090928231802,0.93847127343759,0.9701260215102364
39,0.5398401084054878,0.9370596865925968,0.9696787128751566
40,0.5118900035186887,0.9372112904493732,0.9694705695400324
41,0.5389580565069542,0.9323409716558806,0.9685162469299956
42,0.5274598517686628,0.9339401734056484,0.9680259835642068
43,0.5238784584549849,0.9342862755017508,0.9688381902053088
44,0.5249799612045539,0.93410298379601,0.9689182639077772
45,0.504847612167918,0.93483728239822,0.9686295628848848
46,0.5340967886278607,0.9344479635384904,0.9686048074783836
47,0.4946059520247516,0.9361704946333116,0.968516611297261
48,0.532500004877936,0.9352569245566292,0.9691823291295284
49,0.5416983496800731,0.9337742104380058,0.9687226968883752
50,0.5252551471013063,0.934261884939762,0.9691387036114314
51,0.3290246320811786,0.9298259135181196,0.9684793301613892
52,0.2788025613242113,0.9248482456582802,0.9699482241087012
53,0.3051721107129273,0.9287373458226916,0.9701211370608248
54,0.2128668972376205,0.9222616887093296,0.970160786444921
55,0.2284172809238548,0.926332367459926,0.971308057341249
56,0.2264118950067296,0.9258088698988574,0.9713726251966226
57,0.2368974962336741,0.927224231193718,0.9716606492082268
58,0.2305996822014113,0.9283117802023236,0.972718739288856
59,0.2113061443729855,0.924550309586724,0.9726040658351444
60,0.2033059533810214,0.9222182316446018,0.9725032679408584
61,0.2065360775268742,0.9239480152097296,0.972317248256614
62,0.2077687858494062,0.9240609021417888,0.972373016293982
63,0.2244054769512242,0.9264246525303652,0.973728520989918
64,0.2154712914678274,0.9250023231740504,0.973759615143844
65,0.2180039455035591,0.9258843951671044,0.9734769886995778
66,0.2200109186230184,0.927603265217503,0.9730214397097036
67,0.2065664069923375,0.9260335622725344,0.9732080841631344
68,0.2173460860951211,0.9270805428111492,0.9730509792372736
69,0.2165688759275145,0.9253162055846568,0.9735377288927232
70,0.239209524289081,0.9296493278101242,0.973703075988294
71,0.2355501962106609,0.9273636934943856,0.9735181827627624
72,0.2170029814224881,0.9242644620921376,0.9733682545773328
73,0.2239417567659485,0.9281861321657638,0.97349199389493
74,0.2143105326596835,0.9266826406497168,0.9735761377265112
75,0.2061136779397833,0.9288079948578402,0.9737482758818854
76,0.2808725911442641,0.9342873147664922,0.9737354977807684
77,0.2908086965140586,0.936904310626913,0.973285964455926
78,0.2731267315130103,0.9347246128191566,0.9727785645689448
79,0.2755659367984521,0.9345421915086194,0.9735714804660518
80,0.2983148057414567,0.9375844827576592,0.9737389684740324
81,0.2692959167341972,0.9340140670027582,0.9733016363133772
82,0.2807420044846834,0.935478978638184,0.97321697626509
83,0.3384089418808143,0.9369495779655874,0.9731861559172912
84,0.3373465141331317,0.9374837574253204,0.9735806736122256
85,0.3513567577804148,0.9388198655703044,0.9734183270537116
86,0.3646536180015137,0.9392091329573292,0.9732118670554042
87,0.3507747167799449,0.936559866262102,0.9733678630513446
88,0.3270161013609316,0.937049441525792,0.973510788820332
89,0.3665534806062561,0.9381084204678504,0.9740529512156658
90,0.3434750154223884,0.9371825519282536,0.9742377015447438
91,0.4220436897099416,0.940937132810334,0.9741771818272204
92,0.4271564763665832,0.940377554705776,0.9742690284495052
93,0.4600115136286103,0.9415716192153378,0.9742798659568424
94,0.431091364351668,0.9389705028777094,0.9740163428211724
95,0.4050998687806363,0.9396005393984904,0.9745136779670645
96,0.4473349341363413,0.9407866625375328,0.974232073975896
97,0.3919183600703722,0.9394568761129296,0.9740848598690756
98,0.4475054876412059,0.9414995037148032,0.9755119944223064
99,0.3857093350975276,0.9397165539325416,0.9756562731036792
100,0.4753067871918116,0.9430602902213576,0.9758360584593374
101,0.444606788581329,0.9415401301979038,0.9761845012304722
102,0.4470939763467507,0.9414863098820484,0.9756197391682236
103,0.4664637019766257,0.9425826109591128,0.975996871573624
104,0.4633204240225176,0.941604195052788,0.9759538958004772
105,0.4746377069581421,0.9432039437167448,0.9757133407145748
106,0.4591574600115765,0.9420672251349224,0.9759872808531628
107,0.483240450503727,0.9426972326303809,0.9759114363557352
108,0.4296961285233757,0.9403034553617768,0.9759670724289018
109,0.4898146007655212,0.9425896481150368,0.9760674895739712
110,0.552621104835818,0.9432659392618818,0.9759530280874886
111,0.5029509736974721,0.9412610800705804,0.9757136309951772
112,0.5545833424367989,0.9418539726944152,0.9759383833241834
113,0.5459293412299223,0.9411585055648054,0.9762378625255296
114,0.4809035101094023,0.9406410039389984,0.9757523451244436
115,0.5283264921951508,0.9417013063772725,0.9761698847398274
116,0.5233536031560677,0.9409446585066804,0.9755369280897576
117,0.5278073017925544,0.9430099482520126,0.9757978473830702
118,0.563441601630321,0.9429072309431824,0.9755829982529513
119,0.5394836003959695,0.9426271560077448,0.9756416567331776
120,0.6080861025612131,0.9441052849896876,0.9757227596065232
121,0.5773425545650819,0.94224915722834,0.9757704110659312
122,0.5901888208660356,0.9437682202349076,0.9754168223843906
123,0.5473486888642268,0.9417827747454288,0.9756460340116864
124,0.5814711765023611,0.9435605376907484,0.9752423952871964
125,0.593785923025004,0.943343017738533,0.9754366304767734
126,0.6230034797587316,0.9435400325144372,0.9754530550167516
127,0.5871092176490778,0.9429095588063146,0.9757880961230364
128,0.5861551911577636,0.9435510955983668,0.9758990196762534
129,0.5803960739832771,0.9426344753487376,0.9755067390755237
130,0.5437503315991792,0.9422053925598448,0.9754551490923838
131,0.5346686716095052,0.9425146902799488,0.9754466247326016
132,0.5518907818100146,0.9423480302866168,0.9753870567585334
133,0.5504311948393333,0.9426823811242376,0.9760327920268576
134,0.5657784729565938,0.9417437489631196,0.9754504736996642
135,0.54459625724097,0.9424880235387726,0.9753604617251478
136,0.576847907686913,0.9433660957532852,0.975813385989003
137,0.5332409238971306,0.9403475552963092,0.9757127533791398
138,0.536808995441892,0.9422042544446492,0.9760248484767478
139,0.5702189223120304,0.9423036330156116,0.975849679878777
140,0.5399189999173679,0.9422710225392296,0.9756747687894436
141,0.5413227051671708,0.9428326590354288,0.975753567192633
142,0.5615628550163219,0.9433561191966624,0.9755526668695575
143,0.5006953864142859,0.9417071798179936,0.975710991933354
144,0.555868334928493,0.9436041759486344,0.9754719136883988
145,0.5369182313227454,0.9428470245816606,0.975802440925734
146,0.517474377180687,0.9424043457362216,0.9756580413488924
147,0.4922481387206168,0.9410236994516028,0.9753415261733271
148,0.4855429320161533,0.941612044117144,0.9753497048646907
149,0.4505024839624477,0.940260149356652,0.9756249570655122
150,0.4746385199460988,0.9411193023989204,0.9751834605976422
151,0.4721085379904465,0.9415225587823416,0.9751682027350276
152,0.4394660845284233,0.9405509359140882,0.9756015435109888
153,0.5005806060504177,0.9420717063190254,0.9750633146295388
154,0.4756298967730076,0.9417580240913976,0.9750712416362468
155,0.4518303060650613,0.940680758342074,0.9753342855200224
156,0.4831420460694208,0.9415911752437676,0.974966247750357
157,0.4937043302446806,0.9414905682023378,0.9753662580895084
158,0.4921918556445501,0.9423158811571506,0.9756631050091884
159,0.4674463323323071,0.9401301471048864,0.9752590304563384
160,0.4516850093431958,0.9397389472747824,0.975434974330263
161,0.461452527514341,0.9412577299506446,0.9761161228925168
162,0.506017277099066,0.9420004892059908,0.9757727726236832
163,0.5046392507065607,0.9400917664377167,0.9760185250102382
164,0.5233987030039507,0.9413166215422948,0.9757024779723964
165,0.4894157783313393,0.9409900931996305,0.975904349279694
166,0.4805143187188951,0.9403912914599604,0.9757725433957314
167,0.4685210283387578,0.9390170616270128,0.976075522815954
168,0.5079504423434302,0.940945818444496,0.975970361468698
169,0.4907492507480616,0.9418101431676869,0.9754953186410242
170,0.5188163643671984,0.942599899248691,0.9759660797530696
171,0.5357101557951345,0.9427201198929872,0.976292425601242
172,0.4770819938287117,0.9420591298811096,0.9759335564921384
173,0.4965394039657894,0.9419072423939426,0.9761319001112556
174,0.4905839846277418,0.9421174095567124,0.9764811363513872
175,0.5182568801064826,0.9410740869343248,0.976266136689192
176,0.5157407525983266,0.9431287955078184,0.9763689719350648
177,0.5293386132956024,0.9424211989060068,0.976119193019924
178,0.5204573714796508,0.9415369378982092,0.9760902737793312
179,0.5425615191675967,0.9430225449010616,0.9762069209536568
180,0.5704143491859268,0.943923149133708,0.9763269938536993
181,0.523156050806441,0.9434519236882996,0.976291650989894
182,0.5095694672536153,0.941144412820957,0.9760380986913494
183,0.5077045386727609,0.9419874305433208,0.9760500634496232
184,0.5166933403403323,0.9417802994093226,0.9759111581001294
185,0.523717129099386,0.9422651431728568,0.976250782301332
186,0.4931210135684155,0.9407651598618778,0.9760718728582392
187,0.4967248539057771,0.9420794776516856,0.9764052508766368
188,0.501831356814819,0.941798195323014,0.9765748271044368
189,0.5030022963317232,0.9411028620557064,0.97626185708018
190,0.4922278381098208,0.9404764532795806,0.976245285642742
191,0.4921349544031442,0.9404135339403225,0.9767383446825296
192,0.4783254871108761,0.93897591093743,0.9763719441238476
193,0.5343554909791572,0.941051475709979,0.9766391178076144
194,0.4887837748167077,0.9402663160594902,0.976656257564769
195,0.506398084078148,0.940985664124992,0.9766187294771894
196,0.4942277075985708,0.9411516588485704,0.9768565884739178
197,0.515663265340132,0.939539584054847,0.9766038898277448
198,0.5354714587201781,0.9407601702053718,0.976843560253818
199,0.4991544349598168,0.9400686206437692,0.9763650784286688
200,0.4883228695681959,0.9392460849966884,0.9766065758465984
201,0.4870653863243263,0.939722256783694,0.976571536000802
202,0.5425706116248457,0.9412002104660272,0.97702028932218
203,0.4866639718184263,0.939659805314072,0.9768938223620702
204,0.5544833461342648,0.94144661707346,0.9768534149775032
205,0.5278586116521258,0.9403886032842512,0.9767584689674051
206,0.5595706764385148,0.941411865280652,0.9768255783902412
207,0.5384277153117405,0.9415860121611987,0.9768553664996816
208,0.5637296414973026,0.9419745885846588,0.976896264142512
209,0.5697605292151773,0.9419009143898628,0.9767130126737664
210,0.5491432096848168,0.941543461642864,0.9764783537565462
211,0.5596205715080957,0.943543638700651,0.9768841229028038
212,0.5458470393952719,0.9421382389257996,0.9766966717149204
213,0.5450245023722943,0.940364500795146,0.976594229228188
214,0.540979321863912,0.9427530463798988,0.9768351443143204
215,0.5565109557618192,0.942146070670656,0.976815754079115
216,0.5676298751441938,0.9436978990270134,0.9771640713196774
217,0.533432710032228,0.943325460089291,0.9770870011955286
218,0.5778808569415433,0.9437529339604488,0.9770648788503378
219,0.542553327904538,0.9429014655785204,0.9771448652990298
220,0.5299871298192474,0.9432556931446736,0.9770406704537514
221,0.502886281264844,0.940893970015001,0.9771326552810188
222,0.5389773193972481,0.93999368908279,0.977026661181958
223,0.5309481623792722,0.940717417574082,0.9772331651238796
224,0.5369357521136633,0.9425441274567008,0.9769512403745948
225,0.586238568274292,0.9432191295626292,0.977164258226218
226,0.5254483605456503,0.9418398271452392,0.9770730603802396
227,0.5712599019336964,0.9427751842981492,0.9770321273201228
228,0.548064016905901,0.9428144862846128,0.9774410236461772
229,0.536506661707885,0.9427760492076608,0.9770258328279938
230,0.5774589268474384,0.9425311020509596,0.9771693786249568
231,0.5404257187973109,0.940940688726562,0.9768451161094736
232,0.6218915212469617,0.94357672417654,0.9769821648598376
233,0.5857743469410752,0.942409298617648,0.977155808344981
234,0.617280558791649,0.9428583043385764,0.977110057147676
235,0.5842926616082926,0.9430183079517258,0.9772029172728518
236,0.6143142128735094,0.9421597673718872,0.9771598181862958
237,0.6174731820181585,0.9423649018273308,0.9771442507069088
238,0.6123981499981449,0.9428092881541876,0.977223074448204
239,0.5921331860304871,0.9426701633263996,0.9768408540585616
240,0.5490438077958406,0.941510636440066,0.9769169080673368
241,0.5580289228681707,0.94178754976463,0.9766292329372178
242,0.5611200691135786,0.942130756382762,0.9767793399854672
243,0.616789033332333,0.9433839735045276,0.9769934587269176
244,0.580047459699625,0.94137515727899,0.9767960983112584
245,0.5427547050381728,0.9414823749781192,0.9766979874444794
246,0.591513620470977,0.9420415678342025,0.9771112562598364
247,0.5611913131938931,0.9420334473289594,0.9767502842961308
248,0.6274578982105002,0.9437704466242292,0.9770986868748174
