Model,GOF F1,LOF F1,Neutral F1
1,0.22,0.68,0.76
2,0.22,0.68,0.76
3,0.22,0.68,0.77
4,0.27,0.73,0.86
5,0.25,0.78,0.87
6,0.36,0.79,0.91
7,0.36,0.81,0.91
8,0.37,0.81,0.91
9,0.36,0.82,0.91
10,0.4,0.84,0.91
11,0.4,0.84,0.91
12,0.4,0.84,0.91
13,0.43,0.85,0.91
14,0.4,0.86,0.92
15,0.34,0.86,0.92
16,0.38,0.86,0.91
17,0.39,0.86,0.92
18,0.39,0.86,0.92
19,0.38,0.86,0.92
20,0.53,0.86,0.92
21,0.53,0.87,0.92
22,0.53,0.87,0.92
23,0.53,0.87,0.92
24,0.53,0.87,0.92
25,0.5,0.87,0.92
26,0.53,0.87,0.92
27,0.53,0.88,0.92
28,0.57,0.88,0.92
29,0.56,0.88,0.92
30,0.54,0.88,0.92
31,0.55,0.88,0.92
32,0.55,0.88,0.92
33,0.6,0.88,0.92
34,0.52,0.88,0.92
35,0.55,0.88,0.92
36,0.53,0.88,0.92
37,0.57,0.88,0.92
38,0.6,0.89,0.92
39,0.58,0.89,0.92
40,0.55,0.88,0.92
41,0.59,0.88,0.92
42,0.6,0.88,0.92
43,0.58,0.89,0.93
44,0.56,0.88,0.92
45,0.53,0.88,0.92
46,0.56,0.88,0.92
47,0.55,0.88,0.92
48,0.57,0.89,0.92
49,0.58,0.89,0.92
50,0.55,0.89,0.92
51,0.27,0.87,0.92
52,0.2,0.87,0.92
53,0.2,0.87,0.92
54,0.15,0.87,0.92
55,0.14,0.87,0.92
56,0.14,0.87,0.92
57,0.14,0.87,0.93
58,0.15,0.87,0.92
59,0.18,0.87,0.92
60,0.13,0.87,0.92
61,0.15,0.87,0.92
62,0.15,0.87,0.92
63,0.15,0.87,0.92
64,0.17,0.88,0.93
65,0.15,0.87,0.92
66,0.17,0.87,0.92
67,0.18,0.87,0.92
68,0.16,0.87,0.92
69,0.16,0.87,0.92
70,0.18,0.87,0.92
71,0.16,0.87,0.92
72,0.17,0.87,0.92
73,0.15,0.87,0.92
74,0.15,0.87,0.92
75,0.13,0.87,0.92
76,0.17,0.87,0.92
77,0.18,0.87,0.92
78,0.15,0.87,0.92
79,0.15,0.87,0.92
80,0.17,0.87,0.92
81,0.15,0.87,0.92
82,0.16,0.87,0.92
83,0.24,0.88,0.92
84,0.18,0.87,0.92
85,0.2,0.88,0.92
86,0.21,0.88,0.92
87,0.2,0.88,0.92
88,0.19,0.87,0.92
89,0.21,0.88,0.92
90,0.17,0.88,0.92
91,0.19,0.88,0.92
92,0.27,0.88,0.92
93,0.28,0.88,0.92
94,0.2,0.88,0.92
95,0.2,0.87,0.92
96,0.29,0.88,0.92
97,0.24,0.88,0.92
98,0.29,0.88,0.92
99,0.15,0.87,0.92
100,0.32,0.88,0.92
101,0.32,0.88,0.92
102,0.32,0.88,0.92
103,0.3,0.88,0.92
104,0.33,0.88,0.92
105,0.36,0.88,0.92
106,0.36,0.88,0.92
107,0.37,0.88,0.92
108,0.3,0.88,0.92
109,0.37,0.88,0.92
110,0.38,0.88,0.92
111,0.35,0.88,0.92
112,0.36,0.88,0.92
113,0.38,0.88,0.92
114,0.3,0.88,0.92
115,0.35,0.88,0.92
116,0.34,0.88,0.92
117,0.34,0.88,0.92
118,0.39,0.88,0.92
119,0.35,0.88,0.92
120,0.42,0.88,0.92
121,0.38,0.88,0.92
122,0.39,0.89,0.92
123,0.36,0.88,0.92
124,0.39,0.89,0.92
125,0.39,0.89,0.92
126,0.43,0.89,0.92
127,0.41,0.89,0.92
128,0.38,0.89,0.92
129,0.38,0.89,0.92
130,0.38,0.88,0.92
131,0.27,0.88,0.92
132,0.35,0.88,0.92
133,0.37,0.89,0.92
134,0.4,0.89,0.92
135,0.36,0.89,0.92
136,0.39,0.89,0.92
137,0.36,0.88,0.92
138,0.37,0.89,0.92
139,0.37,0.88,0.92
140,0.36,0.89,0.92
141,0.38,0.89,0.92
142,0.39,0.89,0.92
143,0.32,0.89,0.92
144,0.4,0.89,0.92
145,0.37,0.89,0.92
146,0.35,0.89,0.92
147,0.33,0.88,0.92
148,0.32,0.88,0.92
149,0.26,0.88,0.92
150,0.32,0.88,0.92
151,0.31,0.88,0.92
152,0.28,0.88,0.92
153,0.31,0.89,0.92
154,0.29,0.89,0.92
155,0.25,0.88,0.92
156,0.29,0.88,0.92
157,0.31,0.88,0.92
158,0.3,0.88,0.92
159,0.3,0.88,0.92
160,0.3,0.88,0.92
161,0.28,0.88,0.92
162,0.36,0.89,0.92
163,0.34,0.88,0.92
164,0.38,0.88,0.92
165,0.31,0.88,0.92
166,0.33,0.88,0.92
167,0.3,0.88,0.92
168,0.36,0.89,0.92
169,0.35,0.89,0.92
170,0.36,0.88,0.92
171,0.37,0.89,0.92
172,0.36,0.88,0.92
173,0.33,0.89,0.92
174,0.35,0.88,0.92
175,0.37,0.89,0.92
176,0.36,0.88,0.92
177,0.39,0.89,0.92
178,0.38,0.89,0.92
179,0.39,0.89,0.92
180,0.42,0.89,0.92
181,0.37,0.88,0.92
182,0.38,0.89,0.92
183,0.38,0.89,0.93
184,0.37,0.89,0.92
185,0.36,0.88,0.92
186,0.33,0.89,0.92
187,0.34,0.89,0.92
188,0.33,0.88,0.92
189,0.34,0.89,0.92
190,0.33,0.89,0.92
191,0.35,0.88,0.92
192,0.31,0.88,0.92
193,0.39,0.89,0.92
194,0.32,0.89,0.92
195,0.36,0.89,0.92
196,0.36,0.89,0.93
197,0.39,0.89,0.92
198,0.38,0.89,0.92
199,0.36,0.88,0.92
200,0.32,0.88,0.92
201,0.31,0.88,0.92
202,0.37,0.88,0.92
203,0.32,0.88,0.92
204,0.39,0.89,0.92
205,0.36,0.88,0.92
206,0.39,0.89,0.92
207,0.38,0.89,0.92
208,0.38,0.89,0.92
209,0.42,0.89,0.92
210,0.41,0.89,0.92
211,0.44,0.89,0.92
212,0.39,0.89,0.92
213,0.41,0.89,0.92
214,0.33,0.88,0.92
215,0.38,0.89,0.92
216,0.44,0.89,0.92
217,0.36,0.88,0.92
218,0.38,0.89,0.92
219,0.37,0.89,0.92
220,0.38,0.89,0.92
221,0.37,0.88,0.92
222,0.35,0.89,0.92
223,0.33,0.88,0.92
224,0.35,0.88,0.92
225,0.42,0.89,0.92
226,0.39,0.89,0.92
227,0.42,0.89,0.92
228,0.38,0.89,0.92
229,0.36,0.89,0.92
230,0.39,0.89,0.92
231,0.38,0.89,0.92
232,0.47,0.89,0.92
233,0.41,0.89,0.92
234,0.47,0.89,0.93
235,0.42,0.89,0.92
236,0.49,0.89,0.92
237,0.45,0.89,0.92
238,0.43,0.89,0.92
239,0.42,0.89,0.92
240,0.34,0.88,0.92
241,0.38,0.88,0.92
242,0.38,0.89,0.92
243,0.46,0.89,0.92
244,0.42,0.89,0.92
245,0.39,0.89,0.92
246,0.41,0.89,0.92
247,0.36,0.89,0.92
248,0.5,0.89,0.92
249,0.43,0.89,0.92
250,0.41,0.89,0.92
251,0.47,0.89,0.92
252,0.42,0.89,0.92
253,0.41,0.89,0.92
254,0.45,0.89,0.92
255,0.49,0.89,0.92
256,0.4,0.89,0.93
257,0.41,0.89,0.92
258,0.48,0.89,0.93
259,0.42,0.89,0.92
260,0.38,0.89,0.93
261,0.42,0.89,0.92
262,0.41,0.89,0.92
263,0.38,0.89,0.93
264,0.42,0.89,0.93
265,0.42,0.89,0.92
266,0.36,0.89,0.92
267,0.5,0.89,0.93
268,0.43,0.89,0.92
269,0.41,0.89,0.93
270,0.39,0.89,0.92
271,0.47,0.89,0.93
272,0.44,0.89,0.92
273,0.37,0.89,0.93
274,0.41,0.89,0.93
275,0.46,0.89,0.92
276,0.47,0.89,0.93
277,0.45,0.89,0.93
278,0.41,0.89,0.93
279,0.46,0.89,0.93
280,0.39,0.89,0.93
281,0.47,0.89,0.93
282,0.39,0.89,0.92
283,0.45,0.89,0.93
284,0.44,0.89,0.93
285,0.5,0.89,0.93
286,0.46,0.89,0.93
287,0.43,0.89,0.93
288,0.41,0.89,0.93
289,0.48,0.89,0.93
290,0.46,0.89,0.92
291,0.5,0.89,0.93
292,0.47,0.89,0.93
293,0.46,0.89,0.92
294,0.49,0.89,0.92
295,0.44,0.89,0.92
296,0.41,0.89,0.92
297,0.45,0.89,0.93
298,0.45,0.89,0.93
299,0.5,0.89,0.93
300,0.5,0.89,0.93
301,0.51,0.89,0.93
302,0.5,0.89,0.93
303,0.51,0.89,0.93
304,0.45,0.89,0.93
305,0.5,0.89,0.93
306,0.52,0.89,0.93
307,0.46,0.89,0.92
308,0.47,0.89,0.92
309,0.44,0.89,0.93
310,0.45,0.89,0.92
311,0.45,0.89,0.93
312,0.45,0.89,0.93
313,0.42,0.89,0.93
314,0.47,0.89,0.93
315,0.5,0.89,0.93
316,0.48,0.89,0.93
317,0.46,0.89,0.92
318,0.48,0.89,0.92
319,0.5,0.89,0.92
320,0.47,0.89,0.92
321,0.5,0.89,0.92
322,0.5,0.89,0.92
323,0.49,0.89,0.92
324,0.48,0.89,0.92
325,0.49,0.89,0.92
326,0.47,0.89,0.92
327,0.51,0.89,0.92
328,0.51,0.89,0.92
329,0.52,0.89,0.92
330,0.46,0.89,0.92
331,0.46,0.89,0.92
332,0.49,0.89,0.92
333,0.44,0.89,0.92
334,0.49,0.89,0.92
335,0.47,0.89,0.92
336,0.48,0.89,0.92
337,0.44,0.89,0.92
338,0.51,0.89,0.92
339,0.47,0.89,0.92
340,0.52,0.89,0.92
341,0.48,0.89,0.92
342,0.44,0.89,0.92
343,0.5,0.89,0.93
344,0.48,0.89,0.93
345,0.49,0.89,0.93
346,0.47,0.89,0.92
347,0.47,0.89,0.93
348,0.51,0.89,0.92
349,0.44,0.89,0.93
350,0.48,0.89,0.93
351,0.48,0.89,0.92
352,0.5,0.89,0.92
353,0.49,0.89,0.93
354,0.52,0.89,0.92
355,0.47,0.89,0.92
356,0.49,0.89,0.92
357,0.48,0.89,0.92
358,0.49,0.89,0.92
359,0.5,0.89,0.92
360,0.51,0.89,0.92
361,0.5,0.89,0.92
362,0.49,0.89,0.92
363,0.5,0.89,0.92
364,0.48,0.89,0.92
365,0.48,0.89,0.92
366,0.52,0.89,0.92
367,0.52,0.89,0.93
368,0.5,0.89,0.92
369,0.49,0.89,0.92
370,0.51,0.89,0.92
371,0.51,0.89,0.93
372,0.49,0.89,0.92
373,0.49,0.89,0.93
374,0.52,0.89,0.92
375,0.5,0.89,0.92
376,0.48,0.89,0.92
377,0.51,0.89,0.92
378,0.5,0.89,0.92
379,0.5,0.89,0.92
380,0.5,0.89,0.92
381,0.5,0.89,0.92
382,0.5,0.89,0.92
383,0.47,0.89,0.92
384,0.5,0.89,0.92
385,0.49,0.89,0.92
386,0.49,0.89,0.92
387,0.52,0.89,0.93
388,0.5,0.89,0.92
389,0.52,0.89,0.92
390,0.53,0.89,0.92
391,0.52,0.89,0.92
392,0.52,0.89,0.93
393,0.56,0.9,0.92
394,0.54,0.89,0.92
395,0.52,0.89,0.93
396,0.56,0.89,0.92
397,0.53,0.89,0.92
398,0.53,0.89,0.93
399,0.55,0.89,0.92
400,0.55,0.89,0.92
401,0.57,0.89,0.92
402,0.57,0.89,0.92
403,0.53,0.89,0.92
404,0.54,0.89,0.92
405,0.54,0.89,0.92
406,0.56,0.89,0.92
407,0.54,0.9,0.93
408,0.57,0.89,0.92
409,0.51,0.89,0.93
410,0.56,0.9,0.92
411,0.54,0.89,0.92
412,0.53,0.89,0.92
413,0.54,0.89,0.93
414,0.55,0.89,0.92
415,0.55,0.9,0.92
416,0.55,0.9,0.92
417,0.53,0.89,0.92
418,0.51,0.89,0.92
419,0.53,0.89,0.92
420,0.55,0.89,0.92
421,0.56,0.89,0.92
422,0.54,0.89,0.92
423,0.54,0.89,0.92
424,0.53,0.89,0.92
425,0.53,0.89,0.92
426,0.55,0.89,0.92
427,0.55,0.89,0.92
428,0.53,0.89,0.93
429,0.54,0.89,0.92
430,0.55,0.89,0.92
431,0.54,0.89,0.92
432,0.5,0.89,0.92
433,0.53,0.89,0.92
434,0.54,0.89,0.92
435,0.53,0.89,0.93
436,0.52,0.89,0.92
437,0.53,0.89,0.93
438,0.53,0.89,0.92
439,0.52,0.89,0.93
440,0.55,0.89,0.92
441,0.56,0.9,0.92
442,0.57,0.9,0.92
443,0.56,0.9,0.93
444,0.55,0.9,0.93
445,0.56,0.9,0.93
446,0.57,0.9,0.92
447,0.54,0.89,0.92
448,0.53,0.9,0.93
449,0.55,0.89,0.92
450,0.55,0.9,0.92
451,0.56,0.9,0.93
452,0.56,0.9,0.93
453,0.54,0.89,0.92
454,0.53,0.89,0.92
455,0.54,0.9,0.93
456,0.53,0.89,0.92
457,0.53,0.89,0.92
458,0.52,0.89,0.92
459,0.54,0.89,0.92
460,0.54,0.9,0.93
461,0.55,0.89,0.92
462,0.55,0.89,0.93
463,0.54,0.9,0.93
464,0.55,0.89,0.92
465,0.51,0.89,0.92
466,0.51,0.89,0.92
467,0.54,0.89,0.93
468,0.52,0.89,0.92
469,0.51,0.89,0.92
470,0.56,0.89,0.92
471,0.54,0.89,0.92
472,0.54,0.89,0.92
473,0.56,0.89,0.92
474,0.54,0.89,0.92
475,0.49,0.89,0.92
476,0.52,0.89,0.93
477,0.55,0.89,0.92
478,0.54,0.89,0.92
479,0.54,0.89,0.92
480,0.52,0.89,0.92
481,0.51,0.89,0.92
482,0.5,0.89,0.92
483,0.51,0.89,0.93
484,0.53,0.89,0.92
485,0.54,0.9,0.93
486,0.55,0.9,0.93
487,0.55,0.9,0.92
488,0.54,0.89,0.92
489,0.54,0.89,0.92
490,0.57,0.9,0.93
491,0.55,0.89,0.92
492,0.54,0.89,0.92
493,0.5,0.89,0.92
494,0.54,0.89,0.92
495,0.53,0.89,0.92
496,0.58,0.9,0.93
497,0.53,0.89,0.93
498,0.53,0.89,0.92
499,0.53,0.89,0.92
