Model,GOF F1,LOF F1,Neutral F1
345,0.49,0.89,0.93
362,0.49,0.89,0.92
373,0.49,0.89,0.93
356,0.49,0.89,0.92
323,0.49,0.89,0.92
289,0.48,0.89,0.93
324,0.48,0.89,0.92
318,0.48,0.89,0.92
316,0.48,0.89,0.93
351,0.48,0.89,0.92
336,0.48,0.89,0.92
341,0.48,0.89,0.92
258,0.48,0.89,0.93
344,0.48,0.89,0.93
376,0.48,0.89,0.92
365,0.48,0.89,0.92
364,0.48,0.89,0.92
357,0.48,0.89,0.92
350,0.48,0.89,0.93
281,0.47,0.89,0.93
355,0.47,0.89,0.92
308,0.47,0.89,0.92
383,0.47,0.89,0.92
234,0.47,0.89,0.93
232,0.47,0.89,0.92
314,0.47,0.89,0.93
276,0.47,0.89,0.93
335,0.47,0.89,0.92
292,0.47,0.89,0.93
271,0.47,0.89,0.93
347,0.47,0.89,0.93
320,0.47,0.89,0.92
346,0.47,0.89,0.92
339,0.47,0.89,0.92
326,0.47,0.89,0.92
251,0.47,0.89,0.92
293,0.46,0.89,0.92
243,0.46,0.89,0.92
307,0.46,0.89,0.92
275,0.46,0.89,0.92
286,0.46,0.89,0.93
330,0.46,0.89,0.92
331,0.46,0.89,0.92
290,0.46,0.89,0.92
279,0.46,0.89,0.93
317,0.46,0.89,0.92
277,0.45,0.89,0.93
297,0.45,0.89,0.93
283,0.45,0.89,0.93
298,0.45,0.89,0.93
254,0.45,0.89,0.92
237,0.45,0.89,0.92
304,0.45,0.89,0.93
312,0.45,0.89,0.93
311,0.45,0.89,0.93
310,0.45,0.89,0.92
211,0.44,0.89,0.92
272,0.44,0.89,0.92
216,0.44,0.89,0.92
333,0.44,0.89,0.92
295,0.44,0.89,0.92
342,0.44,0.89,0.92
349,0.44,0.89,0.93
309,0.44,0.89,0.93
284,0.44,0.89,0.93
337,0.44,0.89,0.92
268,0.43,0.89,0.92
126,0.43,0.89,0.92
287,0.43,0.89,0.93
13,0.43,0.85,0.91
249,0.43,0.89,0.92
238,0.43,0.89,0.92
265,0.42,0.89,0.92
313,0.42,0.89,0.93
120,0.42,0.88,0.92
180,0.42,0.89,0.92
225,0.42,0.89,0.92
227,0.42,0.89,0.92
235,0.42,0.89,0.92
264,0.42,0.89,0.93
239,0.42,0.89,0.92
244,0.42,0.89,0.92
252,0.42,0.89,0.92
259,0.42,0.89,0.92
261,0.42,0.89,0.92
209,0.42,0.89,0.92
288,0.41,0.89,0.93
296,0.41,0.89,0.92
250,0.41,0.89,0.92
127,0.41,0.89,0.92
262,0.41,0.89,0.92
213,0.41,0.89,0.92
246,0.41,0.89,0.92
253,0.41,0.89,0.92
257,0.41,0.89,0.92
233,0.41,0.89,0.92
210,0.41,0.89,0.92
269,0.41,0.89,0.93
274,0.41,0.89,0.93
278,0.41,0.89,0.93
12,0.4,0.84,0.91
11,0.4,0.84,0.91
134,0.4,0.89,0.92
256,0.4,0.89,0.93
10,0.4,0.84,0.91
144,0.4,0.89,0.92
14,0.4,0.86,0.92
136,0.39,0.89,0.92
280,0.39,0.89,0.93
212,0.39,0.89,0.92
282,0.39,0.89,0.92
142,0.39,0.89,0.92
206,0.39,0.89,0.92
204,0.39,0.89,0.92
125,0.39,0.89,0.92
179,0.39,0.89,0.92
177,0.39,0.89,0.92
193,0.39,0.89,0.92
124,0.39,0.89,0.92
17,0.39,0.86,0.92
270,0.39,0.89,0.92
226,0.39,0.89,0.92
197,0.39,0.89,0.92
118,0.39,0.88,0.92
230,0.39,0.89,0.92
122,0.39,0.89,0.92
18,0.39,0.86,0.92
245,0.39,0.89,0.92
183,0.38,0.89,0.93
182,0.38,0.89,0.92
178,0.38,0.89,0.92
16,0.38,0.86,0.91
19,0.38,0.86,0.92
164,0.38,0.88,0.92
110,0.38,0.88,0.92
113,0.38,0.88,0.92
130,0.38,0.88,0.92
129,0.38,0.89,0.92
128,0.38,0.89,0.92
121,0.38,0.88,0.92
141,0.38,0.89,0.92
231,0.38,0.89,0.92
260,0.38,0.89,0.93
208,0.38,0.89,0.92
215,0.38,0.89,0.92
218,0.38,0.89,0.92
220,0.38,0.89,0.92
228,0.38,0.89,0.92
241,0.38,0.88,0.92
242,0.38,0.89,0.92
207,0.38,0.89,0.92
263,0.38,0.89,0.93
198,0.38,0.89,0.92
145,0.37,0.89,0.92
139,0.37,0.88,0.92
138,0.37,0.89,0.92
133,0.37,0.89,0.92
219,0.37,0.89,0.92
8,0.37,0.81,0.91
221,0.37,0.88,0.92
171,0.37,0.89,0.92
109,0.37,0.88,0.92
175,0.37,0.89,0.92
107,0.37,0.88,0.92
184,0.37,0.89,0.92
202,0.37,0.88,0.92
273,0.37,0.89,0.93
181,0.37,0.88,0.92
217,0.36,0.88,0.92
6,0.36,0.79,0.91
140,0.36,0.89,0.92
266,0.36,0.89,0.92
137,0.36,0.88,0.92
135,0.36,0.89,0.92
7,0.36,0.81,0.91
112,0.36,0.88,0.92
105,0.36,0.88,0.92
106,0.36,0.88,0.92
123,0.36,0.88,0.92
247,0.36,0.89,0.92
229,0.36,0.89,0.92
195,0.36,0.89,0.92
9,0.36,0.82,0.91
196,0.36,0.89,0.93
170,0.36,0.88,0.92
162,0.36,0.89,0.92
168,0.36,0.89,0.92
176,0.36,0.88,0.92
205,0.36,0.88,0.92
172,0.36,0.88,0.92
185,0.36,0.88,0.92
199,0.36,0.88,0.92
146,0.35,0.89,0.92
111,0.35,0.88,0.92
115,0.35,0.88,0.92
191,0.35,0.88,0.92
119,0.35,0.88,0.92
169,0.35,0.89,0.92
224,0.35,0.88,0.92
222,0.35,0.89,0.92
174,0.35,0.88,0.92
132,0.35,0.88,0.92
116,0.34,0.88,0.92
