Model,Neutral MCC,GOF MCC,LOF MCC
191,0.8526,0.3845,0.7739
192,0.8505,0.3409,0.7682
193,0.854,0.4233,0.7785
194,0.8576,0.3529,0.7768
195,0.8568,0.3949,0.7787
196,0.8583,0.3866,0.7785
197,0.8576,0.425,0.7829
198,0.8583,0.4093,0.7815
199,0.854,0.3898,0.7744
200,0.8554,0.3529,0.775
201,0.8519,0.3501,0.7721
202,0.8512,0.3979,0.7716
203,0.8519,0.3707,0.7726
204,0.8547,0.4233,0.7822
205,0.8526,0.401,0.7748
206,0.8561,0.425,0.782
207,0.8568,0.4163,0.7809
208,0.8547,0.4163,0.7803
209,0.8568,0.4546,0.786
210,0.8519,0.4501,0.7799
211,0.8554,0.4657,0.7853
212,0.8533,0.4233,0.7796
213,0.8498,0.4328,0.7763
214,0.8526,0.3738,0.7735
215,0.8547,0.4136,0.7788
216,0.8554,0.4699,0.7846
217,0.8554,0.3826,0.7754
218,0.8547,0.4272,0.7796
219,0.8576,0.4083,0.7821
220,0.8568,0.4002,0.7791
221,0.8519,0.401,0.7753
222,0.8547,0.3919,0.7769
223,0.8554,0.3565,0.7747
224,0.8519,0.3983,0.7754
225,0.8547,0.4613,0.7844
226,0.8554,0.411,0.7793
227,0.8533,0.4479,0.7806
228,0.8533,0.4136,0.7791
229,0.854,0.3949,0.7775
230,0.8561,0.4296,0.7827
231,0.8547,0.4226,0.7807
232,0.854,0.4997,0.7862
233,0.8576,0.4355,0.7826
234,0.8597,0.4853,0.7889
235,0.8568,0.4643,0.786
236,0.854,0.5136,0.7872
237,0.8568,0.4808,0.7899
238,0.8547,0.4726,0.783
239,0.8547,0.4568,0.781
240,0.8568,0.3814,0.7756
241,0.8512,0.4093,0.7742
242,0.8547,0.425,0.7796
243,0.8561,0.4866,0.7859
244,0.854,0.4437,0.7779
245,0.8533,0.425,0.776
246,0.854,0.4501,0.7793
247,0.8533,0.4037,0.7769
248,0.8568,0.5344,0.7915
249,0.8554,0.466,0.7815
250,0.8533,0.4412,0.7785
251,0.8554,0.4971,0.7865
252,0.8554,0.4568,0.7814
253,0.854,0.4527,0.78
254,0.8568,0.4808,0.7871
255,0.8526,0.5211,0.7861
256,0.859,0.4411,0.7835
257,0.854,0.448,0.7797
258,0.8604,0.5032,0.7908
259,0.8576,0.4568,0.7837
260,0.8597,0.4202,0.7827
261,0.8568,0.4568,0.7831
262,0.8561,0.448,0.7817
263,0.859,0.4226,0.7817
264,0.8597,0.4523,0.785
265,0.8554,0.4568,0.7825
266,0.8576,0.3964,0.7787
267,0.8583,0.5256,0.7914
268,0.8568,0.4654,0.7847
269,0.8632,0.448,0.7888
270,0.8583,0.4206,0.7817
271,0.859,0.5059,0.7904
272,0.8568,0.4719,0.7855
273,0.8604,0.4155,0.7836
274,0.8625,0.448,0.788
275,0.8547,0.4846,0.7832
276,0.8604,0.499,0.7915
277,0.8597,0.4808,0.7882
278,0.8597,0.448,0.7865
279,0.8625,0.4909,0.7916
280,0.8618,0.4296,0.7865
281,0.8611,0.5059,0.7922
282,0.8576,0.4233,0.7805
283,0.8597,0.4803,0.7901
284,0.8604,0.4699,0.7892
285,0.8597,0.5299,0.7934
286,0.8604,0.489,0.7897
287,0.8604,0.4634,0.7885
288,0.859,0.4501,0.7827
289,0.859,0.5093,0.7899
290,0.8576,0.4846,0.7861
291,0.8597,0.524,0.7927
292,0.8632,0.4887,0.7929
293,0.8576,0.489,0.7865
294,0.8568,0.5136,0.7887
295,0.8576,0.4699,0.7847
296,0.8576,0.4433,0.782
297,0.8604,0.4803,0.7882
298,0.8611,0.4918,0.7913
299,0.8597,0.5213,0.7934
300,0.859,0.5256,0.7922
301,0.8597,0.5314,0.7949
302,0.8597,0.5213,0.7934
303,0.859,0.533,0.7926
304,0.8597,0.474,0.788
305,0.8597,0.5299,0.7934
306,0.8611,0.5364,0.796
307,0.8576,0.4825,0.785
308,0.8561,0.5014,0.7865
309,0.859,0.4698,0.7853
310,0.8576,0.4872,0.787
311,0.8583,0.474,0.7866
312,0.8597,0.4803,0.7902
313,0.8583,0.4547,0.7841
314,0.8618,0.499,0.7915
315,0.859,0.5189,0.7906
316,0.859,0.5032,0.7896
317,0.8561,0.489,0.7854
318,0.8583,0.5093,0.7896
319,0.8568,0.5171,0.7899
320,0.8576,0.4891,0.7879
321,0.8583,0.511,0.7884
322,0.8561,0.5208,0.7877
323,0.8576,0.509,0.7878
324,0.8561,0.503,0.7856
325,0.8576,0.509,0.7876
326,0.854,0.4908,0.7838
327,0.8561,0.5228,0.7877
328,0.8561,0.5248,0.791
329,0.8547,0.5382,0.7882
330,0.8554,0.4767,0.7831
331,0.8568,0.4754,0.7834
332,0.8568,0.513,0.7877
333,0.8526,0.4657,0.7782
334,0.8561,0.5111,0.7871
335,0.854,0.4887,0.7821
336,0.8547,0.493,0.7828
337,0.8561,0.4578,0.7814
338,0.8561,0.5306,0.789
339,0.8526,0.4853,0.7807
340,0.8554,0.5405,0.7899
341,0.8568,0.5032,0.7872
342,0.8561,0.4593,0.7822
343,0.8597,0.523,0.7934
344,0.859,0.501,0.7899
345,0.859,0.5111,0.7899
346,0.8561,0.4971,0.7858
347,0.8604,0.499,0.7899
348,0.8547,0.5289,0.789
349,0.8604,0.4617,0.7879
350,0.8611,0.5032,0.7915
351,0.8526,0.501,0.7836
352,0.854,0.523,0.7879
353,0.8604,0.5111,0.7914
354,0.8533,0.5347,0.7885
355,0.8533,0.4887,0.7832
356,0.8547,0.507,0.785
357,0.8576,0.5051,0.7879
358,0.8547,0.505,0.7856
359,0.8568,0.5272,0.7899
360,0.8526,0.5248,0.7864
361,0.8554,0.523,0.7878
362,0.8583,0.5111,0.7908
363,0.8583,0.5171,0.7914
364,0.854,0.493,0.785
365,0.8554,0.4952,0.7861
366,0.8561,0.5405,0.7918
367,0.859,0.5286,0.7925
368,0.8554,0.511,0.7869
369,0.8547,0.513,0.7886
370,0.8554,0.5306,0.7913
371,0.859,0.5248,0.7926
372,0.8547,0.509,0.7861
373,0.8597,0.5111,0.792
