Model,overall_rank,avg_rank,rank_overall_mcc,rank_overall_recall,rank_overall_precision,rank_overall_accuracy
174,132,131.0,134.0,131.0,128.0,131.0
204,133,131.25,133.0,131.0,130.0,131.0
215,134,132.0,131.0,131.0,135.0,131.0
343,135,132.5,135.0,131.0,133.0,131.0
122,136,132.75,132.0,131.0,137.0,131.0
222,137,137.5,137.0,137.0,139.0,137.0
213,138,138.25,138.0,137.0,141.0,137.0
210,139,138.75,141.0,137.0,140.0,137.0
143,140,139.75,142.0,137.0,143.0,137.0
144,141,139.75,136.0,137.0,149.0,137.0
109,142,140.0,148.0,137.0,138.0,137.0
325,143,140.75,145.0,137.0,144.0,137.0
149,144,140.75,143.0,137.0,146.0,137.0
330,145,141.25,144.0,137.0,147.0,137.0
130,146,141.5,140.0,137.0,152.0,137.0
322,147,143.5,146.0,137.0,154.0,137.0
441,148,144.5,153.0,137.0,151.0,137.0
332,149,145.75,151.0,137.0,158.0,137.0
188,150,146.25,149.0,137.0,162.0,137.0
245,151,151.0,152.0,151.0,150.0,151.0
131,152,151.0,147.0,151.0,155.0,151.0
470,153,151.5,170.0,151.0,134.0,151.0
366,154,152.75,164.0,151.0,145.0,151.0
129,155,153.25,150.0,151.0,161.0,151.0
364,156,153.25,169.0,151.0,142.0,151.0
217,157,153.25,155.0,151.0,156.0,151.0
281,158,154.75,160.0,151.0,157.0,151.0
373,159,155.25,166.0,151.0,153.0,151.0
207,160,155.25,154.0,151.0,165.0,151.0
333,161,155.5,156.0,151.0,164.0,151.0
190,162,155.75,162.0,151.0,159.0,151.0
317,163,156.5,161.0,151.0,163.0,151.0
162,164,157.75,158.0,151.0,171.0,151.0
308,165,158.25,163.0,151.0,168.0,151.0
151,166,158.5,157.0,151.0,175.0,151.0
456,167,166.0,182.0,167.0,148.0,167.0
145,168,166.5,159.0,167.0,173.0,167.0
208,169,167.0,165.0,167.0,169.0,167.0
164,170,169.25,167.0,167.0,176.0,167.0
282,171,169.25,177.0,167.0,166.0,167.0
453,172,169.25,183.0,167.0,160.0,167.0
202,173,170.5,171.0,167.0,177.0,167.0
394,174,171.25,184.0,167.0,167.0,167.0
351,175,171.75,181.0,167.0,172.0,167.0
321,176,171.75,175.0,167.0,178.0,167.0
289,177,172.0,171.0,167.0,183.0,167.0
184,178,172.5,168.0,167.0,188.0,167.0
154,179,173.0,179.0,167.0,179.0,167.0
336,180,173.75,176.0,167.0,185.0,167.0
177,181,174.25,174.0,167.0,189.0,167.0
160,182,176.0,173.0,167.0,197.0,167.0
446,183,178.0,180.0,167.0,198.0,167.0
209,184,183.5,178.0,185.0,186.0,185.0
357,185,183.75,195.0,185.0,170.0,185.0
497,186,184.5,186.0,167.0,218.0,167.0
375,187,184.5,194.0,185.0,174.0,185.0
344,188,184.75,185.0,185.0,184.0,185.0
191,189,185.5,192.0,185.0,180.0,185.0
107,190,187.0,191.0,185.0,187.0,185.0
