Model,F1_Score
1,0.458559621685699
2,0.5876922558690671
3,0.6844827262474411
6,0.6913625480250545
5,0.6970835389803175
4,0.6988388145834904
9,0.707540456695749
7,0.7083547271384429
8,0.7093317579508233
10,0.7191507049601555
11,0.7213064644426509
12,0.7248109293947883
13,0.7282099252128681
15,0.7287021397274832
26,0.7307868887016375
16,0.7318447717324194
14,0.7319057365289211
28,0.7319787913520054
21,0.732830094230188
18,0.7340203121734912
24,0.7341327716677323
20,0.7343006751972163
19,0.734824640580712
27,0.7348511935731296
17,0.7349802145711515
25,0.7354050271294148
29,0.7360994255729209
30,0.737412750827293
23,0.7403446548604206
22,0.7405625577915466
32,0.8037270467344854
31,0.8077907466653551
42,0.818442671327827
38,0.8187824686781795
40,0.819743067385305
41,0.8205226108717465
39,0.8206407505414541
33,0.82555815217082
37,0.827011550943382
35,0.8276268119346982
34,0.8298641337981864
36,0.8322949800726165
49,0.8442843428830837
48,0.8447138817996686
50,0.846022507264337
52,0.8461427142906254
51,0.8473510961751093
44,0.8486787498624487
43,0.8488045452038194
47,0.8492403361888708
46,0.8495112499486904
57,0.8499727286404072
45,0.8514548696240288
54,0.8525302565708727
58,0.8526417798216971
56,0.8536630384126314
55,0.8538551303847196
53,0.8545717066677281
59,0.8563789183311923
69,0.8579787226948442
62,0.8591195934983196
60,0.8593534516477677
61,0.8601049870367508
63,0.860449945968281
66,0.8624590442674528
65,0.8630075053363557
68,0.8637787110679731
67,0.8650795044495875
70,0.8656628913570065
64,0.8659900473804666
71,0.8679088560575955
72,0.869524374099499
75,0.8817164499502375
73,0.8824077836559878
88,0.8829780089233957
87,0.8830519609641526
85,0.8833401290165729
89,0.884368531845533
77,0.8847184874265076
94,0.8849500764903867
86,0.8849756435997984
92,0.8851710776521664
91,0.8852108992908055
84,0.8853188789599746
74,0.8855003042396706
90,0.8856243209560651
76,0.8856552947525685
100,0.8856723865219293
81,0.8857438006021596
93,0.8860423800657977
499,0.8861880769703052
98,0.886306250668252
99,0.886449839752897
101,0.8867167277812117
96,0.8870423915188818
80,0.8871040327813973
82,0.8871484461339292
78,0.8871754175018735
103,0.8874176396274653
95,0.8877055218977242
97,0.887825599672518
102,0.8884139625279448
79,0.8886367560449555
415,0.888690821416046
437,0.8887495215989479
435,0.8887796546321358
388,0.8889498597472815
424,0.8890301525858796
104,0.8891812481168615
410,0.8892063902807157
426,0.889215043300092
384,0.889281331088524
438,0.8893325997215858
467,0.8893923990404973
406,0.8895266246973078
436,0.889579193657378
396,0.8897614099802797
432,0.8898095595717801
458,0.889860139229074
433,0.890027215277382
106,0.890117699106763
391,0.8901299051416882
348,0.8901787203489868
429,0.890390737823273
476,0.890472813529533
439,0.8905673195043433
479,0.8905769372388386
418,0.890594650939699
486,0.8907610513144355
431,0.890817795089354
494,0.8909116476627035
402,0.8910876578731535
407,0.8911474678978064
454,0.8911962831484286
448,0.8912770180548875
346,0.8912898824157925
376,0.8913636122946398
401,0.891368338016696
400,0.891376751842552
399,0.8914503669071527
405,0.8915653101060497
423,0.8915655027029187
434,0.8915666204340229
471,0.8916215574829541
420,0.8916222165735584
383,0.89168785532996
481,0.8917210842012973
421,0.8917450748417292
83,0.8917462314322616
422,0.8917537256148146
465,0.8917643707831976
392,0.8918141369727721
179,0.8919088520008955
444,0.891965014150561
362,0.891965823659872
409,0.8919667929415515
488,0.8920173124212657
414,0.8920288366555369
430,0.8920362138674013
186,0.8920897320080771
461,0.8920988016898861
425,0.8921148678073255
377,0.8921531727434223
412,0.8921553854671936
397,0.8921580599899033
498,0.8922110745258245
312,0.8922236499911949
395,0.8922240994043659
417,0.8923071330895639
192,0.8923128682654868
493,0.8923600645875887
413,0.8923711440127131
475,0.8924009252905224
427,0.8924413865455356
447,0.8924502649050272
495,0.8924684539935273
483,0.8924707362741691
380,0.8925021255740138
464,0.8925950190679306
356,0.8926187723268899
445,0.8926197604717294
340,0.8926293750407075
403,0.892656609261752
478,0.8926690534470855
411,0.8926733520973378
452,0.8926982275923844
487,0.8927241407949185
484,0.8927345482152786
457,0.8927496521779479
390,0.8927691259930481
393,0.8928006971626855
490,0.8928165270893303
350,0.892846992573874
473,0.8928654075836093
474,0.8928963347396499
200,0.8929305759266737
339,0.8929741171954436
182,0.8930088397430905
449,0.8930345667618653
386,0.8931177164390403
480,0.8931427253190956
496,0.8931695712506776
347,0.8932273246094874
168,0.8933333924572531
326,0.893395940967452
455,0.8933993411686258
372,0.8934285330365557
359,0.8934579391281454
466,0.893507972386908
183,0.8935158762209213
374,0.8935637084349254
451,0.8935664095819682
313,0.8936095895609365
463,0.8936129517495242
105,0.8936227017263476
492,0.8936446339738758
440,0.8936470048435968
462,0.8936623895495787
169,0.8936781591826187
428,0.893744312681766
442,0.8937598915665225
196,0.8937621000222012
352,0.8937730010738424
450,0.8937897017017484
443,0.8938182843916872
118,0.8938550536172271
175,0.8938574259208559
389,0.893881164244874
468,0.8938897207398516
489,0.8939642578927198
472,0.8939662360617955
167,0.894025755602019
387,0.894034715311415
485,0.8941148239431835
477,0.8941717083676731
108,0.8941837745683255
382,0.8941904123643758
404,0.8941929886744783
193,0.8942028202958021
460,0.8942150127344018
176,0.894278087182076
398,0.8942809056893153
314,0.8943497937697912
367,0.8943814293944997
416,0.8943963570303551
385,0.894418148862602
482,0.8944341213089444
185,0.8944714891961885
378,0.8945213905833055
355,0.8945685804450032
337,0.8946186597322462
491,0.8946244647159209
358,0.8946744596840402
459,0.8947025942630091
203,0.8947140838516793
497,0.8947287851920426
408,0.8947395816093516
165,0.8947984785739684
166,0.8948058311809158
370,0.8949052098564654
328,0.8949147437951994
318,0.8949217774809932
419,0.8949324694496835
117,0.8949457351327718
469,0.8949531149575332
319,0.8950385152131384
363,0.8951290100100651
197,0.895154257069132
156,0.8951797827880683
470,0.8952179541515911
381,0.8952208292556398
178,0.895254430687849
199,0.8952711035802322
453,0.8954323294056769
114,0.8954473536649199
171,0.8954502956845303
365,0.8954992180639856
327,0.8955271426393543
456,0.8955345053366915
446,0.895597018081857
195,0.8955994085107677
349,0.8956270646530677
181,0.8956651627704222
157,0.8956826863413446
120,0.895745726679192
379,0.8957493112634859
394,0.8957663163629614
110,0.8957856974593847
187,0.8957864411146378
180,0.8957988802412579
342,0.8958535253569366
309,0.8958598764335443
159,0.8959984621800952
334,0.8960079824943817
315,0.8960086860382804
338,0.8960701545925235
353,0.896072381787765
170,0.8960857470661764
172,0.8961269007804619
121,0.8961618029054982
351,0.8961896211472
125,0.8961966238134945
375,0.8962321136774443
191,0.8962448686082484
155,0.8962470188808758
107,0.8962772441096895
357,0.8962866259451986
364,0.8962867639169241
198,0.8962979159946813
216,0.8963124021817425
341,0.8963140543904502
329,0.8963423023056489
173,0.8963769174865474
163,0.8963784327931863
285,0.8963887778966199
441,0.8964282931687924
335,0.89646697181759
201,0.8964694007915245
116,0.8965240784229618
115,0.8965240784229618
214,0.8965513914885216
373,0.8965604364092485
154,0.8965854052730223
124,0.8966016343512593
344,0.8966750051175473
282,0.8967236896935794
336,0.8967824082239293
177,0.8968021556223815
160,0.8969017579023647
289,0.8969052825982067
366,0.8969215979869167
202,0.8970046806152653
321,0.8970387394542736
190,0.8970754457628465
281,0.8970844375725341
209,0.8971032244579675
308,0.8971166487242803
184,0.8971170662625326
332,0.8972623268433705
317,0.8973202218752995
164,0.8973312387292969
208,0.8973758258682623
188,0.8974744125783927
162,0.897544095439332
207,0.8976076147849339
109,0.8976491519092062
151,0.8976605317736773
217,0.8976731277632778
333,0.8977140506274075
371,0.8977646856593274
322,0.8977903846906117
145,0.8978334777115834
325,0.8979184852532864
245,0.897980359415249
343,0.8979893042705256
330,0.898001612793793
174,0.898006155925032
210,0.8980281186464636
129,0.8980372039430027
320,0.8980697828820351
360,0.8980973229498416
149,0.8981861143057451
131,0.8982106040954184
213,0.8982617334613833
222,0.8982776881682342
368,0.8982947768093394
130,0.898296986717983
204,0.8983021185667329
161,0.8983143587299899
143,0.898333954279099
301,0.8983520088430531
144,0.8983948258288588
215,0.8984000606934592
194,0.8984264812366501
354,0.8985046954161797
122,0.8985514423540497
212,0.8986131399730806
307,0.8986205977061829
284,0.8986813662888758
297,0.8987449165677182
205,0.8987483123432406
111,0.8987912568053559
123,0.8987920660018365
153,0.8988020167093763
298,0.8988028610508664
189,0.898879846090463
244,0.8988824887721276
331,0.8988980435190296
150,0.8990346178534159
158,0.8991041500508438
136,0.8991251417357539
206,0.8991535653079524
316,0.8992122184373393
138,0.8992551815698387
218,0.8992621131430601
223,0.8992764199548826
249,0.8993159367430544
292,0.8993337143344152
128,0.8993535807384487
239,0.8993583531666625
241,0.899486059652252
369,0.8995070472871008
211,0.899541751474719
221,0.8995904867097494
287,0.8995946406944021
279,0.8996353259774527
219,0.8996364932069744
152,0.899642006927222
127,0.8996422780593593
264,0.8996923752830265
323,0.8996928264916554
286,0.8997215622363012
119,0.8997224262879769
345,0.8997483456491162
311,0.8997521604516644
247,0.8997830954774081
304,0.8998673871906773
361,0.8999691383971669
246,0.8999701646201196
140,0.899976704429205
133,0.8999860898521242
278,0.8999899640639062
310,0.900022511426835
303,0.9000438405305999
259,0.9000515689055676
224,0.9001002185275075
226,0.9001237594426998
306,0.900145772389468
257,0.9001926249467365
147,0.9002287222287215
232,0.9002971415338908
139,0.900319889547911
146,0.9003704768815985
112,0.9003738963089942
236,0.900479782181679
252,0.9005953655465616
227,0.9006102016131562
235,0.9007410790609452
126,0.9008120038769502
225,0.9008348698532262
248,0.9008491284010036
288,0.9008963203804744
296,0.9009165442748518
113,0.90096431111996
132,0.901039399454944
291,0.9010579639130688
135,0.90107923818309
220,0.901120246781438
250,0.9011507729578908
137,0.9011674211303372
268,0.9011783284319212
272,0.901319941679046
295,0.9013778855206224
134,0.901387895364952
238,0.9013890513197386
233,0.90151165690173
273,0.901599107818119
242,0.9016681001580432
142,0.9017498429342968
267,0.9017513267536102
243,0.9017662772937554
237,0.9018843405501414
324,0.9020138392527866
253,0.9020206898647132
262,0.9020296356941848
299,0.9020682170034175
234,0.9020908467855766
254,0.9020912829878142
229,0.9021519121218518
280,0.9021595547427068
305,0.902200840742416
228,0.9022081464888684
231,0.902223049567558
148,0.9022754364386844
240,0.9023248175590576
274,0.9024097490380504
265,0.9025147051143222
230,0.9026521886224664
271,0.902766594515041
277,0.9027828190376972
258,0.90285272502664
261,0.902869793512505
251,0.902895548581396
283,0.9029149588859502
263,0.9029866211849484
266,0.9030337461831984
141,0.9031256665789944
260,0.9031318156044552
290,0.9031406268776468
255,0.9034954095697456
276,0.9035658519739674
302,0.903600729495996
300,0.9037063155238396
275,0.9037870708625646
293,0.9040818903466664
270,0.9042305580186872
294,0.9042458072176708
256,0.9043168668544586
269,0.9046407579294132
