Model,Accuracy,Precision,Recall,F1 Score,ROC AUC Score,Overall MCC
1,0.5118332744613211,0.5756945229457205,0.5118332744613211,0.458559621685699,0.5551452942238221,0.1356350758617752
2,0.5432709290003532,0.6732582784571274,0.5432709290003532,0.5876922558690671,0.6755725134253656,0.3072237777308142
3,0.6686683150830095,0.7199541024515913,0.6686683150830095,0.6844827262474411,0.8203177662452252,0.4506989504659726
4,0.6866831508300953,0.7233503006909275,0.6866831508300953,0.6988388145834904,0.8230703389717816,0.4668531443304092
5,0.6884493111974568,0.7225297804237883,0.6884493111974568,0.6970835389803175,0.8283675241134447,0.4688027983377884
6,0.6838572942423172,0.7133203333157382,0.6838572942423172,0.6913625480250545,0.8259707763142741,0.4572719039396871
7,0.7022253620628753,0.7247908359345975,0.7022253620628753,0.7083547271384429,0.8317327700067328,0.4820004192070046
8,0.7036382903567644,0.7255388033999848,0.7036382903567644,0.7093317579508233,0.8330298454418289,0.4843863118369272
9,0.7022253620628753,0.7213812108231827,0.7022253620628753,0.707540456695749,0.8365088764541744,0.4792812478814935
10,0.7167078770752384,0.7291503200881783,0.7167078770752384,0.7191507049601555,0.834484225623191,0.4992142802014874
11,0.7184740374425997,0.7317324845028952,0.7184740374425997,0.7213064644426509,0.8363537857614564,0.5029692592347925
12,0.7220063581773225,0.7329407043133539,0.7220063581773225,0.7248109293947883,0.8365820172211933,0.5064644390490526
13,0.7258919109855175,0.7361162927643847,0.7258919109855175,0.7282099252128681,0.8380197892509466,0.5130553473882995
14,0.7294242317202402,0.7396575435245456,0.7294242317202402,0.7319057365289211,0.837668211847488,0.5190191649381938
15,0.7273048392794066,0.7341025804775803,0.7273048392794066,0.7287021397274832,0.8389696830008208,0.5118354372443544
16,0.730483927940657,0.7367536863081208,0.730483927940657,0.7318447717324194,0.8403259389933709,0.5169475057680157
17,0.734369480748852,0.7383139031841116,0.734369480748852,0.7349802145711515,0.8393149806321952,0.5218041094612056
18,0.7329565524549629,0.7377883947752334,0.7329565524549629,0.7340203121734912,0.840963964692672,0.5199598976258357
19,0.7350759448957965,0.7373501477658682,0.7350759448957965,0.734824640580712,0.8441213633299639,0.5216690079619729
20,0.734369480748852,0.7372624093612412,0.734369480748852,0.7343006751972163,0.8438934331477318,0.5210264339298935
21,0.7329565524549629,0.736119779852429,0.7329565524549629,0.732830094230188,0.8397652762239273,0.5189292732554871
22,0.7403744259978806,0.7444932865608679,0.7403744259978806,0.7405625577915466,0.8489430830693824,0.5333559959993915
23,0.7400211939244083,0.7456088637935796,0.7400211939244083,0.7403446548604206,0.8505727890362268,0.5345230547654625
24,0.7347227128223243,0.7367641935130856,0.7347227128223243,0.7341327716677323,0.8468549482404025,0.5210448010823489
25,0.7354291769692688,0.739175073293555,0.7354291769692688,0.7354050271294148,0.8442775870216543,0.5239831177151171
26,0.7308371600141292,0.7347696271998131,0.7308371600141292,0.7307868887016375,0.8443426660182052,0.515926943417554
27,0.7361356411162133,0.7369668636944816,0.7361356411162133,0.7348511935731296,0.84255413608425,0.5226050871935517
28,0.7333097845284352,0.7343374814407704,0.7333097845284352,0.7319787913520054,0.8425647498524045,0.517755144447966
29,0.7375485694101024,0.7384475808104614,0.7375485694101024,0.7360994255729209,0.841297652445684,0.5252930514284496
30,0.7389614977039916,0.7393434605914173,0.7389614977039916,0.737412750827293,0.8428002333611216,0.5273086304508005
31,0.8092546803249735,0.8125258143295139,0.8092546803249735,0.8077907466653551,0.8723595941717458,0.6576024399054188
32,0.8050158954433062,0.8074768574726962,0.8050158954433062,0.8037270467344854,0.8765030416927978,0.64909749419085
33,0.8247968915577535,0.8283417441321117,0.8247968915577535,0.82555815217082,0.8855745061346699,0.6841780927497464
34,0.8293889085128929,0.8321056634620223,0.8293889085128929,0.8298641337981864,0.8878626947267123,0.692017930317818
35,0.8276227481455316,0.8293088570844892,0.8276227481455316,0.8276268119346982,0.8856726676012258,0.6882875024923374
36,0.8325679971741434,0.8335572119158722,0.8325679971741434,0.8322949800726165,0.8897153594914075,0.6968625284197345
37,0.8258565877781703,0.8303411672219003,0.8258565877781703,0.827011550943382,0.8853824511976888,0.6865172960738899
38,0.8244436594842812,0.814479284463748,0.8244436594842812,0.8187824686781795,0.8801274494900014,0.6774439374451912
39,0.8265630519251148,0.816239548505295,0.8265630519251148,0.8206407505414541,0.8794314883710062,0.6811381534587564
40,0.8258565877781703,0.8150322857351507,0.8258565877781703,0.819743067385305,0.8786276408776056,0.6795542757018102
41,0.8279759802190039,0.8147976662372365,0.8279759802190039,0.8205226108717465,0.8777472028980915,0.6828329627987293
42,0.8251501236312258,0.8132114120252327,0.8251501236312258,0.818442671327827,0.8775051670619818,0.6781831428023948
43,0.8551748498763688,0.8440173603047685,0.8551748498763688,0.8488045452038194,0.8996262288944413,0.7333636244710982
44,0.8548216178028964,0.8439579392939133,0.8548216178028964,0.8486787498624487,0.8970086920454525,0.7327733946309508
45,0.8569410102437302,0.847390886793899,0.8569410102437302,0.8514548696240288,0.8998953601504289,0.7368346349556931
46,0.8551748498763688,0.8453678859991809,0.8551748498763688,0.8495112499486904,0.8990104848971603,0.7336068851959384
47,0.8544683857294242,0.8450567085996206,0.8544683857294242,0.8492403361888708,0.8984773612138591,0.7324155988378086
48,0.8498763687742847,0.8404631932241138,0.8498763687742847,0.8447138817996686,0.8920235576764188,0.7240980162245189
49,0.8495231367008125,0.8400947591975363,0.8495231367008125,0.8442843428830837,0.8929130547588304,0.723466643128406
50,0.8512892970681738,0.8418586866259233,0.8512892970681738,0.846022507264337,0.8929704973178602,0.7266390109578941
51,0.8541151536559519,0.8423125803983282,0.8541151536559519,0.8473510961751093,0.8930997624784375,0.7312616429412103
