Model,Recall
1,0.5118332744613211
2,0.5432709290003532
3,0.6686683150830095
6,0.6838572942423172
4,0.6866831508300953
5,0.6884493111974568
7,0.7022253620628753
9,0.7022253620628753
8,0.7036382903567644
10,0.7167078770752384
11,0.7184740374425997
12,0.7220063581773225
13,0.7258919109855175
15,0.7273048392794066
14,0.7294242317202402
16,0.730483927940657
26,0.7308371600141292
18,0.7329565524549629
21,0.7329565524549629
28,0.7333097845284352
17,0.734369480748852
20,0.734369480748852
24,0.7347227128223243
19,0.7350759448957965
25,0.7354291769692688
27,0.7361356411162133
29,0.7375485694101024
30,0.7389614977039916
23,0.7400211939244083
22,0.7403744259978806
32,0.8050158954433062
31,0.8092546803249735
38,0.8244436594842812
33,0.8247968915577535
42,0.8251501236312258
37,0.8258565877781703
40,0.8258565877781703
39,0.8265630519251148
35,0.8276227481455316
41,0.8279759802190039
34,0.8293889085128929
36,0.8325679971741434
49,0.8495231367008125
48,0.8498763687742847
50,0.8512892970681738
52,0.8523489932885906
51,0.8541151536559519
47,0.8544683857294242
44,0.8548216178028964
43,0.8551748498763688
46,0.8551748498763688
45,0.8569410102437302
57,0.859413634758036
54,0.8597668668315083
55,0.8611797951253974
56,0.8615330271988697
58,0.8625927234192865
53,0.8629459554927588
59,0.8661250441540091
62,0.8675379724478983
61,0.8678912045213706
60,0.8682444365948428
63,0.8685976686683151
69,0.8703638290356764
65,0.8707170611091487
66,0.8707170611091487
64,0.8728364535499823
68,0.8735429176969269
67,0.8746026139173437
70,0.8746026139173437
71,0.8767220063581773
72,0.8781349346520664
75,0.8859060402684564
73,0.8859060402684564
87,0.886612504415401
88,0.8873189685623455
77,0.8873189685623455
85,0.8873189685623455
76,0.8883786647827623
89,0.8883786647827623
92,0.8887318968562345
91,0.8887318968562345
84,0.8887318968562345
100,0.8890851289297068
94,0.8890851289297068
90,0.8890851289297068
74,0.8890851289297068
81,0.8890851289297068
86,0.8890851289297068
93,0.8894383610031791
98,0.8894383610031791
82,0.8897915930766513
80,0.8897915930766513
78,0.8897915930766513
99,0.8897915930766513
101,0.8897915930766513
103,0.8901448251501236
79,0.8904980572235959
95,0.8908512892970681
96,0.8908512892970681
102,0.8908512892970681
97,0.8912045213705404
104,0.8919109855174849
499,0.8919109855174849
437,0.8922642175909573
415,0.8922642175909573
388,0.8922642175909573
384,0.8922642175909573
106,0.8926174496644296
410,0.8926174496644296
435,0.8926174496644296
424,0.8929706817379018
426,0.8929706817379018
438,0.8929706817379018
436,0.8929706817379018
406,0.8929706817379018
396,0.8929706817379018
391,0.8933239138113741
348,0.8933239138113741
467,0.8936771458848464
83,0.8936771458848464
433,0.8936771458848464
376,0.8936771458848464
432,0.8936771458848464
418,0.8940303779583186
439,0.8940303779583186
458,0.8940303779583186
346,0.8943836100317909
407,0.8943836100317909
186,0.8943836100317909
431,0.8943836100317909
179,0.8943836100317909
423,0.8943836100317909
312,0.8943836100317909
392,0.8947368421052632
402,0.8947368421052632
401,0.8947368421052632
399,0.8947368421052632
420,0.8947368421052632
383,0.8947368421052632
400,0.8947368421052632
192,0.8947368421052632
486,0.8947368421052632
429,0.8947368421052632
476,0.8947368421052632
362,0.8947368421052632
340,0.8950900741787354
395,0.8950900741787354
377,0.8950900741787354
200,0.8950900741787354
380,0.8950900741787354
182,0.8950900741787354
405,0.8950900741787354
422,0.8950900741787354
421,0.8950900741787354
494,0.8950900741787354
397,0.8950900741787354
448,0.8950900741787354
454,0.8954433062522077
425,0.8954433062522077
350,0.8954433062522077
430,0.8954433062522077
168,0.8954433062522077
118,0.8954433062522077
479,0.8954433062522077
471,0.8954433062522077
409,0.8954433062522077
339,0.8954433062522077
434,0.8954433062522077
390,0.8954433062522077
481,0.8954433062522077
183,0.8954433062522077
444,0.8954433062522077
413,0.8954433062522077
313,0.89579653832568
196,0.89579653832568
461,0.89579653832568
347,0.89579653832568
326,0.89579653832568
445,0.89579653832568
356,0.89579653832568
105,0.89579653832568
175,0.89579653832568
414,0.89579653832568
169,0.89579653832568
412,0.89579653832568
417,0.89579653832568
386,0.89579653832568
488,0.8961497703991522
465,0.8961497703991522
483,0.8961497703991522
393,0.8961497703991522
457,0.8961497703991522
475,0.8961497703991522
108,0.8961497703991522
452,0.8961497703991522
495,0.8961497703991522
447,0.8961497703991522
403,0.8961497703991522
427,0.8961497703991522
372,0.8961497703991522
411,0.8961497703991522
352,0.8961497703991522
382,0.8961497703991522
167,0.8961497703991522
374,0.8961497703991522
359,0.8961497703991522
203,0.8965030024726245
193,0.8965030024726245
474,0.8965030024726245
449,0.8965030024726245
166,0.8965030024726245
464,0.8965030024726245
165,0.8965030024726245
493,0.8965030024726245
314,0.8965030024726245
318,0.8965030024726245
319,0.8965030024726245
389,0.8965030024726245
484,0.8965030024726245
176,0.8965030024726245
473,0.8968562345460968
185,0.8968562345460968
120,0.8968562345460968
440,0.8968562345460968
358,0.8968562345460968
487,0.8968562345460968
480,0.8968562345460968
378,0.8968562345460968
490,0.8968562345460968
442,0.8968562345460968
387,0.8968562345460968
455,0.8968562345460968
451,0.8968562345460968
404,0.8968562345460968
199,0.8968562345460968
328,0.8968562345460968
337,0.8968562345460968
498,0.8968562345460968
428,0.897209466619569
450,0.897209466619569
367,0.897209466619569
385,0.897209466619569
478,0.897209466619569
355,0.897209466619569
443,0.897209466619569
171,0.897209466619569
178,0.897209466619569
156,0.897209466619569
125,0.897209466619569
197,0.897209466619569
117,0.897209466619569
195,0.897209466619569
114,0.897209466619569
496,0.897209466619569
419,0.8975626986930413
157,0.8975626986930413
463,0.8975626986930413
462,0.8975626986930413
121,0.8975626986930413
181,0.8975626986930413
124,0.8975626986930413
416,0.8975626986930413
370,0.8975626986930413
180,0.8975626986930413
381,0.8975626986930413
309,0.8975626986930413
363,0.8975626986930413
466,0.8975626986930413
468,0.8975626986930413
398,0.8975626986930413
472,0.8975626986930413
408,0.8975626986930413
492,0.8975626986930413
327,0.8975626986930413
110,0.8975626986930413
172,0.8975626986930413
342,0.8975626986930413
201,0.8979159307665135
216,0.8979159307665135
334,0.8979159307665135
198,0.8979159307665135
341,0.8979159307665135
365,0.8979159307665135
353,0.8979159307665135
315,0.8979159307665135
187,0.8979159307665135
214,0.8979159307665135
379,0.8979159307665135
460,0.8979159307665135
116,0.8979159307665135
489,0.8979159307665135
469,0.8979159307665135
485,0.8979159307665135
163,0.8979159307665135
115,0.8979159307665135
459,0.8979159307665135
155,0.8979159307665135
159,0.8979159307665135
482,0.8979159307665135
170,0.8979159307665135
329,0.8982691628399859
191,0.8982691628399859
477,0.8982691628399859
344,0.8982691628399859
209,0.8982691628399859
357,0.8982691628399859
107,0.8982691628399859
335,0.8982691628399859
349,0.8982691628399859
491,0.8982691628399859
338,0.8982691628399859
173,0.8982691628399859
285,0.8982691628399859
375,0.8982691628399859
160,0.8986223949134582
336,0.8986223949134582
289,0.8986223949134582
154,0.8986223949134582
394,0.8986223949134582
177,0.8986223949134582
497,0.8986223949134582
351,0.8986223949134582
446,0.8986223949134582
282,0.8986223949134582
321,0.8986223949134582
456,0.8986223949134582
208,0.8986223949134582
145,0.8986223949134582
453,0.8986223949134582
184,0.8986223949134582
164,0.8986223949134582
202,0.8986223949134582
364,0.8989756269869305
373,0.8989756269869305
190,0.8989756269869305
162,0.8989756269869305
366,0.8989756269869305
151,0.8989756269869305
207,0.8989756269869305
333,0.8989756269869305
317,0.8989756269869305
245,0.8989756269869305
470,0.8989756269869305
281,0.8989756269869305
308,0.8989756269869305
129,0.8989756269869305
217,0.8989756269869305
131,0.8989756269869305
144,0.8993288590604027
213,0.8993288590604027
130,0.8993288590604027
222,0.8993288590604027
109,0.8993288590604027
441,0.8993288590604027
210,0.8993288590604027
188,0.8993288590604027
149,0.8993288590604027
332,0.8993288590604027
325,0.8993288590604027
143,0.8993288590604027
322,0.8993288590604027
330,0.8993288590604027
371,0.899682091133875
122,0.899682091133875
343,0.899682091133875
174,0.899682091133875
204,0.899682091133875
215,0.899682091133875
205,0.9000353232073472
123,0.9000353232073472
128,0.9000353232073472
194,0.9000353232073472
244,0.9000353232073472
150,0.9000353232073472
368,0.9000353232073472
320,0.9000353232073472
136,0.9000353232073472
212,0.9000353232073472
138,0.9000353232073472
161,0.9000353232073472
111,0.9003885552808195
153,0.9003885552808195
158,0.9003885552808195
249,0.9003885552808195
331,0.9003885552808195
189,0.9003885552808195
284,0.9003885552808195
127,0.9003885552808195
218,0.9003885552808195
297,0.9003885552808195
298,0.9003885552808195
301,0.9003885552808195
307,0.9003885552808195
354,0.9003885552808195
360,0.9003885552808195
223,0.9003885552808195
206,0.9003885552808195
140,0.9007417873542918
119,0.9007417873542918
133,0.9007417873542918
247,0.9007417873542918
241,0.9007417873542918
239,0.9007417873542918
246,0.9007417873542918
316,0.9007417873542918
211,0.9007417873542918
221,0.9007417873542918
292,0.9007417873542918
219,0.9007417873542918
147,0.901095019427764
259,0.901095019427764
226,0.901095019427764
224,0.901095019427764
279,0.901095019427764
152,0.901095019427764
287,0.901095019427764
345,0.901095019427764
304,0.901095019427764
146,0.901095019427764
311,0.901095019427764
139,0.901095019427764
323,0.901095019427764
232,0.9014482515012364
369,0.9014482515012364
257,0.9014482515012364
236,0.9014482515012364
264,0.9014482515012364
303,0.9014482515012364
286,0.9014482515012364
126,0.9014482515012364
310,0.9014482515012364
306,0.9014482515012364
225,0.9018014835747086
278,0.9018014835747086
235,0.9018014835747086
361,0.9018014835747086
112,0.9018014835747086
135,0.9018014835747086
252,0.9018014835747086
248,0.9018014835747086
227,0.9018014835747086
132,0.9018014835747086
250,0.9021547156481808
113,0.9021547156481808
296,0.9021547156481808
220,0.9021547156481808
134,0.9021547156481808
137,0.9021547156481808
288,0.9021547156481808
142,0.9025079477216532
233,0.9025079477216532
238,0.9025079477216532
268,0.9025079477216532
291,0.9028611797951254
148,0.9028611797951254
295,0.9028611797951254
237,0.9028611797951254
234,0.9028611797951254
243,0.9028611797951254
242,0.9028611797951254
267,0.9032144118685976
254,0.9032144118685976
231,0.9032144118685976
253,0.9032144118685976
228,0.9032144118685976
240,0.9032144118685976
229,0.9032144118685976
272,0.9032144118685976
273,0.9032144118685976
280,0.9032144118685976
299,0.9032144118685976
262,0.90356764394207
324,0.90356764394207
230,0.90356764394207
305,0.90356764394207
265,0.9039208760155422
258,0.9039208760155422
274,0.9039208760155422
277,0.9039208760155422
141,0.9039208760155422
251,0.9039208760155422
261,0.9042741080890144
260,0.9042741080890144
271,0.9042741080890144
283,0.9042741080890144
263,0.9046273401624868
266,0.9046273401624868
276,0.9046273401624868
290,0.9046273401624868
255,0.9046273401624868
302,0.9046273401624868
275,0.9049805722359592
300,0.9049805722359592
256,0.9053338043094312
270,0.9053338043094312
293,0.9053338043094312
294,0.9053338043094312
269,0.906040268456376
