Model,GOF Recall,LOF Recall,Neutral Recall
227,0.62,0.92,0.91
228,0.64,0.92,0.92
229,0.63,0.92,0.92
230,0.65,0.92,0.91
231,0.64,0.92,0.92
232,0.62,0.92,0.92
233,0.64,0.92,0.92
234,0.67,0.92,0.91
235,0.63,0.92,0.92
236,0.64,0.92,0.91
237,0.64,0.92,0.91
238,0.63,0.92,0.91
239,0.61,0.92,0.91
240,0.65,0.92,0.91
241,0.61,0.92,0.91
242,0.62,0.92,0.91
243,0.63,0.92,0.92
244,0.62,0.92,0.91
245,0.63,0.92,0.91
246,0.66,0.92,0.91
247,0.64,0.92,0.91
248,0.64,0.92,0.91
249,0.63,0.92,0.91
250,0.64,0.92,0.91
251,0.64,0.92,0.92
252,0.62,0.92,0.92
253,0.63,0.92,0.92
254,0.64,0.92,0.92
255,0.64,0.92,0.92
256,0.65,0.92,0.92
257,0.62,0.92,0.91
258,0.64,0.92,0.92
259,0.64,0.92,0.91
260,0.64,0.92,0.92
261,0.61,0.92,0.92
262,0.6,0.92,0.92
263,0.59,0.93,0.92
264,0.58,0.92,0.92
265,0.61,0.92,0.92
266,0.6,0.93,0.92
267,0.61,0.92,0.92
268,0.62,0.92,0.92
269,0.62,0.92,0.92
270,0.64,0.92,0.92
271,0.61,0.92,0.92
272,0.57,0.93,0.92
273,0.59,0.92,0.92
274,0.61,0.92,0.92
275,0.63,0.92,0.92
276,0.64,0.92,0.92
277,0.64,0.92,0.92
278,0.57,0.92,0.92
279,0.6,0.92,0.92
280,0.64,0.92,0.92
281,0.56,0.92,0.92
282,0.56,0.92,0.92
283,0.61,0.92,0.92
284,0.58,0.92,0.92
285,0.56,0.92,0.92
286,0.58,0.92,0.92
287,0.59,0.92,0.92
288,0.62,0.92,0.92
289,0.57,0.92,0.92
290,0.6,0.92,0.92
291,0.57,0.93,0.92
292,0.61,0.92,0.92
293,0.62,0.92,0.92
294,0.64,0.92,0.92
295,0.6,0.92,0.92
296,0.62,0.92,0.92
297,0.58,0.92,0.92
298,0.59,0.92,0.92
299,0.63,0.92,0.92
300,0.62,0.92,0.92
301,0.55,0.92,0.92
302,0.64,0.92,0.92
303,0.6,0.92,0.92
304,0.62,0.92,0.91
305,0.61,0.92,0.92
306,0.61,0.92,0.92
307,0.57,0.92,0.92
308,0.56,0.92,0.92
309,0.57,0.92,0.92
310,0.6,0.92,0.92
311,0.61,0.92,0.92
312,0.54,0.91,0.92
313,0.53,0.92,0.92
314,0.54,0.92,0.92
315,0.56,0.92,0.92
316,0.59,0.92,0.92
317,0.58,0.92,0.92
318,0.58,0.91,0.92
319,0.59,0.91,0.92
320,0.56,0.92,0.92
321,0.59,0.91,0.92
322,0.59,0.91,0.92
323,0.6,0.92,0.92
324,0.6,0.92,0.92
325,0.6,0.91,0.92
326,0.52,0.92,0.92
327,0.55,0.92,0.92
328,0.55,0.92,0.92
329,0.55,0.92,0.92
330,0.61,0.91,0.92
331,0.59,0.92,0.92
332,0.55,0.92,0.92
333,0.61,0.91,0.92
334,0.56,0.92,0.92
335,0.57,0.92,0.92
336,0.56,0.92,0.92
337,0.53,0.92,0.92
338,0.53,0.92,0.92
339,0.51,0.92,0.92
340,0.51,0.92,0.92
341,0.58,0.92,0.92
342,0.57,0.91,0.92
343,0.58,0.92,0.92
344,0.58,0.92,0.91
345,0.61,0.92,0.92
346,0.48,0.92,0.92
347,0.51,0.92,0.92
348,0.48,0.92,0.92
349,0.51,0.92,0.92
350,0.51,0.92,0.92
351,0.53,0.92,0.92
352,0.53,0.92,0.92
353,0.57,0.92,0.92
354,0.57,0.92,0.92
355,0.51,0.92,0.92
356,0.48,0.92,0.92
357,0.56,0.92,0.92
358,0.54,0.92,0.91
359,0.51,0.92,0.92
360,0.54,0.92,0.92
361,0.57,0.92,0.92
362,0.5,0.92,0.92
363,0.53,0.92,0.92
364,0.51,0.92,0.92
365,0.53,0.92,0.92
366,0.55,0.92,0.92
367,0.5,0.92,0.92
368,0.58,0.92,0.92
369,0.57,0.92,0.92
370,0.51,0.92,0.92
371,0.57,0.92,0.92
372,0.51,0.92,0.92
373,0.53,0.92,0.92
374,0.51,0.92,0.92
375,0.55,0.92,0.92
376,0.53,0.91,0.91
377,0.49,0.92,0.92
378,0.53,0.92,0.92
379,0.54,0.92,0.92
380,0.51,0.92,0.92
381,0.53,0.92,0.92
382,0.55,0.91,0.92
383,0.48,0.92,0.92
384,0.49,0.92,0.91
385,0.5,0.92,0.92
386,0.51,0.92,0.92
387,0.5,0.92,0.92
388,0.47,0.92,0.91
389,0.51,0.92,0.91
390,0.51,0.92,0.91
391,0.47,0.92,0.92
392,0.49,0.92,0.91
393,0.47,0.92,0.92
394,0.5,0.92,0.92
395,0.49,0.92,0.91
396,0.47,0.92,0.92
397,0.49,0.92,0.92
398,0.47,0.92,0.92
399,0.47,0.92,0.92
400,0.47,0.92,0.92
401,0.47,0.92,0.92
402,0.45,0.92,0.92
403,0.46,0.92,0.92
404,0.51,0.92,0.92
405,0.45,0.92,0.92
406,0.46,0.92,0.92
407,0.47,0.92,0.92
408,0.5,0.92,0.92
409,0.46,0.92,0.92
410,0.46,0.92,0.91
411,0.46,0.92,0.92
412,0.45,0.93,0.92
413,0.48,0.92,0.92
414,0.45,0.93,0.92
415,0.45,0.92,0.91
416,0.48,0.93,0.92
417,0.46,0.92,0.92
418,0.46,0.92,0.92
419,0.51,0.92,0.92
420,0.47,0.92,0.92
421,0.47,0.92,0.92
422,0.47,0.92,0.91
423,0.49,0.92,0.91
424,0.43,0.92,0.92
425,0.47,0.92,0.92
426,0.44,0.92,0.91
427,0.45,0.92,0.92
428,0.46,0.93,0.92
429,0.42,0.92,0.92
430,0.46,0.92,0.92
431,0.45,0.93,0.91
432,0.44,0.92,0.92
433,0.45,0.92,0.92
434,0.44,0.93,0.92
435,0.43,0.92,0.92
436,0.45,0.92,0.91
