Model,GOF F1,LOF F1,Neutral F1
1,0.01,0.64,0.33
2,0.11,0.49,0.74
3,0.39,0.65,0.75
4,0.41,0.68,0.75
5,0.37,0.66,0.77
6,0.37,0.65,0.77
7,0.37,0.68,0.78
8,0.39,0.68,0.78
9,0.39,0.68,0.77
10,0.41,0.69,0.78
11,0.42,0.7,0.78
12,0.4,0.7,0.78
13,0.41,0.71,0.79
14,0.4,0.71,0.79
15,0.36,0.71,0.79
16,0.37,0.71,0.79
17,0.4,0.72,0.79
18,0.39,0.72,0.79
19,0.4,0.72,0.79
20,0.37,0.72,0.79
21,0.38,0.71,0.79
22,0.44,0.72,0.79
23,0.46,0.72,0.79
24,0.38,0.72,0.79
25,0.39,0.72,0.79
26,0.38,0.71,0.79
27,0.35,0.72,0.8
28,0.35,0.71,0.79
29,0.38,0.72,0.79
30,0.4,0.72,0.79
31,0.41,0.8,0.86
32,0.37,0.79,0.86
33,0.38,0.82,0.88
34,0.39,0.82,0.89
35,0.38,0.82,0.88
36,0.4,0.83,0.89
37,0.35,0.82,0.89
38,0.19,0.82,0.89
39,0.2,0.83,0.89
40,0.2,0.82,0.89
41,0.17,0.83,0.89
42,0.17,0.82,0.89
43,0.17,0.86,0.92
44,0.17,0.86,0.92
45,0.2,0.86,0.92
46,0.19,0.86,0.91
47,0.18,0.86,0.92
48,0.15,0.85,0.91
49,0.15,0.85,0.91
50,0.16,0.86,0.91
51,0.16,0.86,0.92
52,0.17,0.86,0.91
53,0.21,0.87,0.92
54,0.21,0.86,0.92
55,0.22,0.86,0.92
56,0.23,0.86,0.91
57,0.17,0.86,0.91
58,0.17,0.87,0.92
59,0.19,0.87,0.92
60,0.22,0.87,0.92
61,0.24,0.87,0.92
62,0.24,0.87,0.92
63,0.24,0.87,0.92
64,0.35,0.88,0.91
65,0.3,0.87,0.92
66,0.29,0.87,0.92
67,0.27,0.88,0.92
68,0.29,0.88,0.92
69,0.2,0.87,0.92
70,0.31,0.88,0.92
71,0.32,0.88,0.92
72,0.34,0.88,0.92
73,0.51,0.89,0.92
74,0.54,0.89,0.92
75,0.51,0.89,0.92
76,0.56,0.89,0.92
77,0.56,0.89,0.92
78,0.58,0.89,0.92
79,0.61,0.89,0.92
80,0.57,0.89,0.92
81,0.54,0.89,0.92
82,0.57,0.89,0.92
83,0.62,0.89,0.92
84,0.56,0.89,0.92
85,0.52,0.89,0.92
86,0.53,0.89,0.92
87,0.54,0.89,0.92
88,0.52,0.89,0.92
89,0.52,0.89,0.92
90,0.55,0.89,0.92
91,0.55,0.89,0.92
92,0.55,0.89,0.92
93,0.57,0.89,0.92
94,0.54,0.89,0.92
95,0.58,0.89,0.92
96,0.55,0.89,0.92
97,0.57,0.89,0.92
98,0.56,0.89,0.92
99,0.56,0.89,0.92
100,0.54,0.89,0.92
101,0.56,0.89,0.92
102,0.58,0.89,0.92
103,0.57,0.89,0.92
104,0.57,0.89,0.92
105,0.62,0.9,0.92
106,0.61,0.89,0.92
107,0.66,0.9,0.92
108,0.64,0.9,0.92
109,0.68,0.9,0.92
110,0.67,0.9,0.92
111,0.68,0.9,0.92
112,0.7,0.9,0.92
113,0.71,0.9,0.92
114,0.66,0.9,0.92
115,0.68,0.9,0.92
116,0.68,0.9,0.92
117,0.64,0.9,0.92
118,0.63,0.9,0.92
119,0.69,0.9,0.92
120,0.68,0.9,0.92
121,0.67,0.9,0.92
122,0.69,0.9,0.92
123,0.69,0.9,0.92
124,0.69,0.9,0.92
125,0.68,0.9,0.92
126,0.7,0.9,0.92
127,0.7,0.9,0.92
128,0.7,0.9,0.92
129,0.69,0.9,0.92
130,0.69,0.9,0.92
131,0.7,0.9,0.92
132,0.72,0.9,0.92
133,0.71,0.9,0.92
134,0.72,0.9,0.92
135,0.71,0.9,0.92
136,0.7,0.9,0.92
137,0.71,0.9,0.92
138,0.71,0.9,0.92
139,0.71,0.9,0.92
140,0.72,0.9,0.92
141,0.73,0.9,0.92
142,0.72,0.9,0.92
143,0.7,0.9,0.92
144,0.69,0.9,0.92
145,0.7,0.9,0.92
146,0.7,0.9,0.92
147,0.71,0.9,0.92
148,0.73,0.9,0.92
149,0.68,0.9,0.92
150,0.69,0.9,0.92
151,0.67,0.9,0.92
152,0.67,0.9,0.92
153,0.67,0.9,0.92
154,0.66,0.9,0.92
155,0.65,0.9,0.92
156,0.65,0.9,0.92
157,0.64,0.9,0.92
158,0.7,0.9,0.92
159,0.65,0.9,0.92
160,0.65,0.9,0.92
161,0.66,0.9,0.92
162,0.67,0.9,0.92
163,0.66,0.9,0.92
164,0.69,0.9,0.92
165,0.65,0.9,0.92
166,0.65,0.9,0.92
167,0.64,0.9,0.92
168,0.64,0.9,0.92
169,0.64,0.9,0.92
170,0.67,0.9,0.92
171,0.66,0.9,0.92
172,0.68,0.9,0.92
173,0.66,0.9,0.92
174,0.68,0.9,0.92
175,0.65,0.9,0.92
176,0.64,0.9,0.92
177,0.65,0.9,0.92
178,0.65,0.9,0.92
179,0.62,0.9,0.92
180,0.66,0.9,0.92
181,0.65,0.9,0.92
182,0.63,0.9,0.92
183,0.65,0.9,0.92
184,0.66,0.9,0.92
185,0.64,0.9,0.92
186,0.63,0.89,0.92
187,0.64,0.9,0.92
188,0.65,0.9,0.92
189,0.68,0.9,0.92
190,0.66,0.9,0.92
191,0.66,0.9,0.92
192,0.61,0.89,0.92
193,0.63,0.9,0.92
194,0.67,0.9,0.92
195,0.67,0.9,0.92
196,0.63,0.9,0.92
197,0.64,0.9,0.92
198,0.66,0.9,0.92
199,0.66,0.9,0.92
200,0.63,0.89,0.92
201,0.67,0.9,0.92
202,0.67,0.9,0.92
203,0.65,0.9,0.92
204,0.69,0.9,0.92
205,0.69,0.9,0.92
206,0.69,0.9,0.92
207,0.67,0.9,0.92
208,0.68,0.9,0.92
209,0.68,0.9,0.92
210,0.68,0.9,0.92
211,0.69,0.9,0.92
212,0.68,0.9,0.92
213,0.7,0.9,0.92
214,0.67,0.9,0.92
215,0.68,0.9,0.92
216,0.66,0.9,0.92
217,0.69,0.9,0.92
218,0.69,0.9,0.92
219,0.7,0.9,0.92
220,0.72,0.9,0.92
221,0.7,0.9,0.92
222,0.7,0.9,0.92
223,0.7,0.9,0.92
224,0.71,0.9,0.92
225,0.7,0.9,0.92
226,0.71,0.9,0.92
227,0.7,0.9,0.92
228,0.72,0.9,0.92
229,0.71,0.9,0.92
230,0.73,0.9,0.92
231,0.72,0.9,0.92
232,0.71,0.9,0.92
233,0.72,0.9,0.92
234,0.74,0.9,0.92
235,0.71,0.9,0.92
236,0.72,0.9,0.92
237,0.72,0.9,0.92
238,0.72,0.9,0.92
239,0.7,0.9,0.92
240,0.73,0.9,0.92
241,0.7,0.9,0.92
242,0.71,0.9,0.92
243,0.71,0.9,0.92
244,0.7,0.9,0.92
245,0.7,0.9,0.92
246,0.72,0.9,0.92
247,0.72,0.9,0.92
248,0.72,0.9,0.92
249,0.71,0.9,0.92
250,0.73,0.9,0.92
251,0.73,0.9,0.92
252,0.71,0.9,0.92
253,0.73,0.9,0.92
254,0.73,0.9,0.92
255,0.73,0.9,0.92
256,0.74,0.9,0.92
257,0.71,0.9,0.92
258,0.74,0.9,0.92
259,0.72,0.9,0.92
260,0.73,0.9,0.92
261,0.71,0.9,0.92
262,0.7,0.9,0.92
263,0.7,0.9,0.92
264,0.69,0.9,0.92
265,0.71,0.9,0.92
266,0.71,0.9,0.92
267,0.7,0.9,0.92
268,0.72,0.9,0.92
269,0.73,0.91,0.92
270,0.74,0.9,0.92
271,0.72,0.9,0.92
272,0.69,0.9,0.92
273,0.7,0.9,0.92
274,0.71,0.9,0.92
275,0.72,0.9,0.92
276,0.73,0.9,0.92
277,0.73,0.9,0.92
278,0.68,0.9,0.92
279,0.69,0.9,0.92
280,0.72,0.9,0.92
281,0.66,0.9,0.92
282,0.66,0.9,0.92
283,0.71,0.9,0.92
284,0.68,0.9,0.92
285,0.66,0.9,0.92
286,0.68,0.9,0.92
287,0.69,0.9,0.92
288,0.71,0.9,0.92
289,0.66,0.9,0.92
290,0.69,0.9,0.93
291,0.68,0.9,0.92
292,0.7,0.9,0.92
293,0.72,0.9,0.92
294,0.72,0.9,0.92
295,0.69,0.9,0.92
296,0.71,0.9,0.92
297,0.67,0.9,0.92
298,0.68,0.9,0.92
299,0.72,0.9,0.92
300,0.71,0.9,0.92
301,0.65,0.9,0.92
302,0.73,0.9,0.92
303,0.69,0.9,0.92
304,0.71,0.9,0.92
305,0.71,0.9,0.92
306,0.7,0.9,0.92
307,0.68,0.9,0.92
308,0.66,0.9,0.92
309,0.67,0.9,0.92
310,0.69,0.9,0.92
311,0.69,0.9,0.92
312,0.65,0.89,0.92
313,0.64,0.9,0.92
314,0.65,0.9,0.92
315,0.66,0.9,0.92
316,0.69,0.9,0.92
317,0.67,0.9,0.92
318,0.67,0.9,0.92
319,0.68,0.9,0.92
320,0.67,0.9,0.92
321,0.68,0.9,0.92
322,0.67,0.9,0.92
323,0.68,0.9,0.92
324,0.71,0.9,0.92
325,0.69,0.9,0.92
326,0.62,0.9,0.92
327,0.65,0.9,0.92
328,0.65,0.9,0.92
329,0.65,0.9,0.92
330,0.69,0.9,0.92
331,0.68,0.9,0.92
332,0.65,0.9,0.92
333,0.68,0.9,0.92
334,0.66,0.9,0.92
335,0.66,0.9,0.92
336,0.65,0.9,0.92
337,0.64,0.9,0.92
338,0.63,0.9,0.92
339,0.62,0.9,0.92
340,0.62,0.89,0.92
341,0.67,0.9,0.92
342,0.67,0.9,0.92
343,0.68,0.9,0.92
344,0.67,0.9,0.92
345,0.69,0.9,0.92
346,0.6,0.89,0.92
347,0.63,0.9,0.92
348,0.61,0.89,0.92
349,0.63,0.9,0.92
350,0.63,0.89,0.92
351,0.64,0.9,0.92
352,0.64,0.9,0.92
353,0.67,0.9,0.92
354,0.67,0.9,0.92
355,0.62,0.9,0.92
356,0.61,0.89,0.92
357,0.67,0.9,0.92
358,0.65,0.9,0.92
359,0.62,0.9,0.92
360,0.66,0.9,0.92
361,0.68,0.9,0.92
362,0.62,0.89,0.92
363,0.65,0.9,0.92
364,0.64,0.9,0.92
365,0.64,0.9,0.92
366,0.66,0.9,0.92
367,0.62,0.9,0.92
368,0.69,0.9,0.92
369,0.68,0.9,0.92
370,0.64,0.9,0.92
371,0.68,0.9,0.92
372,0.63,0.9,0.92
373,0.64,0.9,0.92
374,0.63,0.9,0.92
375,0.66,0.9,0.92
376,0.63,0.89,0.92
377,0.62,0.89,0.92
378,0.65,0.9,0.92
379,0.65,0.9,0.92
380,0.62,0.89,0.92
381,0.65,0.9,0.92
382,0.65,0.9,0.92
383,0.6,0.89,0.92
384,0.61,0.89,0.92
385,0.62,0.9,0.92
386,0.62,0.9,0.92
387,0.62,0.9,0.92
388,0.59,0.89,0.92
389,0.62,0.9,0.92
390,0.63,0.9,0.92
391,0.59,0.89,0.92
392,0.62,0.89,0.92
393,0.59,0.9,0.92
394,0.62,0.9,0.92
395,0.61,0.9,0.92
396,0.6,0.89,0.92
397,0.6,0.89,0.92
398,0.6,0.9,0.92
399,0.59,0.89,0.92
400,0.59,0.89,0.92
401,0.59,0.89,0.92
402,0.58,0.89,0.92
403,0.59,0.9,0.92
404,0.62,0.9,0.92
405,0.57,0.9,0.92
406,0.58,0.89,0.92
407,0.58,0.89,0.92
408,0.62,0.9,0.92
409,0.59,0.9,0.92
410,0.58,0.89,0.92
411,0.59,0.9,0.92
412,0.58,0.9,0.92
413,0.6,0.9,0.92
414,0.58,0.9,0.92
415,0.57,0.89,0.92
416,0.61,0.9,0.92
417,0.59,0.9,0.92
418,0.58,0.89,0.92
419,0.63,0.9,0.92
420,0.59,0.89,0.92
421,0.59,0.9,0.92
422,0.59,0.89,0.92
