Model,Precision
1,0.5756945229457205
2,0.6732582784571274
6,0.7133203333157382
3,0.7199541024515913
9,0.7213812108231827
5,0.7225297804237883
4,0.7233503006909275
7,0.7247908359345975
8,0.7255388033999848
10,0.7291503200881783
11,0.7317324845028952
12,0.7329407043133539
15,0.7341025804775803
28,0.7343374814407704
26,0.7347696271998131
13,0.7361162927643847
21,0.736119779852429
16,0.7367536863081208
24,0.7367641935130856
27,0.7369668636944816
20,0.7372624093612412
19,0.7373501477658682
18,0.7377883947752334
17,0.7383139031841116
29,0.7384475808104614
25,0.739175073293555
30,0.7393434605914173
14,0.7396575435245456
22,0.7444932865608679
23,0.7456088637935796
32,0.8074768574726962
31,0.8125258143295139
42,0.8132114120252327
38,0.814479284463748
41,0.8147976662372365
40,0.8150322857351507
39,0.816239548505295
33,0.8283417441321117
35,0.8293088570844892
37,0.8303411672219003
34,0.8321056634620223
36,0.8335572119158722
49,0.8400947591975363
48,0.8404631932241138
52,0.8414562385198838
50,0.8418586866259233
51,0.8423125803983282
44,0.8439579392939133
57,0.843968482822237
43,0.8440173603047685
47,0.8450567085996206
46,0.8453678859991809
58,0.8466250339725373
45,0.847390886793899
54,0.8477667678473265
56,0.849019988935193
55,0.8490340033069727
53,0.8494871614469458
59,0.8508529155718164
62,0.8547768138634756
60,0.854968214161482
61,0.8557644161933272
69,0.8561860831672552
63,0.8565005486576746
66,0.8600013636295795
65,0.8604207586858644
67,0.8631830045483767
68,0.8634710088872517
64,0.8646484344046746
70,0.8649985711064697
71,0.8676139641268166
72,0.870280355484346
73,0.8821574976911747
75,0.8824431357283006
87,0.8840311235313747
77,0.8845837221044301
88,0.8846619650785491
85,0.8846760643563091
76,0.8855231498141837
89,0.8856491197580482
74,0.8861137837645984
100,0.8861810468045919
91,0.8862434045669461
81,0.886323668068741
92,0.8863239239046626
84,0.8866573273596942
90,0.8866607096174598
86,0.8869116105737914
98,0.8870798695127166
94,0.8871618801615494
101,0.8871630331412874
80,0.8872605467226375
99,0.8874489680999876
93,0.887479473283193
103,0.8876445430576362
