Model,ROC_AUC_Score
1,0.5551452942238221
2,0.6755725134253656
3,0.8203177662452252
4,0.8230703389717816
6,0.8259707763142741
5,0.8283675241134447
7,0.8317327700067328
8,0.8330298454418289
10,0.834484225623191
11,0.8363537857614564
9,0.8365088764541744
12,0.8365820172211933
14,0.837668211847488
13,0.8380197892509466
15,0.8389696830008208
17,0.8393149806321952
21,0.8397652762239273
16,0.8403259389933709
18,0.840963964692672
29,0.841297652445684
27,0.84255413608425
28,0.8425647498524045
30,0.8428002333611216
20,0.8438934331477318
19,0.8441213633299639
25,0.8442775870216543
26,0.8443426660182052
24,0.8468549482404025
22,0.8489430830693824
23,0.8505727890362268
31,0.8723595941717458
32,0.8765030416927978
42,0.8775051670619818
41,0.8777472028980915
40,0.8786276408776056
39,0.8794314883710062
38,0.8801274494900014
37,0.8853824511976888
33,0.8855745061346699
35,0.8856726676012258
34,0.8878626947267123
36,0.8897153594914075
48,0.8920235576764188
49,0.8929130547588304
50,0.8929704973178602
51,0.8930997624784375
58,0.895125437225159
52,0.8956936957932712
44,0.8970086920454525
57,0.897205692700172
47,0.8984773612138591
46,0.8990104848971603
43,0.8996262288944413
45,0.8998953601504289
53,0.9008789334253224
59,0.9009285177136994
56,0.9010105030838104
54,0.9012814756159064
55,0.9031662744070222
62,0.9040157217479678
60,0.9059926039000392
61,0.9063151193298474
63,0.908381484567454
69,0.9124814185724028
68,0.9143523518760898
70,0.9159469342636686
67,0.9163483361219532
66,0.916463424739828
64,0.9169092457800616
65,0.91719102702458
72,0.9235050616331884
71,0.9235169605668446
75,0.9321958799757356
73,0.932388842411894
95,0.9329422372434828
98,0.9335915073770332
99,0.933833264546729
96,0.9338503059757226
97,0.9340027780597034
101,0.9340762964930468
76,0.9341442984313918
74,0.934519823424249
77,0.9347310708993848
100,0.934991087441414
78,0.9351761213292056
80,0.9352536614811248
81,0.9354098607283928
94,0.9354411886999888
89,0.9355497922126328
88,0.9357472466169408
90,0.9359083142764616
103,0.9363352825560106
79,0.9363419124944438
102,0.9365727497295958
86,0.9366276115687432
85,0.9366442178870202
118,0.93678405037135
192,0.9368642347986492
104,0.9368878633883372
93,0.936892587272943
186,0.9370020854514426
87,0.9370134368300396
155,0.9370168877713552
159,0.9370961164217434
195,0.9372332398529736
92,0.9372921894106372
106,0.9373477002491962
187,0.9373997537297788
181,0.9374176962412888
117,0.9375336367472804
175,0.9375566756152808
183,0.9375792573725844
185,0.9375921004720512
84,0.9376139048967262
151,0.9376601140214964
179,0.9377571883223714
182,0.9378846959289868
82,0.9379077977413744
83,0.9379139864579856
198,0.9379305817762724
152,0.9379793881209104
196,0.9379804392310684
91,0.9379982861037762
150,0.9380023732111816
191,0.9380137814230604
161,0.938016664031558
153,0.9380310147407688
176,0.9380492056687202
154,0.9381068248387012
160,0.9381098730581596
163,0.9381671921728568
174,0.938183109769536
197,0.9381854338229844
156,0.9381875641543864
162,0.938225957175132
177,0.938228178562007
199,0.938253609927838
194,0.93829144989353
108,0.9383231958647468
157,0.9383895368045976
169,0.9384562034663754
200,0.9384572564098652
164,0.938478353779626
188,0.938504776977891
193,0.938540281279034
167,0.9385426371102312
165,0.9385604069830088
166,0.9385743201370608
114,0.938581103464244
120,0.9385835393509244
173,0.9386247722024288
180,0.938700598800346
105,0.9387051161295836
119,0.9388297289054902
109,0.9388622955981852
172,0.9388855746326348
190,0.9388860708544068
168,0.9390036375255908
116,0.9390066264673256
115,0.9390066264673256
121,0.9391222149736363
146,0.939158044996706
178,0.9391807367539098
171,0.9391837000290008
122,0.9391979260716582
131,0.9392180566645176
189,0.9392236678816522
124,0.939225463324469
130,0.9392650095108358
158,0.939305259085454
112,0.9394998366868148
111,0.9395047457379194
123,0.9395247314975768
145,0.9395584476892296
143,0.9396081535886074
170,0.9396111248081356
128,0.9396448966108494
149,0.9397336200859622
126,0.9397364745833742
148,0.939764622946742
201,0.9399648215430062
110,0.9399935498502926
107,0.94003491775723
203,0.9401417319381632
113,0.9401539767603944
129,0.9402232504198086
147,0.940223736863812
202,0.9402608966634536
144,0.9403565293545244
184,0.9407087649240532
142,0.9407928042367464
133,0.9408184916579008
125,0.9408205260449451
140,0.9408283806489348
127,0.9408410239152496
209,0.9408942168114658
134,0.9410651053231932
239,0.9410909919663896
132,0.9411564761292396
135,0.9412163863526988
205,0.9413130243206356
139,0.9413719317116708
214,0.9414310462691848
206,0.9416296293946916
424,0.9417074295741528
216,0.941788073556591
244,0.941891030407688
207,0.941906712115692
499,0.941939573974786
477,0.9420212079563268
312,0.9420922251141602
141,0.9421566795557216
467,0.9421678286567242
138,0.9421997958499628
281,0.9422217994966796
479,0.9422556006327
447,0.9422972209282976
137,0.9423129344140504
233,0.942360739759596
236,0.9424182165408168
478,0.9424368578572488
215,0.942576698286016
297,0.9426993506192556
348,0.9427032672268156
498,0.9427076892228062
238,0.9427462429656286
229,0.9427551181242484
210,0.9427712343318588
317,0.94277656749369
315,0.9427860598739723
313,0.9427865017069051
136,0.9427943275886984
240,0.9428039806910574
454,0.9428698370202366
208,0.9429927759643276
339,0.9430034208991206
494,0.94301326100131
314,0.943040861198508
484,0.9430616808185204
212,0.9430752765006382
241,0.9431141284654124
219,0.943121291903362
235,0.9431277892308044
436,0.9431506991544772
228,0.9431611503672236
285,0.9431625436992936
204,0.943199215832711
222,0.9432002046095924
232,0.9432606892769752
448,0.9432650275508196
213,0.9432692319914516
243,0.9432892366955364
245,0.9433206642781532
211,0.9433350339317914
480,0.9433396362053964
320,0.943351955583116
221,0.943375014006654
301,0.943387474550912
474,0.94339793859698
316,0.9434014610382307
429,0.943438679504486
275,0.9434606367068004
277,0.943464178703589
273,0.943467696867066
223,0.9434788264125308
237,0.943491505734368
323,0.9435139952139776
337,0.9435249145374108
234,0.9435399142460332
217,0.9435688594975672
465,0.943590193978224
296,0.9436003494134608
226,0.9436742607908926
325,0.9436883016670508
340,0.9436955903826648
311,0.94372409807904
443,0.943734972180292
274,0.943740824174986
309,0.9437550581620804
346,0.9437814825825668
425,0.9438028280632136
344,0.9438065271154154
225,0.9438079131141588
319,0.9438158257736514
227,0.9438262164864528
246,0.9438744942204584
218,0.9438858113768644
231,0.9439088771337292
466,0.9439106890765308
475,0.9439188244858212
326,0.9439189555690358
282,0.9439329200563747
362,0.94393464827703
342,0.9439390397174928
248,0.9439409243824508
262,0.9439428176029564
473,0.9439449302121522
283,0.9439936836957268
338,0.944017832646054
328,0.9440498426170316
437,0.944054845779162
308,0.9440696710157206
298,0.944089275136835
353,0.9441153720020627
284,0.94411677327857
355,0.9441412507008216
318,0.9441858654381488
490,0.944216897632235
