Model,micro_recall,macro_recall,confusion_matrix
70,0.8746,0.6803,"[[1223, 6, 110], [6, 33, 113], [97, 23, 1220]]"
71,0.8767,0.6837,"[[1225, 3, 111], [8, 34, 110], [92, 25, 1223]]"
72,0.8781,0.6886,"[[1223, 5, 111], [7, 36, 109], [93, 20, 1227]]"
73,0.8859,0.7485,"[[1224, 5, 110], [9, 64, 79], [91, 29, 1220]]"
74,0.8891,0.7547,"[[1225, 5, 109], [7, 66, 79], [92, 22, 1226]]"
75,0.8859,0.7427,"[[1223, 3, 113], [8, 61, 83], [92, 24, 1224]]"
76,0.8884,0.7658,"[[1225, 6, 108], [8, 72, 72], [96, 26, 1218]]"
77,0.8873,0.7651,"[[1220, 8, 111], [7, 72, 73], [94, 26, 1220]]"
78,0.8898,0.7707,"[[1220, 4, 115], [7, 74, 71], [91, 24, 1225]]"
79,0.8905,0.7848,"[[1218, 6, 115], [6, 81, 65], [93, 25, 1222]]"
80,0.8898,0.7688,"[[1223, 6, 110], [8, 73, 71], [93, 24, 1223]]"
81,0.8891,0.7566,"[[1220, 5, 114], [8, 67, 77], [86, 24, 1230]]"
82,0.8898,0.7688,"[[1215, 5, 119], [7, 73, 72], [85, 24, 1231]]"
83,0.8937,0.7871,"[[1220, 4, 115], [7, 81, 64], [86, 25, 1229]]"
84,0.8887,0.7583,"[[1216, 5, 118], [8, 68, 76], [89, 19, 1232]]"
85,0.8873,0.7476,"[[1217, 4, 118], [8, 63, 81], [87, 21, 1232]]"
86,0.8891,0.7488,"[[1218, 3, 118], [8, 63, 81], [85, 19, 1236]]"
87,0.8866,0.7529,"[[1218, 3, 118], [8, 66, 78], [91, 23, 1226]]"
88,0.8873,0.7437,"[[1219, 3, 117], [8, 61, 83], [88, 20, 1232]]"
89,0.8884,0.7483,"[[1218, 6, 115], [8, 63, 81], [87, 19, 1234]]"
90,0.8891,0.7566,"[[1218, 5, 116], [8, 67, 77], [87, 21, 1232]]"
91,0.8887,0.7564,"[[1220, 5, 114], [8, 67, 77], [91, 20, 1229]]"
92,0.8887,0.7564,"[[1221, 4, 114], [8, 67, 77], [92, 20, 1228]]"
93,0.8894,0.7607,"[[1220, 4, 115], [8, 69, 75], [93, 18, 1229]]"
