Model,Neutral MCC,GOF MCC,LOF MCC
190,0.8526,0.6581,0.8051
191,0.8512,0.6603,0.803
192,0.8512,0.6098,0.7972
193,0.8519,0.6266,0.8008
194,0.8547,0.6624,0.8069
195,0.849,0.6624,0.8011
196,0.8505,0.6266,0.7999
197,0.8526,0.6299,0.8029
198,0.8519,0.6511,0.8034
199,0.8498,0.6479,0.802
200,0.8498,0.6283,0.7972
201,0.8505,0.6607,0.8035
202,0.8512,0.6657,0.8041
203,0.8498,0.6446,0.8007
204,0.8526,0.6799,0.8049
205,0.8519,0.6781,0.8076
206,0.8512,0.686,0.8084
207,0.8519,0.6622,0.8062
208,0.8491,0.6748,0.8056
209,0.8512,0.6655,0.804
210,0.8519,0.6701,0.8064
211,0.854,0.6795,0.8082
212,0.8526,0.6686,0.8085
213,0.8483,0.6888,0.8068
214,0.8498,0.6622,0.8041
215,0.854,0.667,0.8063
216,0.8519,0.6511,0.8035
217,0.849,0.6813,0.8055
218,0.8526,0.6842,0.8075
219,0.8505,0.6952,0.8091
220,0.8512,0.7109,0.8111
221,0.8526,0.6874,0.8083
222,0.8498,0.6888,0.8054
223,0.8498,0.6952,0.8083
224,0.8498,0.7044,0.8096
225,0.854,0.6872,0.8117
226,0.8505,0.7012,0.8096
227,0.8533,0.6939,0.8105
228,0.8519,0.7154,0.8137
229,0.8554,0.6998,0.8132
230,0.8526,0.7199,0.814
231,0.8526,0.7121,0.8137
232,0.8512,0.6985,0.8103
233,0.8505,0.7154,0.8124
234,0.8491,0.7366,0.8117
235,0.8526,0.6998,0.8103
236,0.8491,0.7154,0.8097
237,0.8519,0.7154,0.8125
238,0.8519,0.713,0.8113
239,0.8505,0.6947,0.8085
240,0.8526,0.7167,0.8133
241,0.8512,0.6925,0.8087
242,0.8526,0.7085,0.8127
243,0.854,0.7063,0.8118
244,0.8505,0.6906,0.807
245,0.8483,0.6934,0.8047
246,0.8491,0.7116,0.8082
247,0.8476,0.7154,0.8083
248,0.8505,0.7121,0.8104
249,0.8484,0.7063,0.8077
250,0.8498,0.7187,0.811
251,0.8526,0.7221,0.8146
252,0.8505,0.7085,0.8104
253,0.8512,0.7234,0.8125
254,0.8512,0.7244,0.8124
255,0.8547,0.7244,0.8145
256,0.8533,0.7404,0.8161
257,0.8512,0.7039,0.8091
258,0.8512,0.7324,0.8139
259,0.849,0.7142,0.8083
260,0.8533,0.7279,0.8138
261,0.8554,0.7098,0.8147
262,0.8561,0.697,0.8133
263,0.8576,0.6996,0.8156
264,0.8533,0.6866,0.8093
265,0.854,0.7098,0.8147
266,0.8554,0.7116,0.8156
267,0.854,0.7016,0.8133
268,0.8512,0.7179,0.8105
269,0.8561,0.729,0.8176
270,0.8533,0.7359,0.8167
271,0.8547,0.7161,0.8142
272,0.8561,0.693,0.8122
273,0.8561,0.6959,0.812
274,0.8547,0.7124,0.8133
275,0.8561,0.7165,0.8159
276,0.854,0.7289,0.8146
277,0.8519,0.7279,0.8139
278,0.8561,0.6747,0.8099
279,0.8533,0.6866,0.8083
280,0.854,0.7109,0.8124
281,0.8533,0.6581,0.8044
282,0.8533,0.6616,0.8023
283,0.8576,0.7028,0.8141
284,0.8533,0.6794,0.8064
285,0.8533,0.6547,0.8021
286,0.8554,0.6794,0.8084
287,0.8547,0.6819,0.8078
288,0.854,0.7005,0.8096
289,0.8554,0.6495,0.8027
290,0.8604,0.69,0.8148
