Model,Neutral MCC,GOF MCC,LOF MCC
154,0.8519,0.6567,0.8041
171,0.849,0.6561,0.8022
180,0.8505,0.6561,0.8021
285,0.8533,0.6547,0.8021
173,0.8505,0.6547,0.805
107,0.8512,0.6532,0.8043
378,0.8498,0.6529,0.7995
381,0.8512,0.6529,0.8009
114,0.8483,0.6528,0.8034
308,0.8554,0.6513,0.8035
216,0.8519,0.6511,0.8035
198,0.8519,0.6511,0.8034
358,0.8505,0.6505,0.7996
175,0.8476,0.6498,0.7987
382,0.8498,0.6498,0.7978
328,0.8512,0.6498,0.7994
289,0.8554,0.6495,0.8027
163,0.8505,0.6495,0.8052
184,0.8533,0.6495,0.8054
363,0.8526,0.648,0.8002
336,0.8554,0.6479,0.8027
199,0.8498,0.6479,0.802
188,0.8554,0.6479,0.8055
312,0.8469,0.647,0.7936
178,0.8498,0.6464,0.8027
183,0.8476,0.6464,0.7978
329,0.854,0.6464,0.8029
166,0.8498,0.6462,0.8005
165,0.8505,0.6462,0.7997
364,0.8561,0.6457,0.8025
370,0.8533,0.6457,0.7998
332,0.8561,0.6449,0.805
177,0.854,0.6446,0.8048
203,0.8498,0.6446,0.8007
365,0.854,0.6443,0.8009
351,0.8547,0.6443,0.803
373,0.8561,0.6443,0.8031
379,0.854,0.6435,0.8014
314,0.8519,0.6435,0.7979
160,0.8533,0.643,0.806
327,0.8526,0.6415,0.8021
156,0.8512,0.6415,0.8021
301,0.8583,0.6415,0.8079
155,0.854,0.6399,0.8032
159,0.8533,0.6397,0.8033
181,0.8512,0.6397,0.8042
108,0.8498,0.6382,0.8002
349,0.8554,0.6381,0.8017
419,0.8526,0.6381,0.8019
185,0.8512,0.6371,0.8008
352,0.8512,0.6371,0.7979
187,0.8526,0.6366,0.8043
169,0.8483,0.6366,0.8
168,0.849,0.6366,0.7978
167,0.8505,0.6366,0.7992
157,0.854,0.6365,0.8019
117,0.8498,0.6351,0.8042
337,0.8533,0.6351,0.7992
176,0.8505,0.6351,0.8008
350,0.8498,0.6344,0.7967
376,0.8469,0.6336,0.793
372,0.8512,0.6331,0.7983
313,0.8512,0.6316,0.7979
347,0.8512,0.6307,0.7975
374,0.8512,0.6307,0.7988
186,0.8476,0.6301,0.7959
197,0.8526,0.6299,0.8029
390,0.8498,0.6293,0.7978
338,0.8568,0.6283,0.8027
200,0.8498,0.6283,0.7972
408,0.8547,0.628,0.8013
394,0.8561,0.628,0.804
193,0.8519,0.6266,0.8008
196,0.8505,0.6266,0.7999
386,0.8505,0.6257,0.799
359,0.8526,0.6257,0.7981
456,0.8576,0.6255,0.803
367,0.8547,0.6243,0.8003
387,0.8533,0.6243,0.8004
377,0.8505,0.6229,0.7961
392,0.849,0.6229,0.7963
404,0.854,0.622,0.8003
182,0.8505,0.6216,0.7981
326,0.8519,0.6216,0.7986
362,0.8498,0.6206,0.7961
385,0.8554,0.6206,0.8004
118,0.8505,0.6197,0.801
389,0.8526,0.6185,0.8012
355,0.8554,0.6185,0.801
179,0.8483,0.6166,0.7973
340,0.8526,0.6166,0.7959
339,0.8526,0.6166,0.7973
453,0.8583,0.6165,0.8037
441,0.8604,0.6155,0.8048
395,0.8512,0.6155,0.797
380,0.8526,0.615,0.796
105,0.8519,0.6134,0.8008
356,0.854,0.6127,0.7968
348,0.849,0.6127,0.7919
416,0.8554,0.6127,0.8029
423,0.8512,0.6118,0.7949
451,0.8547,0.6113,0.8009
384,0.8455,0.6103,0.7918
192,0.8512,0.6098,0.7972
83,0.8498,0.6089,0.796
470,0.8597,0.6077,0.8047
346,0.8526,0.6052,0.794
106,0.8469,0.6047,0.7938
398,0.8561,0.6037,0.8034
469,0.859,0.6031,0.8025
397,0.854,0.6031,0.7961
79,0.8441,0.6028,0.7901
422,0.854,0.6023,0.7961
443,0.8569,0.6023,0.8016
413,0.854,0.6015,0.7977
396,0.8483,0.6,0.7934
401,0.8526,0.5985,0.7963
393,0.8561,0.5985,0.7987
400,0.8526,0.5985,0.7964
383,0.8533,0.5979,0.7961
417,0.8554,0.597,0.7981
391,0.8498,0.5963,0.794
459,0.8597,0.5963,0.8027
460,0.8597,0.5956,0.8021
412,0.8554,0.5956,0.7982
468,0.8597,0.5956,0.8008
402,0.8533,0.5956,0.7958
388,0.8476,0.5947,0.792
421,0.854,0.5947,0.7969
446,0.8618,0.5943,0.8042
411,0.8561,0.5932,0.7994
403,0.8561,0.5932,0.7993
428,0.859,0.5932,0.801
409,0.8547,0.5932,0.7979
455,0.8583,0.5932,0.8003
483,0.8569,0.5917,0.7983
425,0.8561,0.591,0.7968
399,0.854,0.591,0.7964
414,0.8554,0.5903,0.799
418,0.8526,0.5894,0.795
452,0.8568,0.5894,0.7993
450,0.8604,0.5894,0.8003
482,0.8618,0.5894,0.8013
449,0.8576,0.5894,0.7999
406,0.8512,0.5894,0.792
410,0.8498,0.5894,0.7923
420,0.8547,0.5891,0.7963
463,0.8597,0.5889,0.8018
472,0.8618,0.5879,0.8002
474,0.8569,0.5879,0.8009
491,0.8618,0.5879,0.8028
437,0.8505,0.5879,0.7905
431,0.8526,0.5879,0.7968
485,0.8611,0.5864,0.8021
475,0.8576,0.5864,0.7988
430,0.8568,0.5857,0.7972
457,0.8576,0.5857,0.7995
442,0.8583,0.5856,0.8021
464,0.8583,0.5849,0.7997
489,0.8611,0.5849,0.8023
407,0.854,0.5838,0.7963
477,0.8618,0.5835,0.8033
461,0.8576,0.5825,0.7983
481,0.8576,0.5825,0.7965
484,0.859,0.5825,0.7991
492,0.8611,0.581,0.8015
432,0.8526,0.581,0.7945
462,0.8611,0.581,0.8017
434,0.8561,0.581,0.7982
465,0.8583,0.5809,0.7986
405,0.8568,0.5804,0.7965
440,0.8611,0.5803,0.7999
466,0.8611,0.5795,0.8018
480,0.8611,0.5787,0.7993
427,0.8583,0.5787,0.7993
95,0.8469,0.5769,0.7905
445,0.8583,0.5769,0.7991
439,0.8554,0.5767,0.7945
78,0.8462,0.5762,0.7883
490,0.8597,0.5756,0.8009
438,0.8533,0.575,0.7922
495,0.859,0.575,0.7993
433,0.8533,0.575,0.7951
415,0.8526,0.575,0.7905
497,0.8639,0.5733,0.8041
471,0.8583,0.5733,0.7973
444,0.859,0.5732,0.797
429,0.8561,0.5726,0.7961
102,0.8483,0.5721,0.7916
424,0.8533,0.5717,0.7925
473,0.8618,0.5717,0.7995
486,0.8568,0.5717,0.7959
496,0.8611,0.5717,0.8013
494,0.8576,0.5701,0.7964
93,0.8441,0.5696,0.7886
436,0.854,0.5696,0.793
426,0.8526,0.5696,0.7938
476,0.8576,0.5686,0.7958
82,0.847,0.5678,0.7894
104,0.8512,0.5678,0.7931
103,0.8476,0.5678,0.7895
478,0.8618,0.5671,0.8009
488,0.8604,0.5662,0.7988
487,0.8618,0.5662,0.8003
97,0.849,0.5661,0.7914
80,0.8462,0.5647,0.7902
99,0.8469,0.5627,0.7884
493,0.8611,0.5624,0.7999
447,0.8611,0.5623,0.7996
98,0.8469,0.5614,0.7877
454,0.8597,0.5607,0.7975
435,0.8547,0.5605,0.7917
498,0.8625,0.5575,0.8003
84,0.8441,0.5573,0.7882
96,0.849,0.5569,0.7909
101,0.8483,0.555,0.789
76,0.8455,0.5533,0.7872
448,0.8597,0.5533,0.7979
458,0.8583,0.5531,0.7945
94,0.8455,0.5531,0.7874
92,0.8455,0.5519,0.7872
91,0.8455,0.5485,0.7879
467,0.8583,0.5475,0.794
77,0.8441,0.5474,0.7859
90,0.8469,0.5451,0.7889
479,0.8618,0.5422,0.7977
87,0.8441,0.5396,0.7824
100,0.849,0.5386,0.7877
86,0.8484,0.5366,0.7879
74,0.849,0.5364,0.7877
81,0.8491,0.5355,0.7887
89,0.8469,0.5262,0.7884
85,0.8462,0.5262,0.7849
88,0.8469,0.5217,0.7842
499,0.8576,0.5171,0.7903
75,0.8469,0.5082,0.7809
73,0.8476,0.5035,0.7826
23,0.5938,0.4268,0.5001
4,0.5484,0.4041,0.4158
22,0.5947,0.4026,0.5011
3,0.5383,0.4018,0.3954
11,0.5732,0.3868,0.4642
13,0.5834,0.383,0.4758
10,0.5714,0.3807,0.4585
31,0.7338,0.3707,0.6411
12,0.5795,0.3672,0.4692
36,0.7794,0.3639,0.6835
30,0.595,0.3629,0.4931
8,0.5687,0.3623,0.4383
14,0.5961,0.3619,0.4815
19,0.586,0.3619,0.4915
17,0.5875,0.3593,0.4922
9,0.5633,0.3576,0.4319
25,0.5936,0.3567,0.4911
34,0.7779,0.3567,0.678
72,0.8469,0.3532,0.7672
18,0.5879,0.3519,0.4901
5,0.5595,0.3512,0.4215
6,0.5481,0.3494,0.4047
7,0.5686,0.3461,0.4375
64,0.8391,0.3455,0.7588
29,0.5952,0.3449,0.4925
35,0.7745,0.3448,0.6744
24,0.5914,0.3448,0.4881
26,0.5882,0.3425,0.4819
21,0.592,0.3411,0.4846
33,0.773,0.3383,0.6703
32,0.7313,0.3367,0.6318
20,0.5945,0.3305,0.4887
16,0.594,0.3301,0.4832
71,0.8483,0.3284,0.7635
15,0.59,0.3268,0.4769
70,0.8448,0.3177,0.7599
27,0.599,0.3094,0.4902
28,0.5943,0.3082,0.4846
37,0.7829,0.3074,0.6732
68,0.842,0.3006,0.7598
65,0.8405,0.2925,0.7559
66,0.842,0.2825,0.7548
67,0.8462,0.2749,0.7646
63,0.8462,0.2299,0.7518
61,0.8483,0.2223,0.7492
62,0.8427,0.2222,0.7516
69,0.8434,0.2173,0.7529
56,0.8356,0.2129,0.7377
60,0.8469,0.2084,0.7514
55,0.8405,0.1937,0.7369
53,0.842,0.188,0.7401
54,0.8398,0.1831,0.7343
59,0.8455,0.174,0.7476
45,0.8405,0.1713,0.731
39,0.7801,0.1676,0.6717
40,0.7791,0.1617,0.6696
38,0.78,0.156,0.6668
46,0.8399,0.1558,0.7269
58,0.8405,0.1538,0.7413
57,0.8363,0.1476,0.7355
47,0.8434,0.1418,0.725
41,0.7843,0.1384,0.6725
43,0.8406,0.1349,0.7277
52,0.8377,0.1338,0.7199
44,0.842,0.1327,0.7261
42,0.7836,0.1305,0.6668
51,0.8406,0.1297,0.7229
50,0.8391,0.1254,0.7196
49,0.8377,0.108,0.7175
48,0.8398,0.1071,0.7173
2,0.5175,0.0319,0.229
1,0.1966,-0.0348,0.1215
