Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1,Neutral AP,GOF AP,LOF AP
39,0.25,0.84,0.86,0.17,0.81,0.91,0.7801,0.1676,0.6717,0.2,0.83,0.89,0.9298315753312839,0.25547002544947256,0.8910010741966568
40,0.24,0.83,0.86,0.16,0.82,0.91,0.7791,0.1617,0.6696,0.2,0.82,0.89,0.929640886290495,0.23734149672666074,0.8901993012008773
41,0.22,0.83,0.86,0.14,0.82,0.91,0.7843,0.1384,0.6725,0.17,0.83,0.89,0.930647969794604,0.23966974702917487,0.895588308230032
42,0.21,0.83,0.86,0.14,0.81,0.91,0.7836,0.1305,0.6668,0.17,0.82,0.89,0.9300545100513307,0.23745949609605024,0.89454155657745
43,0.21,0.84,0.92,0.14,0.88,0.91,0.8406,0.1349,0.7277,0.17,0.86,0.92,0.9654238523180237,0.24422011520235862,0.9209289292008819
44,0.21,0.84,0.92,0.14,0.88,0.91,0.842,0.1327,0.7261,0.17,0.86,0.92,0.9658460483138408,0.23005609569641816,0.9213252395123745
45,0.25,0.84,0.92,0.17,0.88,0.91,0.8405,0.1713,0.731,0.2,0.86,0.92,0.965461468640412,0.23750555233182674,0.9238169327783216
46,0.24,0.84,0.92,0.16,0.88,0.91,0.8399,0.1558,0.7269,0.19,0.86,0.91,0.9655191291121457,0.23934201706048763,0.9232469306795008
47,0.21,0.84,0.92,0.15,0.88,0.91,0.8434,0.1418,0.725,0.18,0.86,0.92,0.9652833221221521,0.23316584575459762,0.9228116428184192
48,0.17,0.83,0.92,0.12,0.87,0.91,0.8398,0.1071,0.7173,0.15,0.85,0.91,0.9655773560676787,0.22504178052945714,0.920542976653685
49,0.18,0.83,0.92,0.12,0.88,0.91,0.8377,0.108,0.7175,0.15,0.85,0.91,0.9651966401569434,0.22645763851399142,0.917586802749209
50,0.2,0.83,0.92,0.14,0.88,0.91,0.8391,0.1254,0.7196,0.16,0.86,0.91,0.965468655434547,0.23314191046979188,0.9179449136733966
51,0.21,0.83,0.92,0.13,0.88,0.91,0.8406,0.1297,0.7229,0.16,0.86,0.92,0.9657418436664774,0.2287448590126751,0.9189754497631559
52,0.21,0.83,0.92,0.14,0.88,0.91,0.8377,0.1338,0.7199,0.17,0.86,0.91,0.965617845877156,0.2445388126255341,0.9219805874953374
53,0.3,0.84,0.92,0.16,0.89,0.91,0.842,0.188,0.7401,0.21,0.87,0.92,0.9652276162071295,0.27427620431713334,0.922648740977688
54,0.28,0.84,0.92,0.16,0.89,0.91,0.8398,0.1831,0.7343,0.21,0.86,0.92,0.9655737781116551,0.28200484267696513,0.9237454275310931
55,0.3,0.84,0.92,0.17,0.89,0.91,0.8405,0.1937,0.7369,0.22,0.86,0.92,0.9655660108644488,0.2840634874991235,0.9244837456230257
56,0.33,0.84,0.92,0.18,0.89,0.91,0.8356,0.2129,0.7377,0.23,0.86,0.91,0.9647558794913534,0.280035249847386,0.9219858374037815
57,0.26,0.84,0.92,0.12,0.89,0.91,0.8363,0.1476,0.7355,0.17,0.86,0.91,0.9643786002716519,0.2533823144405176,0.9219323646945936
58,0.27,0.84,0.92,0.12,0.9,0.91,0.8405,0.1538,0.7413,0.17,0.87,0.92,0.9649883468205942,0.24798751463924026,0.9212352649784823
59,0.3,0.84,0.92,0.14,0.9,0.91,0.8455,0.174,0.7476,0.19,0.87,0.92,0.9677419797115355,0.26333616642545477,0.9237574876451761
60,0.34,0.84,0.93,0.16,0.91,0.91,0.8469,0.2084,0.7514,0.22,0.87,0.92,0.9682668396689511,0.29580805496289964,0.9259183529707052
61,0.35,0.84,0.92,0.18,0.9,0.91,0.8483,0.2223,0.7492,0.24,0.87,0.92,0.9682116845452788,0.304413381115158,0.924975767888784
62,0.36,0.84,0.92,0.18,0.9,0.91,0.8427,0.2222,0.7516,0.24,0.87,0.92,0.9684006278950829,0.28702278254366803,0.9247333628670734
63,0.36,0.84,0.93,0.18,0.9,0.91,0.8462,0.2299,0.7518,0.24,0.87,0.92,0.9686366588140827,0.30817264759412605,0.9263914386237948
64,0.52,0.85,0.92,0.26,0.91,0.91,0.8391,0.3455,0.7588,0.35,0.88,0.91,0.9675259161933072,0.4008694389158925,0.9264850183707068
