Model,GOF AP,LOF AP,Neutral AP
1,0.0613975889956097,0.5107359755182749,0.5519279396926686
2,0.0754824150573577,0.6227231154461366,0.7367858977105541
3,0.270400727581667,0.6816381424901706,0.7705841247350347
4,0.2569669860383376,0.7081997511975782,0.8116360962351962
5,0.2721360365428195,0.7824366232088602,0.8416037406698827
6,0.2602038990828565,0.7781250955993431,0.8437852619094982
7,0.2624538096803828,0.7905356659133556,0.8461927202929702
8,0.2718154755981679,0.7925003394475252,0.8467451387481623
9,0.2845374497488155,0.7941856721006202,0.8456385465792972
10,0.298198176251698,0.7996909963885727,0.8459856122917957
11,0.3087322337463796,0.8025651620009451,0.848430030090248
12,0.3057679986456454,0.808651239109639,0.8501701233317163
13,0.3164290749343628,0.8100214417234806,0.8487456278196704
14,0.3137083501882334,0.8108089533458642,0.8507812924873449
15,0.2980008865818545,0.8091216010196134,0.8531119165565075
16,0.3055555754316085,0.8089931237770185,0.8526061959113447
17,0.3031720176529472,0.8078822235009485,0.8528778295444727
18,0.3127617057037464,0.8086782791323723,0.8534744935219575
19,0.3185364020092162,0.8100393515694232,0.8562820088063278
20,0.3072885627583439,0.8120827541436136,0.8561244734776765
21,0.3047189718849375,0.8150678126912148,0.8573683580160165
22,0.3226763909066513,0.8220054098140195,0.8559628092013132
23,0.326625106904936,0.8210438511049674,0.8545609237434648
24,0.2955170035558397,0.8227292225131235,0.8547377589359428
25,0.278294447568335,0.8210474302007165,0.8544333551446628
26,0.2822707181618303,0.8202221593658604,0.8541326813498857
27,0.2719030949324696,0.8201638644567661,0.8551499760076805
28,0.2757023331470336,0.8205855576428936,0.854729435394324
29,0.279600963837277,0.8195762674351584,0.8555428702257609
30,0.2883647935802757,0.8219282638038563,0.8544933520825919
31,0.2888825261744632,0.8802002472174247,0.9010843470669327
32,0.275255839284131,0.8831299374015222,0.9141983075591577
33,0.2691687459557436,0.8965337226787906,0.9294714815828156
34,0.2806643443746701,0.8963290719127726,0.9287634421889448
35,0.267117136625637,0.8965361820058209,0.9296050824258736
36,0.2901477442254385,0.8990547690192208,0.9303803779599104
37,0.2547533316504487,0.8981427379326172,0.9279488759038808
38,0.2453120642207145,0.8911839786724514,0.9294794013071208
39,0.2554700254494725,0.8910010741966568,0.929831575331284
40,0.2373414967266607,0.8901993012008773,0.929640886290495
41,0.2396697470291748,0.895588308230032,0.930647969794604
