Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1
60,0.34,0.84,0.93,0.16,0.91,0.91,0.8469,0.2084,0.7514,0.22,0.87,0.92
61,0.35,0.84,0.92,0.18,0.9,0.91,0.8483,0.2223,0.7492,0.24,0.87,0.92
62,0.36,0.84,0.92,0.18,0.9,0.91,0.8427,0.2222,0.7516,0.24,0.87,0.92
63,0.36,0.84,0.93,0.18,0.9,0.91,0.8462,0.2299,0.7518,0.24,0.87,0.92
64,0.52,0.85,0.92,0.26,0.91,0.91,0.8391,0.3455,0.7588,0.35,0.88,0.91
65,0.45,0.85,0.92,0.22,0.9,0.91,0.8405,0.2925,0.7559,0.3,0.87,0.92
66,0.45,0.84,0.92,0.21,0.91,0.91,0.842,0.2825,0.7548,0.29,0.87,0.92
67,0.47,0.85,0.93,0.19,0.92,0.91,0.8462,0.2749,0.7646,0.27,0.88,0.92
68,0.53,0.84,0.92,0.2,0.91,0.91,0.842,0.3006,0.7598,0.29,0.88,0.92
69,0.43,0.83,0.93,0.13,0.92,0.91,0.8434,0.2173,0.7529,0.2,0.87,0.92
70,0.53,0.85,0.92,0.22,0.91,0.91,0.8448,0.3177,0.7599,0.31,0.88,0.92
71,0.55,0.85,0.92,0.22,0.91,0.91,0.8483,0.3284,0.7635,0.32,0.88,0.92
72,0.59,0.85,0.92,0.24,0.92,0.91,0.8469,0.3532,0.7672,0.34,0.88,0.92
73,0.65,0.87,0.92,0.42,0.91,0.91,0.8476,0.5035,0.7826,0.51,0.89,0.92
74,0.71,0.87,0.93,0.43,0.91,0.91,0.849,0.5364,0.7877,0.54,0.89,0.92
75,0.69,0.86,0.92,0.4,0.91,0.91,0.8469,0.5082,0.7809,0.51,0.89,0.92
76,0.69,0.87,0.92,0.47,0.91,0.91,0.8455,0.5533,0.7872,0.56,0.89,0.92
77,0.68,0.87,0.92,0.47,0.91,0.91,0.8441,0.5474,0.7859,0.56,0.89,0.92
78,0.73,0.87,0.93,0.49,0.91,0.91,0.8462,0.5762,0.7883,0.58,0.89,0.92
79,0.72,0.87,0.92,0.53,0.91,0.91,0.8441,0.6028,0.7901,0.61,0.89,0.92
80,0.71,0.87,0.92,0.48,0.91,0.91,0.8462,0.5647,0.7902,0.57,0.89,0.92
81,0.7,0.87,0.93,0.44,0.92,0.91,0.8491,0.5355,0.7887,0.54,0.89,0.92
82,0.72,0.87,0.93,0.48,0.92,0.91,0.847,0.5678,0.7894,0.57,0.89,0.92
83,0.74,0.87,0.93,0.53,0.92,0.91,0.8498,0.6089,0.796,0.62,0.89,0.92
84,0.74,0.86,0.93,0.45,0.92,0.91,0.8441,0.5573,0.7882,0.56,0.89,0.92
85,0.72,0.86,0.93,0.41,0.92,0.91,0.8462,0.5262,0.7849,0.52,0.89,0.92
86,0.74,0.86,0.93,0.41,0.92,0.91,0.8484,0.5366,0.7879,0.53,0.89,0.92
87,0.72,0.86,0.92,0.43,0.91,0.91,0.8441,0.5396,0.7824,0.54,0.89,0.92
88,0.73,0.86,0.93,0.4,0.92,0.91,0.8469,0.5217,0.7842,0.52,0.89,0.92
89,0.72,0.86,0.93,0.41,0.92,0.91,0.8469,0.5262,0.7884,0.52,0.89,0.92
90,0.72,0.86,0.93,0.44,0.92,0.91,0.8469,0.5451,0.7889,0.55,0.89,0.92
91,0.73,0.87,0.92,0.44,0.92,0.91,0.8455,0.5485,0.7879,0.55,0.89,0.92
92,0.74,0.87,0.92,0.44,0.92,0.91,0.8455,0.5519,0.7872,0.55,0.89,0.92
93,0.76,0.87,0.92,0.45,0.92,0.91,0.8441,0.5696,0.7886,0.57,0.89,0.92
94,0.77,0.86,0.92,0.42,0.92,0.91,0.8455,0.5531,0.7874,0.54,0.89,0.92
95,0.76,0.87,0.92,0.47,0.92,0.91,0.8469,0.5769,0.7905,0.58,0.89,0.92
96,0.76,0.87,0.93,0.43,0.92,0.91,0.849,0.5569,0.7909,0.55,0.89,0.92
97,0.75,0.87,0.93,0.45,0.92,0.91,0.849,0.5661,0.7914,0.57,0.89,0.92
98,0.73,0.87,0.93,0.46,0.91,0.91,0.8469,0.5614,0.7877,0.56,0.89,0.92
99,0.74,0.87,0.92,0.45,0.91,0.91,0.8469,0.5627,0.7884,0.56,0.89,0.92
100,0.71,0.87,0.93,0.44,0.91,0.91,0.849,0.5386,0.7877,0.54,0.89,0.92
101,0.71,0.87,0.93,0.46,0.91,0.91,0.8483,0.555,0.789,0.56,0.89,0.92
102,0.71,0.87,0.93,0.49,0.91,0.91,0.8483,0.5721,0.7916,0.58,0.89,0.92
103,0.72,0.87,0.92,0.48,0.91,0.91,0.8476,0.5678,0.7895,0.57,0.89,0.92
104,0.72,0.87,0.93,0.48,0.91,0.92,0.8512,0.5678,0.7931,0.57,0.89,0.92
105,0.75,0.88,0.93,0.53,0.92,0.92,0.8519,0.6134,0.8008,0.62,0.9,0.92
106,0.76,0.87,0.92,0.51,0.91,0.91,0.8469,0.6047,0.7938,0.61,0.89,0.92
107,0.81,0.88,0.93,0.55,0.92,0.92,0.8512,0.6532,0.8043,0.66,0.9,0.92
108,0.78,0.88,0.93,0.55,0.92,0.91,0.8498,0.6382,0.8002,0.64,0.9,0.92
109,0.82,0.88,0.93,0.58,0.92,0.92,0.8519,0.6759,0.8042,0.68,0.9,0.92
110,0.82,0.88,0.92,0.57,0.92,0.91,0.8462,0.6712,0.8034,0.67,0.9,0.92
111,0.82,0.88,0.93,0.59,0.92,0.92,0.8526,0.6772,0.8077,0.68,0.9,0.92
112,0.83,0.89,0.93,0.61,0.92,0.92,0.8512,0.6947,0.8118,0.7,0.9,0.92
113,0.83,0.88,0.93,0.62,0.92,0.92,0.8526,0.7051,0.8103,0.71,0.9,0.92
114,0.79,0.88,0.92,0.57,0.92,0.91,0.8483,0.6528,0.8034,0.66,0.9,0.92
115,0.8,0.88,0.92,0.6,0.91,0.91,0.8469,0.6766,0.8039,0.68,0.9,0.92
116,0.8,0.88,0.92,0.6,0.91,0.91,0.8469,0.6766,0.8039,0.68,0.9,0.92
117,0.79,0.88,0.92,0.53,0.92,0.92,0.8498,0.6351,0.8042,0.64,0.9,0.92
118,0.73,0.88,0.92,0.56,0.91,0.92,0.8505,0.6197,0.801,0.63,0.9,0.92
119,0.77,0.89,0.93,0.62,0.92,0.92,0.8526,0.6795,0.8102,0.69,0.9,0.92
120,0.76,0.88,0.92,0.61,0.91,0.92,0.8476,0.6671,0.8016,0.68,0.9,0.92
121,0.78,0.88,0.92,0.59,0.91,0.92,0.8483,0.6622,0.8038,0.67,0.9,0.92
122,0.78,0.89,0.93,0.62,0.91,0.92,0.8519,0.681,0.8059,0.69,0.9,0.92
123,0.79,0.88,0.93,0.61,0.92,0.92,0.8512,0.6827,0.8074,0.69,0.9,0.92
124,0.76,0.88,0.92,0.62,0.91,0.92,0.8483,0.6735,0.8029,0.69,0.9,0.92
125,0.76,0.88,0.92,0.62,0.91,0.92,0.8498,0.6688,0.8008,0.68,0.9,0.92
126,0.76,0.89,0.93,0.66,0.91,0.92,0.8547,0.6906,0.8099,0.7,0.9,0.92
127,0.75,0.89,0.93,0.64,0.91,0.92,0.8533,0.6815,0.8085,0.7,0.9,0.92
128,0.75,0.89,0.92,0.65,0.91,0.92,0.8519,0.6832,0.8084,0.7,0.9,0.92
129,0.76,0.88,0.93,0.62,0.91,0.92,0.8526,0.6735,0.8045,0.69,0.9,0.92
130,0.77,0.89,0.92,0.62,0.91,0.92,0.8498,0.6795,0.8072,0.69,0.9,0.92
131,0.77,0.88,0.93,0.64,0.91,0.91,0.8512,0.6873,0.8037,0.7,0.9,0.92
132,0.79,0.89,0.93,0.66,0.91,0.92,0.8519,0.7054,0.8107,0.72,0.9,0.92
133,0.77,0.89,0.93,0.65,0.91,0.92,0.8526,0.6949,0.8079,0.71,0.9,0.92
134,0.79,0.89,0.93,0.66,0.91,0.92,0.8533,0.7054,0.8107,0.72,0.9,0.92
135,0.78,0.89,0.93,0.66,0.91,0.92,0.854,0.6994,0.8099,0.71,0.9,0.92
136,0.78,0.89,0.93,0.64,0.91,0.92,0.8519,0.6918,0.8059,0.7,0.9,0.92
137,0.8,0.89,0.93,0.64,0.91,0.92,0.854,0.698,0.8107,0.71,0.9,0.92
138,0.78,0.89,0.93,0.65,0.91,0.92,0.8505,0.6979,0.8065,0.71,0.9,0.92
139,0.77,0.89,0.93,0.65,0.91,0.92,0.8533,0.6949,0.8085,0.71,0.9,0.92
140,0.79,0.89,0.93,0.66,0.91,0.91,0.8505,0.7085,0.8073,0.72,0.9,0.92
141,0.81,0.89,0.93,0.66,0.91,0.92,0.8547,0.7192,0.8135,0.73,0.9,0.92
142,0.79,0.89,0.93,0.66,0.91,0.92,0.8547,0.7054,0.8107,0.72,0.9,0.92
143,0.79,0.88,0.93,0.63,0.91,0.92,0.8505,0.6903,0.8044,0.7,0.9,0.92
144,0.77,0.89,0.93,0.63,0.91,0.92,0.8519,0.6811,0.805,0.69,0.9,0.92
145,0.77,0.89,0.92,0.64,0.91,0.92,0.849,0.6873,0.8043,0.7,0.9,0.92
146,0.76,0.89,0.93,0.65,0.91,0.92,0.8547,0.6889,0.8085,0.7,0.9,0.92
147,0.78,0.89,0.93,0.64,0.91,0.92,0.8526,0.6964,0.8086,0.71,0.9,0.92
148,0.78,0.89,0.93,0.68,0.91,0.92,0.8533,0.7129,0.8127,0.73,0.9,0.92
149,0.78,0.88,0.93,0.61,0.92,0.92,0.8526,0.6733,0.8053,0.68,0.9,0.92
150,0.77,0.89,0.93,0.62,0.91,0.92,0.854,0.6765,0.8064,0.69,0.9,0.92
151,0.77,0.88,0.92,0.6,0.91,0.92,0.8526,0.6638,0.8051,0.67,0.9,0.92
152,0.78,0.89,0.93,0.59,0.92,0.92,0.8561,0.6654,0.8094,0.67,0.9,0.92
153,0.79,0.89,0.92,0.59,0.91,0.92,0.8533,0.6672,0.8087,0.67,0.9,0.92
154,0.82,0.88,0.92,0.55,0.92,0.92,0.8519,0.6567,0.8041,0.66,0.9,0.92
155,0.76,0.88,0.93,0.57,0.91,0.92,0.854,0.6399,0.8032,0.65,0.9,0.92
156,0.79,0.88,0.93,0.55,0.92,0.92,0.8512,0.6415,0.8021,0.65,0.9,0.92
157,0.77,0.88,0.93,0.55,0.91,0.92,0.854,0.6365,0.8019,0.64,0.9,0.92
158,0.81,0.88,0.93,0.61,0.92,0.92,0.8505,0.6892,0.8082,0.7,0.9,0.92
159,0.78,0.88,0.93,0.55,0.92,0.92,0.8533,0.6397,0.8033,0.65,0.9,0.92
160,0.77,0.88,0.92,0.57,0.91,0.92,0.8533,0.643,0.806,0.65,0.9,0.92
161,0.79,0.88,0.93,0.57,0.92,0.92,0.8533,0.6576,0.8089,0.66,0.9,0.92
162,0.78,0.88,0.92,0.59,0.92,0.92,0.8505,0.6654,0.8067,0.67,0.9,0.92
163,0.77,0.88,0.92,0.58,0.91,0.92,0.8505,0.6495,0.8052,0.66,0.9,0.92
164,0.79,0.88,0.93,0.61,0.92,0.91,0.849,0.6781,0.8047,0.69,0.9,0.92
