Model,Accuracy,Precision,Recall,F1 Score,ROC AUC Score,Overall MCC
1,0.1801483574708583,0.5728082844099459,0.1801483574708583,0.1949882173238201,0.5661263520454407,0.1122727393948071
2,0.5411515365595196,0.6737149977125438,0.5411515365595196,0.5777248303722698,0.685172193110545,0.3131153972961371
3,0.596255740021194,0.720940316982882,0.596255740021194,0.635409211897755,0.8185862902039859,0.3869782855531611
4,0.6541858000706464,0.7254384689670919,0.6541858000706464,0.6759063928716673,0.8459142284822105,0.4439360586411301
10,0.6658424584952314,0.7263963807804675,0.6658424584952314,0.6789307029300361,0.8608892867381579,0.4579721081292002
7,0.6640762981278701,0.7306525324001661,0.6640762981278701,0.6793070177334081,0.8609831789863621,0.4589617413132872
5,0.6623101377605086,0.7343294524234736,0.6623101377605086,0.6796461750265318,0.8599229021699021,0.4596772791549156
9,0.6647827622748146,0.7312227130255587,0.6647827622748146,0.6805516359339835,0.8598181174871291,0.4600246695649189
8,0.6654892264217591,0.7315235455042575,0.6654892264217591,0.6812657756709599,0.8612378208110424,0.4606283565286868
6,0.6640762981278701,0.7330045134280004,0.6640762981278701,0.6801729801355892,0.8610925677760718,0.4606636025516788
11,0.6732603320381491,0.7359665942594403,0.6732603320381491,0.6870821010286194,0.8611415311761229,0.4711631519909063
13,0.6799717414341222,0.7410287230702491,0.6799717414341222,0.693943122511423,0.8639252668744248,0.4799050243777212
12,0.6803249735075945,0.7410352244910668,0.6803249735075945,0.6936152381134372,0.8617989089134337,0.4809703665301543
14,0.6813846697280113,0.7424196231008997,0.6813846697280113,0.6959375989203548,0.862928717277963,0.4819310527284386
16,0.6838572942423172,0.7425625314505545,0.6838572942423172,0.6976598116760969,0.8629102134614065,0.4843932076824961
15,0.6838572942423172,0.7432475825772107,0.6838572942423172,0.6978571765227083,0.8628551316224584,0.484805383912571
20,0.6873896149770399,0.7405096253648237,0.6873896149770399,0.6992549469299805,0.8625186792052864,0.4862338469599639
17,0.6863299187566231,0.7433230246845213,0.6863299187566231,0.699332356944844,0.8652850049749289,0.4873546839235955
21,0.6898622394913458,0.7406617400359353,0.6898622394913458,0.7010996954750709,0.8619390542863686,0.488194970093195
19,0.6912751677852349,0.7449952594689806,0.6912751677852349,0.7031169575866322,0.8658338073106813,0.4932986109994297
18,0.6919816319321794,0.7470805977504462,0.6919816319321794,0.7045657360583821,0.8636164623210741,0.4952068736122819
22,0.6955139526669022,0.7457635504262055,0.6955139526669022,0.7072402975399925,0.8658058557249131,0.4965990163192126
25,0.697986577181208,0.7466501125570197,0.697986577181208,0.7092296060469754,0.867829880778686,0.4993293632079923
28,0.6990462734016248,0.7464467090841763,0.6990462734016248,0.7100866095213962,0.865471759750049,0.4993307300644234
26,0.697986577181208,0.7470388240404434,0.697986577181208,0.7094910115653564,0.8676906239605008,0.4995657546334564
23,0.6990462734016248,0.749869244038657,0.6990462734016248,0.7108235303275772,0.8668319250168324,0.5027047091797621
27,0.7008124337689863,0.7480867028664481,0.7008124337689863,0.7113786549500639,0.8668822279712244,0.5031275513011447
30,0.7022253620628753,0.7481793520259157,0.7022253620628753,0.7129846546896598,0.8653244466613906,0.5035500893632563
24,0.7011656658424585,0.7498712784887466,0.7011656658424585,0.7125368493093899,0.8676999935075614,0.5046708323115072
29,0.7032850582832921,0.7500251529030713,0.7032850582832921,0.7144312923283865,0.8661440357516298,0.5058102059823714
32,0.7703991522430237,0.825702907351625,0.7703991522430237,0.7825174813421398,0.8952572296334451,0.6228104346765596
31,0.7689862239491346,0.8282944624952474,0.7689862239491346,0.7811834666484256,0.8923231998491877,0.6231865146086649
40,0.7933592370187214,0.8360106256426859,0.7933592370187214,0.8071042535961261,0.8788662520501537,0.6504663101614042
38,0.7933592370187214,0.8359851924396755,0.7933592370187214,0.8070444700811731,0.8791135605481495,0.6505825154929301
37,0.7905333804309431,0.8430376743636123,0.7905333804309431,0.8066487056653634,0.8933206031670976,0.6528639724722153
41,0.796891557753444,0.834442457130482,0.796891557753444,0.809531028602902,0.8769977210220663,0.6531724443805053
39,0.7951253973860827,0.8375848113602379,0.7951253973860827,0.8085251893131775,0.879477375440513,0.6537286793908905
42,0.7972447898269163,0.8355439231950187,0.7972447898269163,0.8098796682413523,0.8781416888182022,0.6544798810417087
33,0.7933592370187214,0.8468213608145008,0.7933592370187214,0.8083835638289841,0.9039496173079024,0.6589869701861478
34,0.7933592370187214,0.8470829828142208,0.7933592370187214,0.808545966946291,0.9032863557981484,0.659061558553927
35,0.7937124690921936,0.8474789801946486,0.7937124690921936,0.8089020829444593,0.9036400158663854,0.6597500177329604
36,0.7947721653126104,0.8482136206109663,0.7947721653126104,0.8098181431508762,0.9040140497494836,0.6613446645469024
43,0.8194984104556694,0.8614440994155546,0.8194984104556694,0.8361343529129073,0.8987800216616693,0.6919542745301206
47,0.8198516425291417,0.8613709095621424,0.8198516425291417,0.8364511582932576,0.8982629683526865,0.6921698443942469
44,0.8198516425291417,0.8623459984930303,0.8198516425291417,0.8367865917751489,0.898564615579193,0.6926779735711425
46,0.8219710349699753,0.8627969890663444,0.8219710349699753,0.8383453580235974,0.8986780554207853,0.6954494043821173
57,0.8251501236312258,0.8564080424185574,0.8251501236312258,0.8384272714085573,0.8977068565235612,0.695628373201978
45,0.823030731190392,0.8630441745425355,0.823030731190392,0.8390775281212701,0.8986023431005422,0.696933088548038
58,0.8262098198516425,0.8571065725241611,0.8262098198516425,0.8393224139732623,0.8977986129403687,0.6973574024338387
48,0.8237371953373366,0.8628080306117456,0.8237371953373366,0.8395458661542945,0.9009124717838034,0.6975194363286867
59,0.8276227481455316,0.8562390486344528,0.8276227481455316,0.8398353795096106,0.9007233324552896,0.6988218596127966
50,0.8244436594842812,0.863559374220637,0.8244436594842812,0.8401148518330207,0.9026904631162024,0.6990020112718642
49,0.825503355704698,0.8629435816420163,0.825503355704698,0.8406610297097661,0.9019780579287832,0.6998781878116971
61,0.8297421405863652,0.8572385908517436,0.8297421405863652,0.841441646992304,0.9055323264284684,0.7021702665643643
53,0.8276227481455316,0.8622571120639754,0.8276227481455316,0.8416617149280852,0.9054454601183384,0.7023831431604236
54,0.8279759802190039,0.8619026829804036,0.8279759802190039,0.8418467261559267,0.9065119146514196,0.7025080948270088
52,0.8286824443659484,0.863305526772701,0.8286824443659484,0.8427280714265204,0.902801837404112,0.7041887747285999
63,0.8311550688802544,0.8587659538448734,0.8311550688802544,0.8428343700896642,0.9059447435545436,0.7048175804576302
60,0.8315083009537266,0.8587860377749638,0.8315083009537266,0.8430769198209412,0.9052508666281032,0.705261987494258
62,0.8318615330271989,0.8587532506273118,0.8318615330271989,0.8431953135894338,0.9067126919693814,0.7058581269217419
51,0.8297421405863652,0.8644462239095724,0.8297421405863652,0.8437292490474289,0.9035339392958952,0.7062158679533047
56,0.8300953726598375,0.8631233324302783,0.8300953726598375,0.8433084101848755,0.908137320233274,0.7063036875273727
55,0.8304486047333098,0.8629542769721246,0.8304486047333098,0.843487134315784,0.907681313202276,0.7066536635202149
64,0.8382197103496998,0.864303856599531,0.8382197103496998,0.8487096091006963,0.9166187775989748,0.7175841244317891
68,0.8399858707170611,0.8616641651626019,0.8399858707170611,0.8490860855305382,0.9158132966070556,0.718261077118561
66,0.8396326386435888,0.8649719157842786,0.8396326386435888,0.8499542778157481,0.9178295251123416,0.7195536320948734
70,0.8428117273048393,0.8617085286475489,0.8428117273048393,0.8509669750330243,0.9106341248583936,0.7218045882708337
69,0.8431649593783116,0.8618686035015541,0.8431649593783116,0.8511356848268324,0.9160330195745068,0.7225610861366473
65,0.8428117273048393,0.8659424179232141,0.8428117273048393,0.8523028718093197,0.9177793107689804,0.7241767264823249
67,0.8442246555987284,0.865319867834581,0.8442246555987284,0.8529490935955613,0.9186637154671202,0.7257754887701469
71,0.8555280819498411,0.8709294917097608,0.8555280819498411,0.8617181868316404,0.922863448103807,0.74406370374173
72,0.8558813140233134,0.8709504869190847,0.8558813140233134,0.861957718997669,0.9233170889147284,0.7445473200228765
73,0.8555280819498411,0.8749551980910951,0.8555280819498411,0.8627642871303509,0.9303235747288476,0.7464677652929996
77,0.8551748498763688,0.8778014314653846,0.8551748498763688,0.8632141765028155,0.9351426251373532,0.7477067479446255
79,0.8551748498763688,0.878392825174109,0.8551748498763688,0.863335715037242,0.9363002873099616,0.7480764067873275
76,0.8555280819498411,0.8793583182138247,0.8555280819498411,0.8640042524990518,0.9343527366312966,0.7488101204239548
75,0.8565877781702579,0.8772551129869501,0.8565877781702579,0.8642077799443875,0.933014599455652,0.7489478550405649
80,0.8569410102437302,0.8798187821306663,0.8569410102437302,0.8649789067337669,0.9365020032937392,0.7510429190208745
74,0.858000706464147,0.8790656444093523,0.858000706464147,0.8656846619690922,0.9328703724753068,0.7517101384637267
78,0.8576474743906747,0.8797966170665819,0.8576474743906747,0.8654060337651256,0.9363831422903952,0.7520061455157844
81,0.858000706464147,0.8818546759764371,0.858000706464147,0.8663979007736454,0.936720987428527,0.7532833693488268
82,0.8583539385376192,0.881379909965557,0.8583539385376192,0.8665189913277123,0.9362698210042512,0.7534704082697603
83,0.8601200989049805,0.8832709280318696,0.8601200989049805,0.8684277195690839,0.9367473684601638,0.7564852228030181
88,0.8668315083009537,0.8808781496280101,0.8668315083009537,0.8721936265854058,0.9369915926831784,0.7641667105111205
86,0.8664782762274814,0.8828503483878128,0.8664782762274814,0.8723953081495084,0.938276006518643,0.7649183162018991
87,0.8675379724478983,0.8822039320227839,0.8675379724478983,0.8729978352250503,0.9382179534601668,0.7658746450089885
90,0.8671847403744259,0.8830135883360402,0.8671847403744259,0.8729452685443666,0.937788547460606,0.7658967352826999
89,0.8675379724478983,0.8824668791532843,0.8675379724478983,0.8730224405915757,0.9384428947006644,0.7660947079331566
97,0.8678912045213706,0.8830969594223342,0.8678912045213706,0.8733700824562237,0.9383208210891222,0.7669954436402607
91,0.8678912045213706,0.8844884272857094,0.8678912045213706,0.8738147175025976,0.9396522837152628,0.7676178668724477
95,0.8689509007417874,0.8834026674667732,0.8689509007417874,0.874326883722446,0.9368499280893986,0.7683113060424842
85,0.8685976686683151,0.8845903195420189,0.8685976686683151,0.8743985148411041,0.9393557117619324,0.7684876261260433
93,0.8689509007417874,0.8833082033171962,0.8689509007417874,0.8741424051195235,0.9400729392227573,0.7685086738384388
116,0.8693041328152596,0.8829889158402746,0.8693041328152596,0.8742500135885098,0.9421570755553628,0.7688777349450782
115,0.8693041328152596,0.8829889158402746,0.8693041328152596,0.8742500135885098,0.9421570755553628,0.7688777349450782
84,0.8693041328152596,0.8848275542469438,0.8693041328152596,0.8749179330714489,0.9389396120836406,0.7695852304100814
94,0.8700105969622042,0.8836679690019119,0.8700105969622042,0.8750193982026294,0.9400737697220044,0.770005563078271
98,0.8707170611091487,0.8841951237369253,0.8707170611091487,0.8755876293424915,0.939137495793115,0.7713113473603597
108,0.8707170611091487,0.8843154732886439,0.8707170611091487,0.8756103733783811,0.9432042556614748,0.7713865491101123
92,0.8707170611091487,0.8851607566674959,0.8707170611091487,0.8759665682110548,0.9396661479804704,0.7716307465635052
114,0.871070293182621,0.8840953602999506,0.871070293182621,0.8758430091651997,0.9419494226325236,0.7716499699869492
106,0.8714235252560932,0.8848054779471733,0.8714235252560932,0.876225229905684,0.9431706231919682,0.7725779715477101
109,0.8717767573295655,0.8848828418257304,0.8717767573295655,0.8765385776134565,0.94275510895759,0.7730048917276214
133,0.8717767573295655,0.8851798298247483,0.8717767573295655,0.8764332688712058,0.9447043756346994,0.7734463447025287
107,0.8721299894030378,0.8850150148121791,0.8721299894030378,0.8767924518017205,0.9426540752714162,0.7735754505031637
99,0.8721299894030378,0.8853081776190168,0.8721299894030378,0.8768697151042248,0.9400159751632936,0.7737385136022962
111,0.87248322147651,0.8847417408851622,0.87248322147651,0.8769526599599938,0.9427514001276194,0.7739111876682702
103,0.8728364535499823,0.8857082091748872,0.8728364535499823,0.8774733858381407,0.941821799526013,0.7748608167834623
129,0.8728364535499823,0.8869693491352907,0.8728364535499823,0.8777865753798247,0.9437805048056755,0.775557962013252
131,0.8728364535499823,0.8874410986498794,0.8728364535499823,0.8779708503815412,0.9432720987110752,0.7757141760419608
100,0.8731896856234546,0.8870180189506198,0.8731896856234546,0.878222013610928,0.9394995696315012,0.7757759596984652
117,0.8738961497703992,0.8849062219209577,0.8738961497703992,0.8779204447027613,0.9425156483413678,0.7759335497318249
119,0.8735429176969269,0.8859270392857543,0.8735429176969269,0.8778943052690064,0.9435250324817482,0.7761025486816509
101,0.8735429176969269,0.8866879369608567,0.8735429176969269,0.878318644785316,0.9394921153049266,0.7761596619340068
122,0.8735429176969269,0.8861480262603304,0.8735429176969269,0.8779762421744726,0.9435579346741392,0.7761831429272416
96,0.8735429176969269,0.8873198256592623,0.8735429176969269,0.8784812508965983,0.9389603886203588,0.7765014686787473
113,0.8742493818438715,0.8861236166702806,0.8742493818438715,0.8785817919347529,0.943013759056414,0.7769014247636932
130,0.8738961497703992,0.8869678892042495,0.8738961497703992,0.8784988489735217,0.9444436379822128,0.7769827779563158
110,0.8742493818438715,0.8861687055522721,0.8742493818438715,0.8785377029673989,0.9422350923735162,0.7770180972331702
104,0.8742493818438715,0.8865427509700609,0.8742493818438715,0.8787262519799527,0.9418083275937832,0.7770749992766857
123,0.8742493818438715,0.8864480435556392,0.8742493818438715,0.8785422720749525,0.9431318800048732,0.7772734670055856
112,0.8746026139173437,0.8864712917805526,0.8746026139173437,0.8789323883377114,0.942963576490802,0.7775318205219097
105,0.8746026139173437,0.8872476326437483,0.8746026139173437,0.8791948837558017,0.9428650501912432,0.7778530983210122
120,0.8746026139173437,0.8873282127480973,0.8746026139173437,0.8790469229977932,0.9437110789797328,0.7781606303738088
134,0.8746026139173437,0.8876983212278775,0.8746026139173437,0.8792170330901222,0.9449925112067898,0.7782412940730602
132,0.8746026139173437,0.8876564302724859,0.8746026139173437,0.8791627351894662,0.943690466220644,0.7782872715649556
124,0.874955845990816,0.887619434651375,0.874955845990816,0.879423756183641,0.9430581831272472,0.7786931441029786
118,0.8753090780642883,0.8875570226024362,0.8753090780642883,0.8796486324503919,0.9425910783285336,0.7791322109049725
128,0.8753090780642883,0.8884287532515054,0.8753090780642883,0.8799352172067226,0.9438279330960072,0.7794998101898046
125,0.8756623101377605,0.8878155554746361,0.8756623101377605,0.8799734730666589,0.942961779825764,0.7797136412052917
121,0.8756623101377605,0.88812506930341,0.8756623101377605,0.8800698600325381,0.9432038792173716,0.779856619301209
102,0.8760155422112328,0.8880933366700094,0.8760155422112328,0.8804748769950264,0.9417195521742728,0.7800348547027611
126,0.8756623101377605,0.8885743593660584,0.8756623101377605,0.880219387089266,0.9444207421140828,0.7800404781423306
135,0.8756623101377605,0.8885608526053546,0.8756623101377605,0.8802128538917373,0.9449825965491124,0.7800404781423306
127,0.8756623101377605,0.8887825039263151,0.8756623101377605,0.8802690709034009,0.9443085843824393,0.7801557007774478
139,0.8760155422112328,0.887824201451712,0.8760155422112328,0.8801757464831376,0.944428235551733,0.7802563807111748
138,0.8760155422112328,0.8886902460691279,0.8760155422112328,0.8804633060808934,0.9454458880179504,0.7806166513347442
136,0.8760155422112328,0.8887770156342204,0.8760155422112328,0.880471019901055,0.9444400886520974,0.7806869727794205
137,0.8760155422112328,0.8890030474366063,0.8760155422112328,0.8805485390174458,0.9441303625440268,0.7807757552954487
149,0.876368774284705,0.8889879752965429,0.876368774284705,0.8807392816809057,0.9434897824025974,0.7813163858464195
145,0.8770752384316496,0.888259214767229,0.8770752384316496,0.8810130584107349,0.94381893999305,0.7819048709715632
150,0.8767220063581773,0.8898119991689163,0.8767220063581773,0.8812560166132125,0.942798414696104,0.7821231384779327
141,0.8770752384316496,0.8887603972622795,0.8770752384316496,0.8811480710103105,0.9447909718339632,0.7821642828430972
147,0.8774284705051218,0.8882012243371762,0.8774284705051218,0.8812220467472627,0.9442198566295522,0.782372943509732
153,0.8770752384316496,0.8900988292147408,0.8770752384316496,0.8816506380931695,0.941084971916292,0.7826299934661832
142,0.8774284705051218,0.8890641479984326,0.8774284705051218,0.8815298183377512,0.9447279449466632,0.7826989947215617
154,0.8774284705051218,0.8896374195743083,0.8774284705051218,0.881756804235807,0.9419195460485004,0.7828801343097819
144,0.8777817025785941,0.8889871281467938,0.8777817025785941,0.8817300206456552,0.9450578334253422,0.7831660229490429
143,0.8777817025785941,0.8892129560749644,0.8777817025785941,0.8818267207075094,0.9448498981694256,0.7832270827256556
151,0.8774284705051218,0.8904829013004971,0.8774284705051218,0.8820244161010324,0.9430547859636608,0.7832516906000502
156,0.8777817025785941,0.8908420339856749,0.8777817025785941,0.8823805740425832,0.9414933893237716,0.7838809301800536
164,0.8777817025785941,0.8908318452338668,0.8777817025785941,0.882223245818494,0.941632970641662,0.7841088837328365
148,0.8781349346520664,0.8900282929799587,0.8781349346520664,0.8822215579536472,0.9431356157237084,0.7842192345428961
155,0.8781349346520664,0.8905288997975088,0.8781349346520664,0.882488284032854,0.941699049415084,0.7842721035268826
152,0.8781349346520664,0.8904753997045457,0.8781349346520664,0.8823992251004805,0.9425552085832776,0.7843590184792785
140,0.8784881667255386,0.8900128814369701,0.8784881667255386,0.8825148646322207,0.9451372136311486,0.7845986239883835
167,0.8781349346520664,0.8913082987121766,0.8781349346520664,0.8826309929429352,0.9428441288213232,0.784765780868053
160,0.8781349346520664,0.89145825717399,0.8781349346520664,0.8827207377050615,0.9427756269945426,0.784765780868053
179,0.8784881667255386,0.8904183685578643,0.8784881667255386,0.8826173857856758,0.941733644383718,0.7848153577682725
168,0.8784881667255386,0.8908337161790757,0.8784881667255386,0.8827549812090772,0.9422199081095056,0.7849885600766452
169,0.8784881667255386,0.8908297534741636,0.8784881667255386,0.8827273040831909,0.9415127101951428,0.7850236344239809
170,0.8784881667255386,0.8910540802145434,0.8784881667255386,0.8828033907544414,0.9416106235508124,0.7851114213192387
163,0.8784881667255386,0.8911379483971985,0.8784881667255386,0.882808834961142,0.9422570404091722,0.7851806575251655
198,0.8788413987990109,0.8904257963150334,0.8788413987990109,0.88293180937997,0.9413179810383636,0.7851813106836346
165,0.8784881667255386,0.8914820312466891,0.8784881667255386,0.8829592626121568,0.9425146387867276,0.7852687924576963
158,0.8788413987990109,0.8915728686681066,0.8788413987990109,0.883285220621471,0.9419109660562798,0.7856969871046227
159,0.8788413987990109,0.8919311437597423,0.8788413987990109,0.8834491380170958,0.9415791947459744,0.7857762207938305
161,0.8791946308724832,0.8911129427267779,0.8791946308724832,0.8832722998219013,0.9425103188461996,0.7861377312767877
205,0.8795478629459554,0.8907452011113333,0.8795478629459554,0.8835206710972131,0.9450496989327174,0.7862607880381617
209,0.8795478629459554,0.8910505614775053,0.8795478629459554,0.8835981617518984,0.9462555416727532,0.786422611862924
166,0.8791946308724832,0.8924520005281468,0.8791946308724832,0.8837675117635522,0.9419970477004546,0.7866059658331498
171,0.8799010950194278,0.8913508411943731,0.8799010950194278,0.883895563557299,0.9419648207852293,0.7870943746844633
256,0.8806075591663723,0.8898284150600188,0.8806075591663723,0.8839610061107828,0.950545715616329,0.7872629597639734
211,0.8802543270929001,0.8908606842665092,0.8802543270929001,0.884037247505329,0.9463682341261344,0.7872634150607819
146,0.8806075591663723,0.890840198848879,0.8806075591663723,0.8842305649087904,0.9436936996066012,0.7878003814758869
173,0.8802543270929001,0.8922363963610792,0.8802543270929001,0.8844031639392198,0.9420249821751272,0.7879724406787789
253,0.8809607912398446,0.8902608854292604,0.8809607912398446,0.8843063679378153,0.9509341655974676,0.7879844047973468
201,0.8806075591663723,0.8916143742587197,0.8806075591663723,0.8845093093474148,0.9430463324713252,0.7880815513486046
208,0.8809607912398446,0.8910986849286268,0.8809607912398446,0.8846161913649253,0.946130144842002,0.7882820321448216
200,0.8809607912398446,0.891150137508357,0.8809607912398446,0.8845891658520046,0.9425267748312796,0.788377431594407
259,0.8813140233133169,0.8900018146016535,0.8813140233133169,0.8844352765362209,0.9509561307442193,0.7883941135296267
174,0.8806075591663723,0.8921806595881574,0.8806075591663723,0.8846271218701353,0.9425951532137278,0.7884242074706697
233,0.8813140233133169,0.8901161515565659,0.8813140233133169,0.8844664371031425,0.947188360993664,0.7884526404536188
162,0.8802543270929001,0.8932530603201057,0.8802543270929001,0.8846470524520456,0.942912274370649,0.7885218590830549
199,0.8809607912398446,0.8916782795109118,0.8809607912398446,0.8847909975980497,0.9420344525554296,0.7885531822266376
197,0.8813140233133169,0.8913073988666868,0.8813140233133169,0.8848726903315517,0.9421222666980338,0.7889329872133573
176,0.8809607912398446,0.8925622685281568,0.8809607912398446,0.8849994657149689,0.9419468914125964,0.7890470415989597
157,0.8809607912398446,0.8926673020152018,0.8809607912398446,0.8850543804480924,0.9419309017048714,0.789061944016974
193,0.8813140233133169,0.8918345960265089,0.8813140233133169,0.8850783407892213,0.9422229111067828,0.7891020059713312
277,0.8816672553867891,0.8906796865186432,0.8816672553867891,0.8849291198537586,0.9495203497126606,0.7891059457006242
212,0.8813140233133169,0.8921273650870439,0.8813140233133169,0.8851474439605208,0.9461301747864193,0.7892666710705489
196,0.8813140233133169,0.892217110622248,0.8813140233133169,0.8851834188467936,0.9412548716511386,0.7892958624296528
183,0.8813140233133169,0.892197085081445,0.8813140233133169,0.8851420251117647,0.9423742569140072,0.7893429223972381
266,0.8820204874602614,0.8900510324566514,0.8820204874602614,0.8849314077704118,0.9502330977331024,0.7893625858321937
184,0.8813140233133169,0.8920490567849664,0.8813140233133169,0.8850412899142502,0.942279666166436,0.7893637723959767
175,0.8813140233133169,0.8920500252782785,0.8813140233133169,0.8850362276870422,0.9421146070383118,0.7893714127637681
207,0.8816672553867891,0.8916014591231338,0.8816672553867891,0.8852460614117511,0.9462709966587408,0.7894734805059529
278,0.8820204874602614,0.890535446048632,0.8820204874602614,0.8850818484909789,0.9501221848336636,0.7895859772637223
213,0.8816672553867891,0.8918882253057525,0.8816672553867891,0.88531487861135,0.9463370094322228,0.78963472605706
236,0.8820204874602614,0.8908618726612888,0.8820204874602614,0.8852007318047949,0.9477517664272872,0.7897051351077143
172,0.8813140233133169,0.8933349687749624,0.8813140233133169,0.8854932455880106,0.9418467560589412,0.7898463468406198
190,0.8816672553867891,0.8924750728775276,0.8816672553867891,0.8854980480736709,0.9418045387083296,0.7898975070064598
260,0.8823737195337337,0.8907187386678395,0.8823737195337337,0.8853917671919966,0.9506656124520668,0.7901242858674936
251,0.8823737195337337,0.8912332698956431,0.8823737195337337,0.8855652386550847,0.9507240835101642,0.7903340843156546
182,0.8816672553867891,0.8934875258643044,0.8816672553867891,0.8857696480265013,0.9423154228562388,0.7904068035091978
206,0.8820204874602614,0.8927900053969923,0.8820204874602614,0.8858493950960559,0.9453947252310048,0.7904864674436062
254,0.8827269516072059,0.8907852845477753,0.8827269516072059,0.8856597099116561,0.9507032226401892,0.790617166669106
210,0.8823737195337337,0.8923390260933292,0.8823737195337337,0.8859710276262647,0.9463645271294951,0.7907320379946212
180,0.8820204874602614,0.8932162669104122,0.8820204874602614,0.885919817266482,0.9419211068248632,0.790777087137775
204,0.8823737195337337,0.8922992984569462,0.8823737195337337,0.8858980045716413,0.9445513767734184,0.7908120183656877
249,0.8827269516072059,0.8915539139052673,0.8827269516072059,0.8858882921247623,0.9496383814389788,0.7909866060047072
