Model,Precision
1,0.5728082844099459
2,0.6737149977125438
3,0.720940316982882
4,0.7254384689670919
10,0.7263963807804675
7,0.7306525324001661
9,0.7312227130255587
8,0.7315235455042575
6,0.7330045134280004
5,0.7343294524234736
11,0.7359665942594403
20,0.7405096253648237
21,0.7406617400359353
13,0.7410287230702491
12,0.7410352244910668
14,0.7424196231008997
16,0.7425625314505545
15,0.7432475825772107
17,0.7433230246845213
19,0.7449952594689806
22,0.7457635504262055
28,0.7464467090841763
25,0.7466501125570197
26,0.7470388240404434
18,0.7470805977504462
27,0.7480867028664481
30,0.7481793520259157
23,0.749869244038657
24,0.7498712784887466
29,0.7500251529030713
32,0.825702907351625
31,0.8282944624952474
41,0.834442457130482
42,0.8355439231950187
38,0.8359851924396755
40,0.8360106256426859
39,0.8375848113602379
37,0.8430376743636123
33,0.8468213608145008
34,0.8470829828142208
35,0.8474789801946486
36,0.8482136206109663
59,0.8562390486344528
57,0.8564080424185574
58,0.8571065725241611
61,0.8572385908517436
62,0.8587532506273118
63,0.8587659538448734
60,0.8587860377749638
47,0.8613709095621424
43,0.8614440994155546
68,0.8616641651626019
70,0.8617085286475489
69,0.8618686035015541
54,0.8619026829804036
53,0.8622571120639754
44,0.8623459984930303
46,0.8627969890663444
48,0.8628080306117456
49,0.8629435816420163
55,0.8629542769721246
45,0.8630441745425355
56,0.8631233324302783
52,0.863305526772701
50,0.863559374220637
64,0.864303856599531
51,0.8644462239095724
66,0.8649719157842786
67,0.865319867834581
65,0.8659424179232141
71,0.8709294917097608
72,0.8709504869190847
73,0.8749551980910951
75,0.8772551129869501
77,0.8778014314653846
79,0.878392825174109
74,0.8790656444093523
76,0.8793583182138247
78,0.8797966170665819
80,0.8798187821306663
88,0.8808781496280101
82,0.881379909965557
81,0.8818546759764371
87,0.8822039320227839
89,0.8824668791532843
86,0.8828503483878128
115,0.8829889158402746
116,0.8829889158402746
90,0.8830135883360402
97,0.8830969594223342
83,0.8832709280318696
93,0.8833082033171962
95,0.8834026674667732
94,0.8836679690019119
114,0.8840953602999506
98,0.8841951237369253
108,0.8843154732886439
91,0.8844884272857094
85,0.8845903195420189
111,0.8847417408851622
106,0.8848054779471733
84,0.8848275542469438
109,0.8848828418257304
117,0.8849062219209577
107,0.8850150148121791
92,0.8851607566674959
133,0.8851798298247483
99,0.8853081776190168
103,0.8857082091748872
119,0.8859270392857543
113,0.8861236166702806
122,0.8861480262603304
110,0.8861687055522721
123,0.8864480435556392
112,0.8864712917805526
104,0.8865427509700609
101,0.8866879369608567
130,0.8869678892042495
129,0.8869693491352907
100,0.8870180189506198
105,0.8872476326437483
96,0.8873198256592623
120,0.8873282127480973
131,0.8874410986498794
118,0.8875570226024362
124,0.887619434651375
132,0.8876564302724859
134,0.8876983212278775
125,0.8878155554746361
139,0.887824201451712
102,0.8880933366700094
121,0.88812506930341
147,0.8882012243371762
145,0.888259214767229
128,0.8884287532515054
135,0.8885608526053546
126,0.8885743593660584
138,0.8886902460691279
141,0.8887603972622795
136,0.8887770156342204
127,0.8887825039263151
144,0.8889871281467938
149,0.8889879752965429
137,0.8890030474366063
142,0.8890641479984326
143,0.8892129560749644
154,0.8896374195743083
150,0.8898119991689163
256,0.8898284150600188
259,0.8900018146016535
140,0.8900128814369701
148,0.8900282929799587
266,0.8900510324566514
153,0.8900988292147408
233,0.8901161515565659
253,0.8902608854292604
179,0.8904183685578643
198,0.8904257963150334
152,0.8904753997045457
151,0.8904829013004971
155,0.8905288997975088
278,0.890535446048632
269,0.890546627309544
258,0.8906701604639552
439,0.8906775072443179
277,0.8906796865186432
260,0.8907187386678395
205,0.8907452011113333
394,0.8907787492315508
254,0.8907852845477753
386,0.8908210309976559
169,0.8908297534741636
164,0.8908318452338668
168,0.8908337161790757
146,0.890840198848879
156,0.8908420339856749
211,0.8908606842665092
236,0.8908618726612888
265,0.8908651003868373
248,0.8909224829434454
262,0.8909701132101232
209,0.8910505614775053
170,0.8910540802145434
428,0.8910952537641571
208,0.8910986849286268
161,0.8911129427267779
163,0.8911379483971985
200,0.891150137508357
246,0.8911580632223173
251,0.8912332698956431
261,0.8912339551734214
197,0.8913073988666868
167,0.8913082987121766
171,0.8913508411943731
268,0.8914289014926832
160,0.89145825717399
272,0.8914673582618119
389,0.8914704466700063
165,0.8914820312466891
249,0.8915539139052673
158,0.8915728686681066
207,0.8916014591231338
279,0.8916095965949529
201,0.8916143742587197
247,0.8916464648198904
250,0.8916491154857331
390,0.8916573161590281
199,0.8916782795109118
435,0.8916813527275858
438,0.8917090091174741
255,0.8917706500220304
387,0.8917931219914665
395,0.8917965765603947
252,0.8918048200157767
398,0.891821369010051
257,0.8918269921000285
275,0.8918299946697124
270,0.8918310411716394
193,0.8918345960265089
213,0.8918882253057525
429,0.8919215805479193
159,0.8919311437597423
388,0.8919759883851602
184,0.8920490567849664
175,0.8920500252782785
393,0.8921039103080536
212,0.8921273650870439
437,0.8921297476297053
174,0.8921806595881574
183,0.892197085081445
203,0.892214932796413
196,0.892217110622248
267,0.8922313304618552
173,0.8922363963610792
234,0.8922803404811321
418,0.8922827099109324
381,0.8922842332072671
404,0.8922964085909719
204,0.8922992984569462
210,0.8923390260933292
271,0.892345897317745
276,0.892350804647756
264,0.8923832938279266
399,0.8924073098969397
238,0.8924095926957117
166,0.8924520005281468
190,0.8924750728775276
434,0.8924780405031584
291,0.8924795621668078
436,0.8925000936201201
280,0.8925038221931615
263,0.8925221415409795
274,0.892558708596925
405,0.8925588729003099
176,0.8925622685281568
239,0.8926077720955103
245,0.892657542659999
409,0.8926644701976555
157,0.8926673020152018
220,0.8926689278953687
427,0.8926848523706737
241,0.8926967565576226
383,0.8927146242973458
244,0.8927269388059674
417,0.8927517752016482
430,0.892770875554657
206,0.8927900053969923
235,0.8928251773610654
225,0.8928357132030426
243,0.8929077119688129
420,0.8929199246151034
385,0.892956383905633
240,0.8929602724100494
401,0.892961714234189
449,0.8929766872837055
421,0.8929837497607089
411,0.8930490638237305
242,0.893067515892058
414,0.893107930941643
419,0.8931267635083808
485,0.8931286642608592
273,0.8931463992978422
281,0.8931550093595184
181,0.8931576136869837
218,0.8931902358367355
442,0.893200418867157
400,0.893205191598432
178,0.8932123264621376
180,0.8932162669104122
328,0.893218570079395
422,0.8932441819940959
162,0.8932530603201057
474,0.8932700345486528
416,0.8932722245139947
484,0.8932977240366311
340,0.8933113749660506
423,0.8933160183751947
424,0.8933175127324836
215,0.8933315782046178
172,0.8933349687749624
194,0.8933701200477939
384,0.8933865819553753
296,0.8933937659954241
433,0.8933963683179444
349,0.8933979730886044
214,0.893398340574452
413,0.8934031350126015
188,0.8934061230324142
426,0.8934095651548124
447,0.893415745432285
333,0.8934435508710051
378,0.8934746290594409
182,0.8934875258643044
187,0.8934943705060313
432,0.8934986607530009
425,0.8935003726047593
445,0.8935007033234915
468,0.8935359866257513
466,0.8935434633858246
452,0.8935475643866501
396,0.8935819786711173
336,0.8935893803874627
431,0.893608157595191
339,0.8936170387266331
232,0.8936199109626365
192,0.8936507003523783
415,0.8936967390137962
307,0.8937093343242367
177,0.8937295186608156
397,0.8937530180448713
487,0.8937582280547788
186,0.893763074915591
237,0.8937774464916763
330,0.8937844022518084
185,0.8937983249025957
227,0.8938066879990236
408,0.8938083657672599
216,0.8938130291615011
202,0.8938165931379808
407,0.893868949731247
392,0.8938702754344712
446,0.8938781224559422
357,0.893893448938292
230,0.893895609948118
444,0.893899810661422
406,0.8939027900424864
364,0.8939030246097159
410,0.893903988316208
219,0.8939135288118762
228,0.8939174665232831
292,0.893919052230618
189,0.8939293778722599
391,0.8939337242597046
475,0.8939465853581596
345,0.8939755861206048
288,0.8939811066853358
354,0.8939817886748809
374,0.8939857840515615
441,0.8939915137680547
440,0.8940068724950259
191,0.8940202015065178
483,0.894032021798532
490,0.8940334576668195
326,0.8940343413350472
303,0.8940488635164875
402,0.8940517849128191
334,0.8941454144320201
454,0.8941529328134324
223,0.8941909194104487
229,0.8942010892293477
379,0.8942295238459227
323,0.8942303374693111
195,0.8942485916183703
458,0.8942733088356632
412,0.8942749326869729
224,0.8943042824513389
338,0.8943177027297241
329,0.8943177027297241
363,0.8943220228428141
472,0.8943286490876982
465,0.894340652318598
491,0.8943458090358369
217,0.8943570796945816
489,0.8943641431288105
469,0.894377463137699
453,0.8943953527319158
370,0.8944009084365367
375,0.8944248630986606
373,0.8944316484854379
226,0.8944497942849634
476,0.8944599451032921
344,0.8944931045882103
348,0.8944990846136326
331,0.8945058866445686
353,0.8945065576896941
365,0.8945104935889399
481,0.8945251434826452
290,0.8945265201366861
493,0.8945402353557245
495,0.894568270520895
337,0.8945850268764682
231,0.8945861289604443
311,0.8946089235645105
463,0.8946500076816979
367,0.8946608906901541
293,0.8946725017559697
347,0.8946725017559697
335,0.8946756464445164
360,0.8946813669069363
346,0.8946813669069363
450,0.8946932340638432
341,0.8946968315196377
496,0.8947060229689474
471,0.8947258976052975
221,0.8947324468856663
460,0.8947434169426294
456,0.8947564044467092
382,0.8947780468643423
459,0.8947898495099375
376,0.8947977786559616
377,0.8948191724523926
403,0.8948193157200623
285,0.894831599501746
313,0.894838169355592
366,0.894858972328024
479,0.8948603090616374
298,0.8948650098206118
473,0.8948797248456467
486,0.894889548181664
480,0.8948980063144946
451,0.8949239065910491
455,0.8949363870850832
482,0.8949432577175789
318,0.8949523221274079
321,0.8949596087253778
361,0.8950134916339986
355,0.8950231376248673
462,0.895025723158881
499,0.8950344488585827
302,0.8950399555236972
368,0.8950434690554206
448,0.8950891407348898
314,0.895117195648429
332,0.8951316937732531
294,0.8951468375146232
477,0.8951593053280282
283,0.8951711325914217
350,0.8952104532580223
320,0.8952181901300232
372,0.8952409369447274
304,0.8952432211211974
297,0.8952439709207933
443,0.8952533936862022
488,0.8952585076455765
467,0.8952800529647096
284,0.8953494245473497
461,0.8953612763643347
342,0.8953728771235294
299,0.8953819573357219
371,0.8953925112737473
362,0.8953971894711138
352,0.8954075381782168
327,0.8954177920398614
289,0.8954290340739558
282,0.8954499420194595
286,0.8954905678293554
315,0.895494735368133
308,0.8955054640267314
310,0.8955699275277198
351,0.895575930211665
325,0.8955861190960145
319,0.8956604191833616
457,0.8956660453210479
343,0.8956837421645851
300,0.8957319070936317
295,0.8957665126533187
359,0.8957755664319788
287,0.8957971120337763
464,0.8957983946427254
322,0.895842500207881
356,0.8959294458855026
305,0.8959355693695848
369,0.8959368258590847
494,0.8959642341311969
497,0.8959642341311969
492,0.8959767799354285
309,0.8960261384268249
301,0.8960359765256531
470,0.8960707945275187
306,0.8961091562994131
316,0.8961194164670873
324,0.8961309390184239
312,0.8961344620007557
380,0.8961352129339244
498,0.896139068230277
358,0.8961559480357432
317,0.8962864102223927
222,0.8964611354299988
478,0.8966266080725527
