Model,F1_Score
1,0.1949882173238201
2,0.5777248303722698
3,0.635409211897755
4,0.6759063928716673
10,0.6789307029300361
7,0.6793070177334081
5,0.6796461750265318
6,0.6801729801355892
9,0.6805516359339835
8,0.6812657756709599
11,0.6870821010286194
12,0.6936152381134372
13,0.693943122511423
14,0.6959375989203548
16,0.6976598116760969
15,0.6978571765227083
20,0.6992549469299805
17,0.699332356944844
21,0.7010996954750709
19,0.7031169575866322
18,0.7045657360583821
22,0.7072402975399925
25,0.7092296060469754
26,0.7094910115653564
28,0.7100866095213962
23,0.7108235303275772
27,0.7113786549500639
24,0.7125368493093899
30,0.7129846546896598
29,0.7144312923283865
31,0.7811834666484256
32,0.7825174813421398
37,0.8066487056653634
38,0.8070444700811731
40,0.8071042535961261
33,0.8083835638289841
39,0.8085251893131775
34,0.808545966946291
35,0.8089020829444593
41,0.809531028602902
36,0.8098181431508762
42,0.8098796682413523
43,0.8361343529129073
47,0.8364511582932576
44,0.8367865917751489
46,0.8383453580235974
57,0.8384272714085573
45,0.8390775281212701
58,0.8393224139732623
48,0.8395458661542945
59,0.8398353795096106
50,0.8401148518330207
49,0.8406610297097661
61,0.841441646992304
53,0.8416617149280852
54,0.8418467261559267
52,0.8427280714265204
63,0.8428343700896642
60,0.8430769198209412
62,0.8431953135894338
56,0.8433084101848755
55,0.843487134315784
51,0.8437292490474289
64,0.8487096091006963
68,0.8490860855305382
66,0.8499542778157481
70,0.8509669750330243
69,0.8511356848268324
65,0.8523028718093197
67,0.8529490935955613
71,0.8617181868316404
72,0.861957718997669
73,0.8627642871303509
77,0.8632141765028155
79,0.863335715037242
76,0.8640042524990518
75,0.8642077799443875
80,0.8649789067337669
78,0.8654060337651256
74,0.8656846619690922
81,0.8663979007736454
82,0.8665189913277123
83,0.8684277195690839
88,0.8721936265854058
86,0.8723953081495084
90,0.8729452685443666
87,0.8729978352250503
89,0.8730224405915757
97,0.8733700824562237
91,0.8738147175025976
93,0.8741424051195235
116,0.8742500135885098
115,0.8742500135885098
95,0.874326883722446
85,0.8743985148411041
84,0.8749179330714489
94,0.8750193982026294
98,0.8755876293424915
108,0.8756103733783811
114,0.8758430091651997
92,0.8759665682110548
106,0.876225229905684
133,0.8764332688712058
109,0.8765385776134565
107,0.8767924518017205
99,0.8768697151042248
111,0.8769526599599938
103,0.8774733858381407
129,0.8777865753798247
119,0.8778943052690064
117,0.8779204447027613
131,0.8779708503815412
122,0.8779762421744726
100,0.878222013610928
101,0.878318644785316
96,0.8784812508965983
130,0.8784988489735217
110,0.8785377029673989
123,0.8785422720749525
113,0.8785817919347529
104,0.8787262519799527
112,0.8789323883377114
120,0.8790469229977932
132,0.8791627351894662
105,0.8791948837558017
134,0.8792170330901222
124,0.879423756183641
118,0.8796486324503919
128,0.8799352172067226
125,0.8799734730666589
121,0.8800698600325381
139,0.8801757464831376
135,0.8802128538917373
126,0.880219387089266
127,0.8802690709034009
138,0.8804633060808934
136,0.880471019901055
102,0.8804748769950264
137,0.8805485390174458
149,0.8807392816809057
145,0.8810130584107349
141,0.8811480710103105
147,0.8812220467472627
150,0.8812560166132125
142,0.8815298183377512
153,0.8816506380931695
144,0.8817300206456552
154,0.881756804235807
143,0.8818267207075094
151,0.8820244161010324
148,0.8822215579536472
164,0.882223245818494
156,0.8823805740425832
152,0.8823992251004805
155,0.882488284032854
140,0.8825148646322207
179,0.8826173857856758
167,0.8826309929429352
160,0.8827207377050615
169,0.8827273040831909
168,0.8827549812090772
170,0.8828033907544414
163,0.882808834961142
198,0.88293180937997
165,0.8829592626121568
161,0.8832722998219013
158,0.883285220621471
159,0.8834491380170958
205,0.8835206710972131
209,0.8835981617518984
166,0.8837675117635522
171,0.883895563557299
256,0.8839610061107828
211,0.884037247505329
146,0.8842305649087904
253,0.8843063679378153
173,0.8844031639392198
259,0.8844352765362209
233,0.8844664371031425
201,0.8845093093474148
200,0.8845891658520046
208,0.8846161913649253
174,0.8846271218701353
162,0.8846470524520456
199,0.8847909975980497
197,0.8848726903315517
277,0.8849291198537586
266,0.8849314077704118
176,0.8849994657149689
175,0.8850362276870422
184,0.8850412899142502
157,0.8850543804480924
193,0.8850783407892213
278,0.8850818484909789
183,0.8851420251117647
212,0.8851474439605208
196,0.8851834188467936
236,0.8852007318047949
207,0.8852460614117511
213,0.88531487861135
260,0.8853917671919966
172,0.8854932455880106
190,0.8854980480736709
251,0.8855652386550847
254,0.8856597099116561
182,0.8857696480265013
206,0.8858493950960559
249,0.8858882921247623
204,0.8858980045716413
180,0.885919817266482
248,0.8859490333607117
262,0.8859652117004901
210,0.8859710276262647
269,0.8860205689809745
258,0.886071041195674
181,0.8861301470157238
250,0.8861472703484098
265,0.88617756987748
247,0.8861847642015708
203,0.8861887294340258
261,0.8862684940562853
268,0.8863761162594647
279,0.8863936102347793
189,0.8864310344259461
246,0.8864677631665391
257,0.8864842534229006
194,0.8865125943018615
177,0.8865585316128928
192,0.8865651089185866
178,0.886672113271836
255,0.8866772792690465
252,0.886708891935353
225,0.8867270725520386
188,0.8867285868183014
386,0.886773108927022
234,0.886810209164216
272,0.886817250086082
439,0.8868372667415012
191,0.8869262924198862
270,0.8869318536440817
245,0.8869357759189147
238,0.8870715286855083
186,0.8870792809012826
267,0.887088955180611
276,0.887126455704771
220,0.8871492356794635
214,0.8871521636360168
215,0.8871741282537046
187,0.8872063253550858
216,0.8873067487643531
240,0.8873072599443522
291,0.8873443296101515
280,0.8874003477037112
263,0.8874182565766655
239,0.8874228166340562
241,0.887433548767918
244,0.8874542589215146
389,0.8874877766862399
235,0.887510628892783
394,0.8875114715903479
243,0.8875130173122519
202,0.8875686859878579
387,0.8875819273015514
264,0.8876065156066968
275,0.8876483034217811
390,0.8877851382475764
242,0.8877976247518334
271,0.8878073913060703
195,0.8878089064814384
435,0.8878611088112692
185,0.8880290653823298
230,0.8880395925128796
218,0.8880459533667283
228,0.8880567490167997
281,0.8880839240974566
438,0.8881135460539799
428,0.8881351527890118
274,0.888136236871509
388,0.8881598107489393
232,0.8882202561725432
395,0.8883538119192547
273,0.88835504075899
339,0.8883964701650325
381,0.8884453952636296
227,0.8885221429590537
326,0.8885564593113564
333,0.8885874822392335
398,0.8885943020637371
436,0.8886054020014821
429,0.8886286369154918
385,0.8886573242310644
307,0.8886815850110745
226,0.8887074116219627
437,0.8887213110683845
328,0.888725726383165
