Model,ROC_AUC_Score
1,0.5661263520454407
2,0.685172193110545
3,0.8185862902039859
4,0.8459142284822105
9,0.8598181174871291
5,0.8599229021699021
10,0.8608892867381579
7,0.8609831789863621
6,0.8610925677760718
11,0.8611415311761229
8,0.8612378208110424
12,0.8617989089134337
21,0.8619390542863686
20,0.8625186792052864
15,0.8628551316224584
16,0.8629102134614065
14,0.862928717277963
18,0.8636164623210741
13,0.8639252668744248
17,0.8652850049749289
30,0.8653244466613906
28,0.865471759750049
22,0.8658058557249131
19,0.8658338073106813
29,0.8661440357516298
23,0.8668319250168324
27,0.8668822279712244
26,0.8676906239605008
24,0.8676999935075614
25,0.867829880778686
41,0.8769977210220663
42,0.8781416888182022
40,0.8788662520501537
38,0.8791135605481495
39,0.879477375440513
31,0.8923231998491877
37,0.8933206031670976
32,0.8952572296334451
57,0.8977068565235612
58,0.8977986129403687
47,0.8982629683526865
44,0.898564615579193
45,0.8986023431005422
46,0.8986780554207853
43,0.8987800216616693
59,0.9007233324552896
48,0.9009124717838034
49,0.9019780579287832
50,0.9026904631162024
52,0.902801837404112
34,0.9032863557981484
51,0.9035339392958952
35,0.9036400158663854
33,0.9039496173079024
36,0.9040140497494836
60,0.9052508666281032
53,0.9054454601183384
61,0.9055323264284684
63,0.9059447435545436
54,0.9065119146514196
62,0.9067126919693814
55,0.907681313202276
56,0.908137320233274
70,0.9106341248583936
68,0.9158132966070556
69,0.9160330195745068
64,0.9166187775989748
65,0.9177793107689804
66,0.9178295251123416
67,0.9186637154671202
71,0.922863448103807
72,0.9233170889147284
73,0.9303235747288476
74,0.9328703724753068
75,0.933014599455652
76,0.9343527366312966
77,0.9351426251373532
82,0.9362698210042512
79,0.9363002873099616
78,0.9363831422903952
80,0.9365020032937392
81,0.936720987428527
83,0.9367473684601638
95,0.9368499280893986
88,0.9369915926831784
90,0.937788547460606
87,0.9382179534601668
86,0.938276006518643
97,0.9383208210891222
89,0.9384428947006644
84,0.9389396120836406
96,0.9389603886203588
98,0.939137495793115
85,0.9393557117619324
101,0.9394921153049266
100,0.9394995696315012
91,0.9396522837152628
92,0.9396661479804704
99,0.9400159751632936
93,0.9400729392227573
94,0.9400737697220044
153,0.941084971916292
