Model,micro_recall,macro_recall,confusion_matrix
71,0.8555,0.7699,"[[1224, 23, 92], [5, 86, 61], [101, 127, 1112]]"
72,0.8559,0.7721,"[[1222, 21, 96], [4, 87, 61], [99, 127, 1114]]"
73,0.8555,0.7991,"[[1214, 28, 97], [5, 101, 46], [101, 132, 1107]]"
74,0.8580,0.8067,"[[1219, 29, 91], [5, 104, 43], [98, 136, 1106]]"
75,0.8566,0.8037,"[[1215, 29, 95], [5, 103, 44], [98, 135, 1107]]"
76,0.8555,0.8127,"[[1218, 28, 93], [4, 108, 40], [97, 147, 1096]]"
77,0.8552,0.8144,"[[1213, 27, 99], [5, 109, 38], [98, 143, 1099]]"
78,0.8576,0.8200,"[[1216, 27, 96], [4, 111, 37], [99, 140, 1101]]"
79,0.8552,0.8163,"[[1215, 27, 97], [5, 110, 37], [99, 145, 1096]]"
80,0.8569,0.8195,"[[1215, 26, 98], [5, 111, 36], [96, 144, 1100]]"
81,0.8580,0.8183,"[[1221, 26, 92], [4, 110, 38], [94, 148, 1098]]"
82,0.8584,0.8166,"[[1220, 27, 92], [4, 109, 39], [95, 144, 1101]]"
83,0.8601,0.8179,"[[1218, 28, 93], [4, 109, 39], [89, 143, 1108]]"
84,0.8693,0.8263,"[[1219, 21, 99], [4, 110, 38], [91, 117, 1132]]"
85,0.8686,0.8258,"[[1217, 21, 101], [4, 110, 38], [89, 119, 1132]]"
86,0.8665,0.8243,"[[1215, 22, 102], [4, 110, 38], [92, 120, 1128]]"
87,0.8675,0.8173,"[[1217, 20, 102], [4, 106, 42], [91, 116, 1133]]"
88,0.8668,0.8090,"[[1218, 20, 101], [4, 102, 46], [91, 115, 1134]]"
89,0.8675,0.8192,"[[1220, 19, 100], [4, 107, 41], [93, 118, 1129]]"
90,0.8672,0.8228,"[[1217, 21, 101], [3, 109, 40], [92, 119, 1129]]"
91,0.8679,0.8292,"[[1216, 22, 101], [4, 112, 36], [91, 120, 1129]]"
92,0.8707,0.8273,"[[1218, 20, 101], [5, 110, 37], [90, 113, 1137]]"
93,0.8690,0.8260,"[[1217, 21, 101], [4, 110, 38], [95, 112, 1133]]"
94,0.8700,0.8248,"[[1217, 18, 104], [4, 109, 39], [91, 112, 1137]]"
95,0.8690,0.8183,"[[1221, 18, 100], [3, 106, 43], [90, 117, 1133]]"
96,0.8735,0.8332,"[[1222, 18, 99], [4, 112, 36], [90, 111, 1139]]"
97,0.8679,0.8253,"[[1219, 18, 102], [4, 110, 38], [93, 119, 1128]]"
98,0.8707,0.8273,"[[1221, 17, 101], [4, 110, 38], [94, 112, 1134]]"
99,0.8721,0.8302,"[[1221, 18, 100], [4, 111, 37], [94, 109, 1137]]"
100,0.8732,0.8290,"[[1222, 19, 98], [4, 110, 38], [89, 111, 1140]]"
101,0.8735,0.8293,"[[1223, 18, 98], [4, 110, 38], [91, 109, 1140]]"
102,0.8760,0.8291,"[[1222, 20, 97], [5, 109, 38], [89, 102, 1149]]"
103,0.8728,0.8288,"[[1224, 18, 97], [5, 110, 37], [95, 108, 1137]]"
104,0.8742,0.8298,"[[1222, 18, 99], [5, 110, 37], [92, 105, 1143]]"
105,0.8746,0.8320,"[[1220, 19, 100], [5, 111, 36], [90, 105, 1145]]"
106,0.8714,0.8297,"[[1220, 19, 100], [5, 111, 36], [95, 109, 1136]]"
107,0.8721,0.8283,"[[1220, 21, 98], [5, 110, 37], [96, 105, 1139]]"
108,0.8707,0.8292,"[[1218, 19, 102], [5, 111, 36], [94, 110, 1136]]"
109,0.8718,0.8280,"[[1219, 19, 101], [5, 110, 37], [93, 108, 1139]]"
110,0.8742,0.8317,"[[1223, 17, 99], [5, 111, 36], [95, 104, 1141]]"
111,0.8725,0.8285,"[[1218, 19, 102], [5, 110, 37], [94, 104, 1142]]"
112,0.8746,0.8300,"[[1222, 17, 100], [5, 110, 37], [92, 104, 1144]]"
113,0.8742,0.8298,"[[1220, 20, 99], [5, 110, 37], [94, 101, 1145]]"
114,0.8711,0.8256,"[[1216, 23, 100], [5, 109, 38], [95, 104, 1141]]"
115,0.8693,0.8263,"[[1217, 20, 102], [5, 110, 37], [96, 110, 1134]]"
116,0.8693,0.8263,"[[1217, 20, 102], [5, 110, 37], [96, 110, 1134]]"
117,0.8739,0.8295,"[[1218, 20, 101], [5, 110, 37], [97, 97, 1146]]"
118,0.8753,0.8383,"[[1220, 19, 100], [4, 114, 34], [94, 102, 1144]]"
119,0.8735,0.8370,"[[1220, 18, 101], [5, 114, 33], [97, 104, 1139]]"
120,0.8746,0.8397,"[[1221, 18, 100], [5, 115, 32], [95, 105, 1140]]"
121,0.8757,0.8385,"[[1222, 18, 99], [4, 114, 34], [93, 104, 1143]]"
122,0.8735,0.8370,"[[1220, 18, 101], [5, 114, 33], [96, 105, 1139]]"
123,0.8742,0.8375,"[[1220, 19, 100], [5, 114, 33], [97, 102, 1141]]"
124,0.8750,0.8380,"[[1221, 20, 98], [4, 114, 34], [95, 103, 1142]]"
125,0.8757,0.8366,"[[1223, 19, 97], [5, 113, 34], [95, 102, 1143]]"
126,0.8757,0.8385,"[[1222, 20, 97], [5, 114, 33], [93, 104, 1143]]"
127,0.8757,0.8385,"[[1224, 20, 95], [5, 114, 33], [94, 105, 1141]]"
128,0.8753,0.8383,"[[1222, 20, 97], [5, 114, 33], [93, 105, 1142]]"
129,0.8728,0.8365,"[[1222, 20, 97], [4, 114, 34], [95, 110, 1135]]"
130,0.8739,0.8373,"[[1220, 20, 99], [5, 114, 33], [95, 105, 1140]]"
131,0.8728,0.8365,"[[1221, 21, 97], [4, 114, 34], [93, 111, 1136]]"
132,0.8746,0.8378,"[[1225, 18, 96], [4, 114, 34], [96, 107, 1137]]"
133,0.8718,0.8358,"[[1222, 18, 99], [5, 114, 33], [99, 109, 1132]]"
134,0.8746,0.8378,"[[1221, 20, 98], [5, 114, 33], [94, 105, 1141]]"
135,0.8757,0.8385,"[[1223, 19, 97], [4, 114, 34], [93, 105, 1142]]"
136,0.8760,0.8407,"[[1224, 18, 97], [4, 115, 33], [94, 105, 1141]]"
137,0.8760,0.8407,"[[1224, 19, 96], [4, 115, 33], [94, 105, 1141]]"
138,0.8760,0.8388,"[[1225, 19, 95], [4, 114, 34], [95, 104, 1141]]"
139,0.8760,0.8388,"[[1223, 18, 98], [4, 114, 34], [96, 101, 1143]]"
140,0.8785,0.8425,"[[1227, 16, 96], [4, 115, 33], [94, 101, 1145]]"
141,0.8771,0.8415,"[[1226, 15, 98], [4, 115, 33], [95, 103, 1142]]"
142,0.8774,0.8398,"[[1225, 18, 96], [4, 114, 34], [95, 100, 1145]]"
143,0.8778,0.8400,"[[1225, 16, 98], [4, 114, 34], [93, 101, 1146]]"
144,0.8778,0.8400,"[[1226, 16, 97], [4, 114, 34], [95, 100, 1145]]"
145,0.8771,0.8395,"[[1225, 15, 99], [5, 114, 33], [95, 101, 1144]]"
146,0.8806,0.8420,"[[1229, 13, 97], [5, 114, 33], [92, 98, 1150]]"
