Model,F1_Score
35,0.8577200382535785
95,0.8841884591239458
458,0.8845999107816691
351,0.8848188413641017
453,0.8849065830136223
97,0.8849949399254888
93,0.8849995762149128
10,0.8850919784805833
498,0.8854245097180983
492,0.8855500377894261
404,0.8855776709244136
67,0.885760771928482
101,0.885862530114662
60,0.8858847529474853
96,0.8858861230742696
66,0.8860077182800283
92,0.8860375098426058
489,0.8861438282872172
64,0.8862291375872219
68,0.8862390433942114
88,0.8862494095726933
499,0.8862881300885945
36,0.8863909015504469
460,0.8864240954709315
493,0.886494322289284
455,0.8865015703617275
99,0.8865128901553049
87,0.8865588509746133
98,0.886572118921504
77,0.8865811691466168
65,0.8866112456491791
4,0.8866152639147511
405,0.8866349696272982
413,0.886671205509259
85,0.8867041344791597
102,0.886733688251199
31,0.8867727491747752
414,0.8868073775738045
126,0.8869140099904859
456,0.8869581201622722
401,0.886976714389761
385,0.8869924022757306
412,0.8870083155094453
71,0.8870572856390817
94,0.8870584249258859
495,0.887063870924953
55,0.8870685439929542
76,0.8870685439929542
59,0.8870785694855606
75,0.8871309785991827
135,0.8871422728578081
420,0.8871505918946856
452,0.8871611034548871
410,0.8872178678943937
451,0.8872483374292117
100,0.8872768081977735
13,0.8872862899707161
415,0.8873152374047074
133,0.8874298666597921
231,0.8874949126184535
74,0.8875929684188234
497,0.8876014775699633
147,0.8876343607042637
409,0.8876491050224113
144,0.8876525896231567
457,0.887696849790382
122,0.8877310887059092
163,0.8877548411250173
104,0.8877705995165928
89,0.887773287691269
32,0.8877836097175797
78,0.8877883653238987
90,0.8878048251364231
408,0.8878048251364231
399,0.8878149595554559
491,0.887825117813152
469,0.8879157447724854
70,0.8879254265153379
120,0.8879362983369266
73,0.8879462789238388
396,0.8879546038114309
58,0.8879731590173355
411,0.8879731590173355
52,0.8879731590173355
494,0.8879756629798851
470,0.8879756629798851
418,0.8880021652100083
487,0.8880248249914741
454,0.8880390320606928
237,0.8880453828258076
228,0.8880551914161081
131,0.8880943862628573
180,0.8880943862628573
124,0.8880969668774229
121,0.8880969668774229
112,0.8881239510912421
91,0.8881371589282817
389,0.8881659843802371
53,0.8881877648597272
236,0.8882296571644571
140,0.8882602603797246
118,0.8882795963267911
447,0.8882846782226366
160,0.8882856566913637
119,0.8882896320868535
394,0.8882981686956876
6,0.8883558881215396
114,0.8883899396293659
1,0.8883986219500607
136,0.8884021459269573
61,0.8884083925226629
298,0.8884305003752845
241,0.8884378268244901
161,0.8884410092201481
450,0.8884697514904888
449,0.8884768026449325
391,0.8884999690195076
402,0.8885010427145598
387,0.8885095414379852
392,0.8885115565961009
110,0.8885764170693066
262,0.8885830469940622
210,0.8885830469940622
326,0.8885928705250218
72,0.8886235700604824
84,0.8886334811612525
289,0.8886421423131037
406,0.8886513044677108
395,0.8886608157422626
388,0.888672393362024
192,0.8886882892891411
398,0.8886986493710639
184,0.8887253320500738
419,0.8887310046371528
281,0.8887350962041629
111,0.8887350962041629
219,0.8887357416998355
309,0.8887518463095149
329,0.8887518463095149
422,0.8887543443883325
129,0.888761579248495
50,0.888761579248495
276,0.888761579248495
375,0.8887635915617946
21,0.888771219578223
86,0.8888032919794662
386,0.8888204336840952
393,0.8888228346873878
57,0.8888228346873878
314,0.8888247066472463
56,0.8888630398926554
115,0.8888981864167586
322,0.8889078594508731
127,0.8889088029224532
313,0.8889174396075925
142,0.8889284764750524
238,0.8889364218503615
496,0.8889381740075724
279,0.8889471609717479
168,0.8889654487014739
116,0.8889758708258751
421,0.8889845259296665
69,0.8889852009975738
380,0.8889852009975738
188,0.8889867327007759
174,0.8890025025281304
390,0.8890044268159102
254,0.8890415700608838
330,0.8890511834807872
113,0.8890689162753344
179,0.8890787351624826
263,0.8890853880565412
152,0.8890952682577906
240,0.8890952682577906
169,0.8891060041128691
283,0.8891246128039368
301,0.8891258725898811
128,0.8891357224793462
417,0.8891564341355099
62,0.8891564341355099
305,0.8891851667928633
63,0.8892257659870296
216,0.889251423970917
234,0.8892610593427976
244,0.8892799414879917
200,0.8892897820202117
259,0.8893643191294385
381,0.889366975513147
267,0.8893851675383209
437,0.8893939285774222
274,0.8893948356625055
294,0.8893948356625055
256,0.8893948356625055
269,0.8894044110072655
211,0.8894321232421806
183,0.8894321232421806
226,0.8894418112133787
440,0.8894418112133787
139,0.8894514065832995
123,0.8894526499428429
164,0.8894582518801094
246,0.8894601106149267
484,0.8894772267247718
306,0.8894868796556326
146,0.8894868796556326
54,0.8894901586437031
278,0.8894978250152875
436,0.8895079165481414
266,0.8895353304843903
260,0.8895448460924594
176,0.8895448460924594
185,0.8895448460924594
171,0.8895530809866568
189,0.8895618479151308
438,0.8895811969262055
172,0.8895851744118827
318,0.889604646987652
311,0.889604646987652
448,0.889604646987652
297,0.889604646987652
28,0.8896090274109542
194,0.8896142450814818
323,0.8896142450814818
332,0.8896142450814818
333,0.8896252912011204
372,0.8896419034161784
459,0.8896423751560758
162,0.8896533401574181
