Model,Precision
35,0.8643586501254048
95,0.8871145061412661
458,0.887860274410167
453,0.8879701281865752
10,0.8882238960287044
351,0.8884764892734469
93,0.8885986462195432
97,0.888653186527651
67,0.8886971143841091
492,0.888827896908079
498,0.888956680920832
404,0.8889694328981702
60,0.8890581105879022
455,0.8891771188090754
460,0.8892114073996047
493,0.8892232860053785
489,0.8892687513314834
499,0.8892989192713067
68,0.8894134657692542
456,0.8894244868683158
101,0.8894361994556355
66,0.889438252326657
88,0.8894763124055421
36,0.8895226494341353
96,0.8896089789427473
92,0.8896162699537074
77,0.8897451623203773
413,0.8898072853389972
99,0.8898741430798379
401,0.8899026765816128
64,0.8899194070360367
65,0.8899370863442208
75,0.8899598323006931
4,0.8899864746949475
410,0.8899947371275077
126,0.8899980463078787
135,0.8900029978096028
412,0.8900799844362312
31,0.8900905342777342
405,0.8901206989665265
87,0.8901231267741624
85,0.8901253040591321
495,0.8901318189516837
452,0.8901522339279113
32,0.89018487385206
98,0.8902301947065155
414,0.8902435591062713
457,0.8902634293122887
102,0.890302893003639
451,0.890338798125372
147,0.8904074031776722
104,0.8904363396692896
385,0.8904575869093634
94,0.890480659240484
71,0.8904995724949477
13,0.8905139127740519
55,0.8905430416408713
76,0.8905430416408713
420,0.8905529974941053
59,0.8906070158749121
231,0.8906200161077701
74,0.8906334494892173
122,0.8906401746898666
454,0.8906545049644365
491,0.8906852974918948
415,0.8907117412920901
497,0.8907135589486227
78,0.8907651494318224
112,0.8908097602753353
114,0.8908150502756905
144,0.890915141001532
100,0.890921465739561
120,0.8909471701667654
409,0.890954666143013
487,0.8909851501169441
133,0.8909895160535706
73,0.8910076451269974
399,0.8910689441103989
131,0.891072004550703
180,0.891072004550703
236,0.8910759693548544
396,0.8910887549616912
53,0.8911245739184397
163,0.891167710972959
110,0.8911764144570801
470,0.8911986559895894
494,0.8911986559895894
237,0.8912496184067288
118,0.8912612565752245
91,0.8912718544977267
136,0.8912915374438874
375,0.8912966731459254
