Model,ROC_AUC_Score
35,0.9261800685411824
405,0.9397666298338112
458,0.9402650632152316
499,0.9403287977685566
398,0.9403635644592572
404,0.940460649760122
390,0.940570792660259
492,0.9406261598878372
174,0.940649068589289
351,0.94066946440413
410,0.940709896089694
420,0.94072717035181
413,0.94074546944633
95,0.9407865629646274
10,0.9407893856842904
409,0.940792861070028
491,0.9408317735347476
97,0.9408935244232044
457,0.9409061490506472
406,0.9409583589755324
391,0.9409713175748944
5,0.9409828626755378
487,0.940992526777887
313,0.9410127863150736
389,0.9410129048705218
451,0.9410878386359152
456,0.9411039725657316
388,0.9411049937314724
450,0.9411225478822232
385,0.9411310997633584
387,0.9411410785876444
34,0.9411647273439806
400,0.9412185527396234
392,0.941222094736412
353,0.9412235858461712
133,0.9412419643850632
372,0.9412446673270572
489,0.9412536922077636
370,0.9412583775924044
453,0.9412598039244444
91,0.9412741980225048
494,0.9412957903918168
396,0.941303555773665
90,0.9413044137728872
162,0.9413059348270636
498,0.9413173082056406
401,0.941322888561692
93,0.9413301580273232
386,0.941345164458162
305,0.9413475820115256
399,0.9413509046196245
378,0.9413703770464136
13,0.9413755940972393
411,0.9413900719174458
493,0.9414102018991948
393,0.9414106883431982
58,0.9414233041095376
384,0.9414311183802304
57,0.941450614029221
4,0.9414519343335797
414,0.9414627415182256
32,0.9414931937683932
77,0.9414947661558564
96,0.9415144836379792
496,0.9415145148046176
331,0.9415196102444424
87,0.9415219208534584
40,0.941524112295916
394,0.9415570346549552
352,0.9415584866536388
455,0.9415713590864122
144,0.9415877203493558
412,0.941606172221515
497,0.9416262105366804
65,0.941630254255236
59,0.941634222196083
102,0.941636803527076
92,0.9416632719475224
21,0.9416734909382573
327,0.94167987887691
402,0.941682378319088
397,0.9416844029283636
381,0.9416852309831684
407,0.9417027344117432
140,0.941704372188036
74,0.9417069840745566
50,0.9417070824633564
54,0.9417144885121972
382,0.9417181233977904
146,0.9417203130069162
379,0.9417229038101228
495,0.9417333761061834
163,0.9417395825450008
11,0.9417542522539224
7,0.9417550118643448
147,0.9417575363620556
446,0.9417580985837684
98,0.941760439137202
169,0.9417628487461284
419,0.941763043690396
73,0.9417636682453852
160,0.9417659232433409
408,0.9417694719623454
36,0.941796439660117
263,0.9417982571029136
418,0.9418098675923868
72,0.9418124171456308
80,0.9418134383113714
64,0.9418143824771822
67,0.9418177038630596
395,0.941820894471278
16,0.9418259453000316
86,0.9418267006326804
415,0.9418320894055722
62,0.9418363580128132
452,0.94184156589698
19,0.941842285174106
8,0.9418472510584924
6,0.9418527834423652
26,0.94187078064827
237,0.94188202569363
68,0.941884435913667
454,0.9418865277451036
403,0.9419169818286032
75,0.9419239503222848
39,0.9419254298209436
9,0.941925943764922
371,0.9419348867568136
246,0.941935271145354
166,0.9419371356436635
20,0.941941392639804
485,0.9419601800116592
336,0.9419650536183514
136,0.9419659983952724
81,0.9419699058361742
63,0.9419720936119684
241,0.9419727090002996
449,0.941973573110627
71,0.9419739287769712
464,0.9419831241575228
70,0.9419887518746428
469,0.9419895548739148
312,0.9419991926985096
76,0.9420104004661258
430,0.9420166570160088
14,0.9420203811237434
31,0.9420342044445436
1,0.9420575005900884
85,0.9420578917008448
231,0.9420579809229862
100,0.9420854619536256
354,0.9420924585583932
69,0.9421275301932616
12,0.9421356182414838
256,0.9421458824544
255,0.9421527440037344
335,0.9421529047258108
47,0.9421560433896318
48,0.9421560433896318
383,0.9421625425504058
88,0.9421627136613618
28,0.942165507047718
333,0.9421705028765218
306,0.9421732015407416
329,0.942175154650082
43,0.9421884872491048
243,0.9421888869154093
101,0.9422041604015612
207,0.9422067967325044
151,0.9422092772302554
15,0.9422190152769816
51,0.94222624288154
158,0.942228051157678
301,0.9422353472066186
486,0.9422384834259973
55,0.9422412487012678
94,0.9422417125341808
29,0.9422535882456357
41,0.9422544101893348
148,0.942266166734231
25,0.9422750370039664
316,0.942280256499234
135,0.9422866102156956
168,0.9422960506515806
79,0.9423026989233309
60,0.9423033424227472
23,0.9423147365790832
479,0.9423169457437468
232,0.942320510962737
448,0.942326226068666
326,0.942334726005404
254,0.9423467807722522
173,0.9423481001599447
52,0.9423516684344874
126,0.942353927099106
245,0.942359596677299
161,0.942366627809813
37,0.94236819347506
17,0.9423714286943492
211,0.9423802182974907
267,0.9423804615194924
33,0.942381639129536
240,0.9423905967880812
274,0.942391523842796
296,0.942404598553164
